record,lma_code,lma_fips,lma_title
34,MT0122520000000,22520,"Florence-Muscle Shoals, AL Metropolitan Statistical Area"
35,MT0122520000000,22520,"Florence-Muscle Shoals, AL Metropolitan Statistical Area"
36,MC0122840000000,22840,"Fort Payne, AL Micropolitan Statistical Area"
37,CN0105900000000,059,"Franklin County, AL"
38,MT0123460000000,23460,"Gadsden, AL Metropolitan Statistical Area"
39,CN0106300000000,063,"Greene County, AL"
40,MT0126620000000,26620,"Huntsville, AL Metropolitan Statistical Area"
41,MT0126620000000,26620,"Huntsville, AL Metropolitan Statistical Area"
42,CN0107500000000,075,"Lamar County, AL"
43,CN0108700000000,087,"Macon County, AL"
44,CN0109100000000,091,"Marengo County, AL"
45,CN0109300000000,093,"Marion County, AL"
46,MT0133660000000,33660,"Mobile, AL Metropolitan Statistical Area"
47,CN0109900000000,099,"Monroe County, AL"
48,MT0133860000000,33860,"Montgomery, AL Metropolitan Statistical Area"
49,MT0133860000000,33860,"Montgomery, AL Metropolitan Statistical Area"
50,MT0133860000000,33860,"Montgomery, AL Metropolitan Statistical Area"
51,MT0133860000000,33860,"Montgomery, AL Metropolitan Statistical Area"
52,MC0137120000000,37120,"Ozark, AL Micropolitan Statistical Area"
53,CN0110500000000,105,"Perry County, AL"
54,CN0111100000000,111,"Randolph County, AL"
55,MC0142460000000,42460,"Scottsboro, AL Micropolitan Statistical Area"
56,MC0142820000000,42820,"Selma, AL Micropolitan Statistical Area"
57,CN0111900000000,119,"Sumter County, AL"
58,MC0145180000000,45180,"Talladega-Sylacauga, AL Micropolitan Statistical Area"
59,MC0145180000000,45180,"Talladega-Sylacauga, AL Micropolitan Statistical Area"
60,MC0145980000000,45980,"Troy, AL Micropolitan Statistical Area"
61,MT0146220000000,46220,"Tuscaloosa, AL Metropolitan Statistical Area"
62,MT0146220000000,46220,"Tuscaloosa, AL Metropolitan Statistical Area"
63,MT0146220000000,46220,"Tuscaloosa, AL Metropolitan Statistical Area"
64,MC0146740000000,46740,"Valley, AL Micropolitan Statistical Area"
65,CN0112900000000,129,"Washington County, AL"
66,CN0113100000000,131,"Wilcox County, AL"
67,CN0113300000000,133,"Winston County, AL"
68,CN0201300000000,013,"Aleutians East Borough, AK"
69,CN0201600000000,016,"Aleutians West Census Area, AK"
70,MT0211260000000,11260,"Anchorage, AK Metropolitan Statistical Area"
71,MT0211260000000,11260,"Anchorage, AK Metropolitan Statistical Area"
72,CN0205000000000,050,"Bethel Census Area, AK"
73,CN0206000000000,060,"Bristol Bay Borough, AK"
74,CN0206800000000,068,"Denali Borough, AK"
75,CN0207000000000,070,"Dillingham Census Area, AK"
76,MT0221820000000,21820,"Fairbanks, AK Metropolitan Statistical Area"
77,CN0210000000000,100,"Haines Borough, AK"
78,CN0210500000000,105,"Hoonah-Angoon Census Area, AK"
79,MC0227940000000,27940,"Juneau, AK Micropolitan Statistical Area"
80,CN0212200000000,122,"Kenai Peninsula Borough, AK"
81,MC0228540000000,28540,"Ketchikan, AK Micropolitan Statistical Area"
82,CN0215000000000,150,"Kodiak Island Borough, AK"
83,CN0215800000000,158,"Kusilvak Census Area, AK"
84,CN0216400000000,164,"Lake and Peninsula Borough, AK"
85,CN0218000000000,180,"Nome Census Area, AK"
86,CN0218500000000,185,"North Slope Borough, AK"
87,CN0218800000000,188,"Northwest Arctic Borough, AK"
88,CN0219500000000,195,"Petersburg Borough, AK"
89,CN0219800000000,198,"Prince of Wales-Hyder Census Area, AK"
90,CN0222000000000,220,"Sitka Borough/city, AK"
91,CN0223000000000,230,"Skagway Municipality, AK"
92,CN0224000000000,240,"Southeast Fairbanks Census Area, AK"
93,CN0226100000000,261,"Valdez-Cordova Census Area, AK"
94,CN0227500000000,275,"Wrangell Borough/city, AK"
95,CN0228200000000,282,"Yakutat Borough/city, AK"
96,CN0229000000000,290,"Yukon-Koyukuk Census Area, AK"
97,CN0400100000000,001,"Apache County, AZ"
98,MT0422380000000,22380,"Flagstaff, AZ Metropolitan Statistical Area"
99,CN0401100000000,011,"Greenlee County, AZ"
100,CN0401200000000,012,"La Paz County, AZ"
101,MT0429420000000,29420,"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area"
102,MC0435700000000,35700,"Nogales, AZ Micropolitan Statistical Area"
103,MC0437740000000,37740,"Payson, AZ Micropolitan Statistical Area"
104,MT0438060000000,38060,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area"
105,MT0438060000000,38060,"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area"
106,MT0439140000000,39140,"Prescott, AZ Metropolitan Statistical Area"
107,MC0440940000000,40940,"Safford, AZ Micropolitan Statistical Area"
108,MC0443320000000,43320,"Show Low, AZ Micropolitan Statistical Area"
109,MT0443420000000,43420,"Sierra Vista-Douglas, AZ Metropolitan Statistical Area"
110,MT0446060000000,46060,"Tucson, AZ Metropolitan Statistical Area"
111,MT0449740000000,49740,"Yuma, AZ Metropolitan Statistical Area"
112,MC0511660000000,11660,"Arkadelphia, AR Micropolitan Statistical Area"
113,CN0500100000000,001,"Arkansas County, AR"
114,CN0500300000000,003,"Ashley County, AR"
115,MC0512900000000,12900,"Batesville, AR Micropolitan Statistical Area"
116,MC0514180000000,14180,"Blytheville, AR Micropolitan Statistical Area"
117,CN0501100000000,011,"Bradley County, AR"
118,MC0515780000000,15780,"Camden, AR Micropolitan Statistical Area"
119,MC0515780000000,15780,"Camden, AR Micropolitan Statistical Area"
120,CN0501500000000,015,"Carroll County, AR"
121,CN0501700000000,017,"Chicot County, AR"
122,CN0502100000000,021,"Clay County, AR"
123,CN0502300000000,023,"Cleburne County, AR"
124,CN0502900000000,029,"Conway County, AR"
125,CN0503700000000,037,"Cross County, AR"
126,CN0503900000000,039,"Dallas County, AR"
127,CN0504100000000,041,"Desha County, AR"
128,CN0504300000000,043,"Drew County, AR"
129,MC0520980000000,20980,"El Dorado, AR Micropolitan Statistical Area"
130,MT0522220000000,22220,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area"
131,MT0522220000000,22220,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area"
132,MT0522220000000,22220,"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area"
133,MC0522620000000,22620,"Forrest City, AR Micropolitan Statistical Area"
134,MT0522900000000,22900,"Fort Smith, AR-OK Metropolitan Statistical Area"
135,MT0522900000000,22900,"Fort Smith, AR-OK Metropolitan Statistical Area"
136,CN0504700000000,047,"Franklin County, AR"
137,CN0504900000000,049,"Fulton County, AR"
138,MC0525460000000,25460,"Harrison, AR Micropolitan Statistical Area"
139,MC0525460000000,25460,"Harrison, AR Micropolitan Statistical Area"
140,MC0525760000000,25760,"Helena-West Helena, AR Micropolitan Statistical Area"
141,MC0526260000000,26260,"Hope, AR Micropolitan Statistical Area"
142,MC0526260000000,26260,"Hope, AR Micropolitan Statistical Area"
143,MT0526300000000,26300,"Hot Springs, AR Metropolitan Statistical Area"
144,CN0506100000000,061,"Howard County, AR"
145,CN0506500000000,065,"Izard County, AR"
146,CN0506700000000,067,"Jackson County, AR"
147,CN0507100000000,071,"Johnson County, AR"
148,MT0527860000000,27860,"Jonesboro, AR Metropolitan Statistical Area"
149,MT0527860000000,27860,"Jonesboro, AR Metropolitan Statistical Area"
150,CN0507300000000,073,"Lafayette County, AR"
151,CN0507500000000,075,"Lawrence County, AR"
152,CN0507700000000,077,"Lee County, AR"
153,MT0530780000000,30780,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
154,MT0530780000000,30780,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
155,MT0530780000000,30780,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
156,MT0530780000000,30780,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
157,MT0530780000000,30780,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
158,MT0530780000000,30780,"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area"
159,CN0508300000000,083,"Logan County, AR"
160,MC0531620000000,31620,"Magnolia, AR Micropolitan Statistical Area"
161,MC0531680000000,31680,"Malvern, AR Micropolitan Statistical Area"
162,CN0508900000000,089,"Marion County, AR"
163,MT4732820000000,32820,"Memphis, TN-MS-AR Metropolitan Statistical Area"
164,CN0509500000000,095,"Monroe County, AR"
165,CN0509700000000,097,"Montgomery County, AR"
166,MC0534260000000,34260,"Mountain Home, AR Micropolitan Statistical Area"
167,MC0537500000000,37500,"Paragould, AR Micropolitan Statistical Area"
168,CN0510900000000,109,"Pike County, AR"
169,MT0538220000000,38220,"Pine Bluff, AR Metropolitan Statistical Area"
170,MT0538220000000,38220,"Pine Bluff, AR Metropolitan Statistical Area"
171,MT0538220000000,38220,"Pine Bluff, AR Metropolitan Statistical Area"
172,CN0511300000000,113,"Polk County, AR"
173,CN0511700000000,117,"Prairie County, AR"
174,CN0512100000000,121,"Randolph County, AR"
175,MC0540780000000,40780,"Russellville, AR Micropolitan Statistical Area"
176,MC0540780000000,40780,"Russellville, AR Micropolitan Statistical Area"
177,CN0512700000000,127,"Scott County, AR"
178,CN0512900000000,129,"Searcy County, AR"
179,MC0542620000000,42620,"Searcy, AR Micropolitan Statistical Area"
180,CN0513300000000,133,"Sevier County, AR"
181,CN0513500000000,135,"Sharp County, AR"
182,CN0513700000000,137,"Stone County, AR"
183,MT4845500000000,45500,"Texarkana, TX-AR Metropolitan Statistical Area"
184,MT4845500000000,45500,"Texarkana, TX-AR Metropolitan Statistical Area"
185,CN0514100000000,141,"Van Buren County, AR"
186,CN0514700000000,147,"Woodruff County, AR"
187,CN0600300000000,003,"Alpine County, CA"
188,CN0600500000000,005,"Amador County, CA"
189,MT0612540000000,12540,"Bakersfield, CA Metropolitan Statistical Area"
190,CN0600900000000,009,"Calaveras County, CA"
191,MT0617020000000,17020,"Chico, CA Metropolitan Statistical Area"
192,MC0617340000000,17340,"Clearlake, CA Micropolitan Statistical Area"
193,CN0601100000000,011,"Colusa County, CA"
194,MC0618860000000,18860,"Crescent City, CA Micropolitan Statistical Area"
195,MT0620940000000,20940,"El Centro, CA Metropolitan Statistical Area"
196,MC0621700000000,21700,"Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area"
197,MT0623420000000,23420,"Fresno, CA Metropolitan Statistical Area"
198,CN0602100000000,021,"Glenn County, CA"
199,MT0625260000000,25260,"Hanford-Corcoran, CA Metropolitan Statistical Area"
200,CN0602700000000,027,"Inyo County, CA"
201,MT0631080000000,31080,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area"
202,MT0631080000000,31080,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area"
203,MT0631460000000,31460,"Madera, CA Metropolitan Statistical Area"
204,CN0604300000000,043,"Mariposa County, CA"
205,MT0632900000000,32900,"Merced, CA Metropolitan Statistical Area"
206,MT0633700000000,33700,"Modesto, CA Metropolitan Statistical Area"
207,CN0604900000000,049,"Modoc County, CA"
208,CN0605100000000,051,"Mono County, CA"
209,MT0634900000000,34900,"Napa, CA Metropolitan Statistical Area"
210,MT0637100000000,37100,"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area"
211,CN0606300000000,063,"Plumas County, CA"
212,MC0639780000000,39780,"Red Bluff, CA Micropolitan Statistical Area"
213,MT0639820000000,39820,"Redding, CA Metropolitan Statistical Area"
214,MT0640140000000,40140,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area"
215,MT0640140000000,40140,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area"
216,MT0640900000000,40900,"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area"
217,MT0640900000000,40900,"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area"
218,MT0640900000000,40900,"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area"
219,MT0640900000000,40900,"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area"
220,MT0641500000000,41500,"Salinas, CA Metropolitan Statistical Area"
221,MT0641740000000,41740,"San Diego-Carlsbad, CA Metropolitan Statistical Area"
222,MT0641860000000,41860,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
223,MT0641860000000,41860,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
224,MT0641860000000,41860,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
225,MT0641860000000,41860,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
226,MT0641860000000,41860,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area"
227,MT0641940000000,41940,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area"
228,MT0641940000000,41940,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area"
229,MT0642020000000,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area"
230,MT0642100000000,42100,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area"
231,MT0642200000000,42200,"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area"
232,MT0642220000000,42220,"Santa Rosa, CA Metropolitan Statistical Area"
233,CN0609100000000,091,"Sierra County, CA"
234,CN0609300000000,093,"Siskiyou County, CA"
235,MC0643760000000,43760,"Sonora, CA Micropolitan Statistical Area"
236,MT0644700000000,44700,"Stockton-Lodi, CA Metropolitan Statistical Area"
237,MC0645000000000,45000,"Susanville, CA Micropolitan Statistical Area"
238,CN0610500000000,105,"Trinity County, CA"
239,MC0646020000000,46020,"Truckee-Grass Valley, CA Micropolitan Statistical Area"
240,MC0646380000000,46380,"Ukiah, CA Micropolitan Statistical Area"
241,MT0646700000000,46700,"Vallejo-Fairfield, CA Metropolitan Statistical Area"
242,MT0647300000000,47300,"Visalia-Porterville, CA Metropolitan Statistical Area"
243,MT0649700000000,49700,"Yuba City, CA Metropolitan Statistical Area"
244,MT0649700000000,49700,"Yuba City, CA Metropolitan Statistical Area"
245,SA0880140000000,80140,"Alamosa-Conejos, CO LMA"
246,SA0880140000000,80140,"Alamosa-Conejos, CO LMA"
247,CN0800700000000,007,"Archuleta County, CO"
248,CN0800900000000,009,"Baca County, CO"
249,CN0801100000000,011,"Bent County, CO"
250,MT0814500000000,14500,"Boulder, CO Metropolitan Statistical Area"
251,MC0814720000000,14720,"Breckenridge, CO Micropolitan Statistical Area"
252,MC0815860000000,15860,"Canon City, CO Micropolitan Statistical Area"
253,CN0801500000000,015,"Chaffee County, CO"
254,CN0801700000000,017,"Cheyenne County, CO"
255,MT0817820000000,17820,"Colorado Springs, CO Metropolitan Statistical Area"
256,MT0817820000000,17820,"Colorado Springs, CO Metropolitan Statistical Area"
257,CN0802300000000,023,"Costilla County, CO"
258,MC0818780000000,18780,"Craig, CO Micropolitan Statistical Area"
259,CN0802700000000,027,"Custer County, CO"
260,CN0802900000000,029,"Delta County, CO"
261,MT0819740000000,19740,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
262,MT0819740000000,19740,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
263,MT0819740000000,19740,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
264,MT0819740000000,19740,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
265,MT0819740000000,19740,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
266,MT0819740000000,19740,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
267,MT0819740000000,19740,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
268,MT0819740000000,19740,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
269,MT0819740000000,19740,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
270,MT0819740000000,19740,"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area"
271,CN0803300000000,033,"Dolores County, CO"
272,MC0820420000000,20420,"Durango, CO Micropolitan Statistical Area"
273,MC0820780000000,20780,"Edwards, CO Micropolitan Statistical Area"
274,MT0822660000000,22660,"Fort Collins, CO Metropolitan Statistical Area"
275,MC0822820000000,22820,"Fort Morgan, CO Micropolitan Statistical Area"
276,MC0824060000000,24060,"Glenwood Springs, CO Micropolitan Statistical Area"
277,MC0824060000000,24060,"Glenwood Springs, CO Micropolitan Statistical Area"
278,CN0804900000000,049,"Grand County, CO"
279,MT0824300000000,24300,"Grand Junction, CO Metropolitan Statistical Area"
280,MT0824540000000,24540,"Greeley, CO Metropolitan Statistical Area"
281,CN0805100000000,051,"Gunnison County, CO"
282,CN0805300000000,053,"Hinsdale County, CO"
283,CN0805500000000,055,"Huerfano County, CO"
284,CN0805700000000,057,"Jackson County, CO"
285,CN0806100000000,061,"Kiowa County, CO"
286,CN0806300000000,063,"Kit Carson County, CO"
287,CN0806500000000,065,"Lake County, CO"
288,CN0807100000000,071,"Las Animas County, CO"
289,CN0807300000000,073,"Lincoln County, CO"
290,CN0807900000000,079,"Mineral County, CO"
291,CN0808300000000,083,"Montezuma County, CO"
292,MC0833940000000,33940,"Montrose, CO Micropolitan Statistical Area"
293,SA0882100000000,82100,"Otero-Crowley, CO LMA"
294,SA0882100000000,82100,"Otero-Crowley, CO LMA"
295,CN0809100000000,091,"Ouray County, CO"
296,CN0809500000000,095,"Phillips County, CO"
297,CN0809900000000,099,"Prowers County, CO"
298,MT0839380000000,39380,"Pueblo, CO Metropolitan Statistical Area"
299,CN0810300000000,103,"Rio Blanco County, CO"
300,CN0810500000000,105,"Rio Grande County, CO"
301,CN0810900000000,109,"Saguache County, CO"
302,CN0811100000000,111,"San Juan County, CO"
303,CN0811300000000,113,"San Miguel County, CO"
304,CN0811500000000,115,"Sedgwick County, CO"
305,MC0844460000000,44460,"Steamboat Springs, CO Micropolitan Statistical Area"
306,MC0844540000000,44540,"Sterling, CO Micropolitan Statistical Area"
307,CN0812100000000,121,"Washington County, CO"
308,CN0812500000000,125,"Yuma County, CO"
309,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
310,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
311,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
312,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
313,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
314,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
315,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
316,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
317,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
318,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
319,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
320,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
321,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
322,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
323,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
324,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
325,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
326,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
327,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
328,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
329,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
330,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
331,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
332,MT0971950000000,71950,"Bridgeport-Stamford-Norwalk, CT Metropolitan NECTA"
333,MT0972850000000,72850,"Danbury, CT Metropolitan NECTA"
334,MT0972850000000,72850,"Danbury, CT Metropolitan NECTA"
335,MT0972850000000,72850,"Danbury, CT Metropolitan NECTA"
336,MT0972850000000,72850,"Danbury, CT Metropolitan NECTA"
337,MT0972850000000,72850,"Danbury, CT Metropolitan NECTA"
338,MT0972850000000,72850,"Danbury, CT Metropolitan NECTA"
339,MT0972850000000,72850,"Danbury, CT Metropolitan NECTA"
340,MT0972850000000,72850,"Danbury, CT Metropolitan NECTA"
341,SA0981220000000,81220,"Hampton, CT LMA"
342,SA0981220000000,81220,"Hampton, CT LMA"
343,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
344,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
345,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
346,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
347,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
348,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
349,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
350,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
351,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
352,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
353,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
354,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
355,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
356,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
357,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
358,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
359,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
360,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
361,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
362,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
363,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
364,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
365,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
366,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
367,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
368,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
369,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
370,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
371,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
372,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
373,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
374,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
375,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
376,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
377,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
378,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
379,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
380,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
381,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
382,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
383,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
384,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
385,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
386,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
387,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
388,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
389,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
390,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
391,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
392,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
393,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
394,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
395,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
396,MT0973450000000,73450,"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA"
