,CBSA,MNAME,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,TNC_CLUSTER,TNC_TRIPS_PER_PERSON,TOT_POP_CLUSTER,TOTAL_YEARLY_POPULATION,POP_SHARE,TNC_TRIPS_PER_CAPITA,TOT_TNC_TRIPS
594,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2013,5950214,12/1/11,2011,2012,1,3,18.3,5950214,95436888,1,7.201755262,42851984.98
595,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2014,6032744,12/1/11,2011,2012,1,3,18.3,6032744,119360751,1,8.883852124,53594005.6
596,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2015,6098283,12/1/11,2011,2012,1,3,18.3,6098283,213074972,1,15.68843202,95672498.28
597,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2016,6133552,12/1/11,2011,2012,1,3,18.3,6133552,240308609,1,17.5918678,107900635.9
598,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2017,6216710,12/1/11,2011,2012,1,3,18.3,6216710,253371069,1,18.3,113765793
117,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",2012,9522446,9/1/11,2011,2012,1,4,11.3,9522446,47135322,1,2.104697785,20041871
118,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2013,9537040,9/1/11,2011,2012,1,4,11.3,9537040,95436888,1,4.254949888,40579627.28
119,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2014,9553810,9/1/11,2011,2012,1,4,11.3,9553810,119360751,1,5.312228248,50752019.36
120,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2015,9550108,9/1/11,2011,2012,1,4,11.3,9550108,213074972,1,9.486716916,90599171.11
121,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2016,9512968,9/1/11,2011,2012,1,4,11.3,9512968,240308609,1,10.74100894,102178874.3
122,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2017,9533895,9/1/11,2011,2012,1,4,11.3,9533895,253371069,1,11.3,107733013.5
71,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2012,4640802,10/1/11,2011,2012,1,5,9.1,4640802,47135322,1,1.764297355,8187754.694
72,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2013,4684299,10/1/11,2011,2012,1,5,9.1,4684299,95436888,1,3.539076948,16578094.61
73,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2014,4732161,10/1/11,2011,2012,1,5,9.1,4732161,119360751,1,4.381475373,20733846.88
74,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2015,4774321,10/1/11,2011,2012,1,5,9.1,4774321,213074972,1,7.752453483,37012701.47
75,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2016,4794447,10/1/11,2011,2012,1,5,9.1,4794447,240308609,1,8.706611213,41743386.01
76,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2017,4836531,10/1/11,2011,2012,1,5,9.1,4836531,253371069,1,9.1,44012432.1
504,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2013,1919641,5/1/12,2012,2013,1,6,8,1919641,95436888,1,3.137078076,6022063.695
505,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2014,1952872,5/1/12,2012,2013,1,6,8,1952872,119360751,1,3.856708716,7531658.464
506,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2015,1976836,5/1/12,2012,2013,1,6,8,1976836,213074972,1,6.801283436,13445021.94
507,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2016,1978816,5/1/12,2012,2013,1,6,8,1978816,240308609,1,7.662897062,15163463.31
508,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2017,1998463,5/1/12,2012,2013,1,6,8,1998463,253371069,1,8,15987704
421,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2013,6034678,5/1/12,2012,2013,1,7,6.2,6034678,95436888,1,2.359121674,14236539.67
422,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2014,6051170,5/1/12,2012,2013,1,7,6.2,6051170,119360751,1,2.942458604,17805317.23
423,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2015,6069875,5/1/12,2012,2013,1,7,6.2,6069875,213074972,1,5.236497079,31784882.71
424,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2016,6070500,5/1/12,2012,2013,1,7,6.2,6070500,240308609,1,5.905178627,35847386.86
425,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2017,6096120,5/1/12,2012,2013,1,7,6.2,6096120,253371069,1,6.2,37795944
309,31100,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2013,13131431,2/1/12,2012,2013,1,8,8.2,13131431,95436888,1,3.141010509,41245962.77
310,31100,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2014,13262220,2/1/12,2012,2013,1,8,8.2,13262220,119360751,1,3.8896497,51585390.04
311,31100,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2015,13340068,2/1/12,2012,2013,1,8,8.2,13340068,213074972,1,6.90302701,92086849.72
312,31100,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2016,13310447,2/1/12,2012,2013,1,8,8.2,13310447,240308609,1,7.802645305,103856696.8
313,31100,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2017,13353907,2/1/12,2012,2013,1,8,8.2,13353907,253371069,1,8.2,109502037.4
336,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",2015,6012331,6/1/14,2014,2015,1,9,7.6,6012331,213074972,1,6.547023805,39362874.18
337,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",2016,6066387,6/1/14,2014,2015,1,9,7.6,6066387,240308609,1,7.318019784,44393940.08
338,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",2017,6158824,6/1/14,2014,2015,1,9,7.6,6158824,253371069,1,7.6,46807062.4
492,41740,"San Diego-Carlsbad, CA Metro Area",2013,3211252,5/1/12,2012,2013,1,10,7.2,3211252,95436888,1,2.818789865,9051844.592
493,41740,"San Diego-Carlsbad, CA Metro Area",2014,3263431,5/1/12,2012,2013,1,10,7.2,3263431,119360751,1,3.469028978,11320936.71
494,41740,"San Diego-Carlsbad, CA Metro Area",2015,3299521,5/1/12,2012,2013,1,10,7.2,3299521,213074972,1,6.124947392,20209392.54
495,41740,"San Diego-Carlsbad, CA Metro Area",2016,3317749,5/1/12,2012,2013,1,10,7.2,3317749,240308609,1,6.869839998,22792404.78
496,41740,"San Diego-Carlsbad, CA Metro Area",2017,3337685,5/1/12,2012,2013,1,10,7.2,3337685,253371069,1,7.2,24031332
528,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",2012,3552157,8/1/11,2011,2012,1,11,7.5,3552157,47135322,1,1.518930502,5395479.615
529,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",2013,3610105,8/1/11,2011,2012,1,11,7.5,3610105,95436888,1,3.026077272,10924456.69
530,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",2014,3671478,8/1/11,2011,2012,1,11,7.5,3671478,119360751,1,3.721381466,13662970.18
531,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",2015,3733580,8/1/11,2011,2012,1,11,7.5,3733580,213074972,1,6.532667536,24390236.86
532,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",2016,3798902,8/1/11,2011,2012,1,11,7.5,3798902,240308609,1,7.240937805,27507613.11
533,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",2017,3867046,8/1/11,2011,2012,1,11,7.5,3867046,253371069,1,7.5,29002845
437,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2015,2390244,8/1/14,2014,2015,1,12,7.5,2390244,213074972,1,6.468997297,15462481.98
438,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2016,2425325,8/1/14,2014,2015,1,12,7.5,2425325,240308609,1,7.19028579,17438779.88
439,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2017,2451560,8/1/14,2014,2015,1,12,7.5,2451560,253371069,1,7.5,18386700
431,38300,"Pittsburgh, PA Metro Area",2015,2353045,2/1/14,2014,2015,1,13,7,2353045,213074972,1,5.837491686,13735880.62
432,38300,"Pittsburgh, PA Metro Area",2016,2342299,2/1/14,2014,2015,1,13,7,2342299,240308609,1,6.6138001,15491497.36
433,38300,"Pittsburgh, PA Metro Area",2017,2333367,2/1/14,2014,2015,1,13,7,2333367,253371069,1,7,16333569
26,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2013,5524693,8/1/12,2012,2013,1,14,7,5524693,95436888,1,2.80741994,15510133.29
27,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2014,5611829,8/1/12,2012,2013,1,14,7,5611829,119360751,1,3.456657694,19398171.89
28,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2015,5709731,8/1/12,2012,2013,1,14,7,5709731,213074972,1,6.064793982,34628342.21
29,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2016,5790210,8/1/12,2012,2013,1,14,7,5790210,240308609,1,6.744880742,39054275.92
30,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2017,5882450,8/1/12,2012,2013,1,14,7,5882450,253371069,1,7,41177150
43,12580,"Baltimore-Columbia-Towson, MD Metro Area",2014,2785874,1/1/13,2013,2014,1,15,6.1,2785874,119360751,1,2.896656867,8069721.053
44,12580,"Baltimore-Columbia-Towson, MD Metro Area",2015,2797407,1/1/13,2013,2014,1,15,6.1,2797407,213074972,1,5.149603161,14405535.93
45,12580,"Baltimore-Columbia-Towson, MD Metro Area",2016,2798886,1/1/13,2013,2014,1,15,6.1,2798886,240308609,1,5.804717648,16246742.96
46,12580,"Baltimore-Columbia-Towson, MD Metro Area",2017,2808175,1/1/13,2013,2014,1,15,6.1,2808175,253371069,1,6.1,17129867.5
426,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",2013,4398762,11/1/12,2012,2013,1,16,4.6,4398762,95436888,1,1.866013368,8208148.695
427,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",2014,4489109,11/1/12,2012,2013,1,16,4.6,4489109,119360751,1,2.286811344,10265745.39
428,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",2015,4574531,11/1/12,2012,2013,1,16,4.6,4574531,213074972,1,4.006035661,18325734.32
429,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",2016,4661537,11/1/12,2012,2013,1,16,4.6,4661537,240308609,1,4.433728952,20667991.56
430,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",2017,4737270,11/1/12,2012,2013,1,16,4.6,4737270,253371069,1,4.6,21791442
149,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2013,6812373,8/1/12,2012,2013,1,17,4.1,6812373,95436888,1,1.677662179,11428860.53
150,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2014,6954003,8/1/12,2012,2013,1,17,4.1,6954003,119360751,1,2.055480365,14293816.62
151,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2015,7102165,8/1/12,2012,2013,1,17,4.1,7102165,213074972,1,3.59276115,25516382.49
152,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2016,7232599,8/1/12,2012,2013,1,17,4.1,7232599,240308609,1,3.978887007,28777694.19
153,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2017,7400479,8/1/12,2012,2013,1,17,4.1,7400479,253371069,1,4.1,30341963.9
344,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2013,3459146,10/1/12,2012,2013,1,18,3.6,3459146,95436888,1,1.411464313,4882461.132
345,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2014,3495176,10/1/12,2012,2013,1,18,3.6,3495176,119360751,1,1.747088956,6106383.389
346,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2015,3524583,10/1/12,2012,2013,1,18,3.6,3524583,213074972,1,3.092767145,10900714.5
347,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2016,3551036,10/1/12,2012,2013,1,18,3.6,3551036,240308609,1,3.462077454,12293961.67
348,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2017,3600618,10/1/12,2012,2013,1,18,3.6,3600618,253371069,1,3.6,12962224.8
163,19740,"Denver-Aurora-Lakewood, CO Metro Area",2013,2697476,8/1/12,2012,2013,1,19,3.5,2697476,95436888,1,1.411565464,3807663.962
164,19740,"Denver-Aurora-Lakewood, CO Metro Area",2014,2754258,8/1/12,2012,2013,1,19,3.5,2754258,119360751,1,1.729017016,4762158.948
165,19740,"Denver-Aurora-Lakewood, CO Metro Area",2015,2814330,8/1/12,2012,2013,1,19,3.5,2814330,213074972,1,3.020645529,8501093.332
166,19740,"Denver-Aurora-Lakewood, CO Metro Area",2016,2853077,8/1/12,2012,2013,1,19,3.5,2853077,240308609,1,3.36045575,9587639.01
167,19740,"Denver-Aurora-Lakewood, CO Metro Area",2017,2888227,8/1/12,2012,2013,1,19,3.5,2888227,253371069,1,3.5,10108794.5
247,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",2015,6656946,2/1/14,2014,2015,1,20,2.9,6656946,213074972,1,2.525053331,16809143.67
248,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",2016,6772470,2/1/14,2014,2015,1,20,2.9,6772470,240308609,1,2.799209406,18957561.73
249,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",2017,6892427,2/1/14,2014,2015,1,20,2.9,6892427,253371069,1,2.9,19988038.3
2,10420,"Akron, OH Metro Area",2015,704243,12/1/14,2014,2015,1,21,4.4,72929208,213074972,0.009656529,3.746633713,2638540.566
3,10420,"Akron, OH Metro Area",2016,702221,12/1/14,2014,2015,1,21,4.4,81851382,240308609,0.00857922,4.205089803,2952902.367
4,10420,"Akron, OH Metro Area",2017,703505,12/1/14,2014,2015,1,21,4.4,83298580,253371069,0.008445582,4.4,3095422
5,10740,"Albuquerque, NM Metro Area",2015,906209,5/1/14,2014,2015,1,21,4.4,72929208,213074972,0.012425872,3.746633713,3395233.19
6,10740,"Albuquerque, NM Metro Area",2016,913924,5/1/14,2014,2015,1,21,4.4,81851382,240308609,0.011165651,4.205089803,3843132.493
7,10740,"Albuquerque, NM Metro Area",2017,913113,5/1/14,2014,2015,1,21,4.4,83298580,253371069,0.010961928,4.4,4017697.2
8,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2016,835652,2/1/15,2015,2016,1,21,4.4,81851382,240308609,0.010209382,4.205089803,3513991.704
9,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2017,840550,2/1/15,2015,2016,1,21,4.4,83298580,253371069,0.010090808,4.4,3698420
15,11460,"Ann Arbor, MI Metro Area",2015,358880,4/1/14,2014,2015,1,21,4.4,72929208,213074972,0.004920936,3.746633713,1344591.907
16,11460,"Ann Arbor, MI Metro Area",2016,364709,4/1/14,2014,2015,1,21,4.4,81851382,240308609,0.004455746,4.205089803,1533634.097
17,11460,"Ann Arbor, MI Metro Area",2017,367627,4/1/14,2014,2015,1,21,4.4,83298580,253371069,0.004413365,4.4,1617558.8
31,12100,"Atlantic City-Hammonton, NJ Metro Area",2015,274219,5/1/14,2014,2015,1,21,4.4,72929208,213074972,0.003760071,3.746633713,1027398.15
32,12100,"Atlantic City-Hammonton, NJ Metro Area",2016,270991,5/1/14,2014,2015,1,21,4.4,81851382,240308609,0.003310769,4.205089803,1139541.491
33,12100,"Atlantic City-Hammonton, NJ Metro Area",2017,269918,5/1/14,2014,2015,1,21,4.4,83298580,253371069,0.003240367,4.4,1187639.2
37,12420,"Austin-Round Rock, TX Metro Area",2015,2000860,6/1/14,2014,2015,1,21,4.4,72929208,213074972,0.027435647,3.746633713,7496489.531
38,12420,"Austin-Round Rock, TX Metro Area",2016,2056405,6/1/14,2014,2015,1,21,4.4,81851382,240308609,0.025123644,4.205089803,8647367.696
39,12420,"Austin-Round Rock, TX Metro Area",2017,2115827,6/1/14,2014,2015,1,21,4.4,83298580,253371069,0.025400517,4.4,9309638.8
49,12700,"Barnstable Town, MA Metro Area",2016,214276,5/1/15,2015,2016,1,21,4.4,81851382,240308609,0.002617867,4.205089803,901049.8226
50,12700,"Barnstable Town, MA Metro Area",2017,213444,5/1/15,2015,2016,1,21,4.4,83298580,253371069,0.002562397,4.4,939153.6
58,13820,"Birmingham-Hoover, AL Metro Area",2016,1147417,12/1/15,2015,2016,1,21,4.4,81851382,240308609,0.014018297,4.205089803,4824991.526
59,13820,"Birmingham-Hoover, AL Metro Area",2017,1149807,12/1/15,2015,2016,1,21,4.4,83298580,253371069,0.013803441,4.4,5059150.8
77,14500,"Boulder, CO Metro Area",2015,319372,2/1/14,2014,2015,1,21,4.4,72929208,213074972,0.004379206,3.746633713,1196569.902
78,14500,"Boulder, CO Metro Area",2016,322226,2/1/14,2014,2015,1,21,4.4,81851382,240308609,0.00393672,4.205089803,1354989.267
79,14500,"Boulder, CO Metro Area",2017,322514,2/1/14,2014,2015,1,21,4.4,83298580,253371069,0.003871783,4.4,1419061.6
82,14740,"Bremerton-Silverdale, WA Metro Area",2017,266414,5/1/16,2016,2017,1,21,4.4,83298580,253371069,0.003198302,4.4,1172221.6
83,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2015,948053,4/1/14,2014,2015,1,21,4.4,72929208,213074972,0.012999634,3.746633713,3552007.332
84,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2016,944177,4/1/14,2014,2015,1,21,4.4,81851382,240308609,0.01153526,4.205089803,3970349.075
85,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2017,949921,4/1/14,2014,2015,1,21,4.4,83298580,253371069,0.011403808,4.4,4179652.4
101,16580,"Champaign-Urbana, IL Metro Area",2016,239872,2/1/15,2015,2016,1,21,4.4,81851382,240308609,0.00293058,4.205089803,1008683.301
102,16580,"Champaign-Urbana, IL Metro Area",2017,241000,2/1/15,2015,2016,1,21,4.4,83298580,253371069,0.002893207,4.4,1060400
107,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2014,2380314,9/1/13,2013,2014,1,21,4.4,20063673,119360751,0.118637998,4.034635127,9603698.478
108,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2015,2426363,9/1/13,2013,2014,1,21,4.4,72929208,213074972,0.033270113,3.746633713,9090693.416
109,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2016,2474314,9/1/13,2013,2014,1,21,4.4,81851382,240308609,0.030229349,4.205089803,10404712.57
110,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2017,2525305,9/1/13,2013,2014,1,21,4.4,83298580,253371069,0.030316303,4.4,11111342
125,17140,"Cincinnati, OH-KY-IN Metro Area",2015,2159329,3/1/14,2014,2015,1,21,4.4,72929208,213074972,0.029608562,3.746633713,8090214.829
126,17140,"Cincinnati, OH-KY-IN Metro Area",2016,2161441,3/1/14,2014,2015,1,21,4.4,81851382,240308609,0.026406897,4.205089803,9089053.509
127,17140,"Cincinnati, OH-KY-IN Metro Area",2017,2180746,3/1/14,2014,2015,1,21,4.4,83298580,253371069,0.02617987,4.4,9595282.4
129,17460,"Cleveland-Elyria, OH Metro Area",2015,2060810,4/1/14,2014,2015,1,21,4.4,72929208,213074972,0.028257677,3.746633713,7721100.222
130,17460,"Cleveland-Elyria, OH Metro Area",2016,2055612,4/1/14,2014,2015,1,21,4.4,81851382,240308609,0.025113956,4.205089803,8644033.06
131,17460,"Cleveland-Elyria, OH Metro Area",2017,2058844,4/1/14,2014,2015,1,21,4.4,83298580,253371069,0.024716436,4.4,9058913.6
145,18140,"Columbus, OH Metro Area",2014,1994536,12/1/13,2013,2014,1,21,4.4,20063673,119360751,0.099410312,4.034635127,8047225.008
146,18140,"Columbus, OH Metro Area",2015,2021632,12/1/13,2013,2014,1,21,4.4,72929208,213074972,0.027720471,3.746633713,7574314.606
147,18140,"Columbus, OH Metro Area",2016,2041520,12/1/13,2013,2014,1,21,4.4,81851382,240308609,0.02494179,4.205089803,8584774.935
148,18140,"Columbus, OH Metro Area",2017,2078725,12/1/13,2013,2014,1,21,4.4,83298580,253371069,0.024955107,4.4,9146390
157,19380,"Dayton, OH Metro Area",2015,800909,10/1/14,2014,2015,1,21,4.4,72929208,213074972,0.010982006,3.746633713,3000712.66
158,19380,"Dayton, OH Metro Area",2016,800683,10/1/14,2014,2015,1,21,4.4,81851382,240308609,0.009782156,4.205089803,3366943.919
159,19380,"Dayton, OH Metro Area",2017,803416,10/1/14,2014,2015,1,21,4.4,83298580,253371069,0.009645014,4.4,3535030.4
160,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2015,623279,12/1/14,2014,2015,1,21,4.4,72929208,213074972,0.008546356,3.746633713,2335198.114
161,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2016,637674,12/1/14,2014,2015,1,21,4.4,81851382,240308609,0.007790632,4.205089803,2681476.435
162,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2017,649202,12/1/14,2014,2015,1,21,4.4,83298580,253371069,0.007793674,4.4,2856488.8
171,19820,"Detroit-Warren-Dearborn, MI Metro Area",2014,4296611,3/1/13,2013,2014,1,21,4.4,20063673,119360751,0.214148775,4.034635127,17335257.67
172,19820,"Detroit-Warren-Dearborn, MI Metro Area",2015,4302043,3/1/13,2013,2014,1,21,4.4,72929208,213074972,0.058989301,3.746633713,16118179.34
173,19820,"Detroit-Warren-Dearborn, MI Metro Area",2016,4297617,3/1/13,2013,2014,1,21,4.4,81851382,240308609,0.052505124,4.205089803,18071865.42
174,19820,"Detroit-Warren-Dearborn, MI Metro Area",2017,4313002,3/1/13,2013,2014,1,21,4.4,83298580,253371069,0.051777617,4.4,18977208.8
177,20500,"Durham-Chapel Hill, NC Metro Area",2015,552493,6/1/14,2014,2015,1,21,4.4,72929208,213074972,0.007575744,3.746633713,2069988.9
178,20500,"Durham-Chapel Hill, NC Metro Area",2016,559535,6/1/14,2014,2015,1,21,4.4,81851382,240308609,0.006835987,4.205089803,2352894.923
179,20500,"Durham-Chapel Hill, NC Metro Area",2017,567428,6/1/14,2014,2015,1,21,4.4,83298580,253371069,0.006811977,4.4,2496683.2
184,21340,"El Paso, TX Metro Area",2015,838019,7/1/14,2014,2015,1,21,4.4,72929208,213074972,0.011490856,3.746633713,3139750.238
185,21340,"El Paso, TX Metro Area",2016,842114,7/1/14,2014,2015,1,21,4.4,81851382,240308609,0.01028833,4.205089803,3541164.994
186,21340,"El Paso, TX Metro Area",2017,842677,7/1/14,2014,2015,1,21,4.4,83298580,253371069,0.010116343,4.4,3707778.8
209,23420,"Fresno, CA Metro Area",2015,974861,2/1/14,2014,2015,1,21,4.4,72929208,213074972,0.013367223,3.746633713,3652447.088
210,23420,"Fresno, CA Metro Area",2016,979915,2/1/14,2014,2015,1,21,4.4,81851382,240308609,0.011971881,4.205089803,4120630.574
211,23420,"Fresno, CA Metro Area",2017,989255,2/1/14,2014,2015,1,21,4.4,83298580,253371069,0.011876013,4.4,4352722
218,24340,"Grand Rapids-Wyoming, MI Metro Area",2015,1038583,8/1/14,2014,2015,1,21,4.4,72929208,213074972,0.014240975,3.746633713,3891190.082
219,24340,"Grand Rapids-Wyoming, MI Metro Area",2016,1047099,8/1/14,2014,2015,1,21,4.4,81851382,240308609,0.012792686,4.205089803,4403145.328
220,24340,"Grand Rapids-Wyoming, MI Metro Area",2017,1059113,8/1/14,2014,2015,1,21,4.4,83298580,253371069,0.012714659,4.4,4660097.2
236,25420,"Harrisburg-Carlisle, PA Metro Area",2016,568033,2/1/15,2015,2016,1,21,4.4,81851382,240308609,0.00693981,4.205089803,2388629.776
237,25420,"Harrisburg-Carlisle, PA Metro Area",2017,571903,2/1/15,2015,2016,1,21,4.4,83298580,253371069,0.006865699,4.4,2516373.2
240,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",2015,1211324,7/1/14,2014,2015,1,21,4.4,72929208,213074972,0.016609587,3.746633713,4538387.336
241,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",2016,1206836,7/1/14,2014,2015,1,21,4.4,81851382,240308609,0.014744235,4.205089803,5074853.757
242,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",2017,1210259,7/1/14,2014,2015,1,21,4.4,83298580,253371069,0.014529167,4.4,5325139.6
252,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",2014,1972241,6/1/13,2013,2014,1,21,4.4,20063673,119360751,0.0982991,4.034635127,7957272.818
253,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",2015,1988152,6/1/13,2013,2014,1,21,4.4,72929208,213074972,0.027261396,3.746633713,7448877.31
254,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",2016,2001737,6/1/13,2013,2014,1,21,4.4,81851382,240308609,0.024455751,4.205089803,8417483.847
