COUNTY,Year,LABOR_FORCE,EMPLOYED,UNEMPLOYED
"Siskiyou County, CA",2016,"17,906","16,385","1,521"
"Solano County, CA",2016,"207,419","196,011","11,408"
"Sonoma County, CA",2016,"259,412","249,100","10,312"
"Stanislaus County, CA",2016,"242,879","221,970","20,909"
"Sutter County, CA",2016,"45,006","40,649","4,357"
"Tehama County, CA",2016,"25,088","23,302","1,786"
"Trinity County, CA",2016,"4,996","4,642",354
"Tulare County, CA",2016,"203,393","180,666","22,727"
"Tuolumne County, CA",2016,"21,582","20,240","1,342"
"Ventura County, CA",2016,"425,658","403,448","22,210"
"Yolo County, CA",2016,"106,150","99,902","6,248"
"Yuba County, CA",2016,"28,170","25,746","2,424"
"Adams County, CO",2016,"253,825","244,897","8,928"
"Alamosa County, CO",2016,"7,974","7,657",317
"Arapahoe County, CO",2016,"340,924","330,523","10,401"
"Archuleta County, CO",2016,"6,371","6,165",206
"Baca County, CO",2016,"2,094","2,059",35
"Bent County, CO",2016,"1,853","1,797",56
"Boulder County, CO",2016,"181,034","176,281","4,753"
"Broomfield County/city, CO",2016,"36,815","35,767","1,048"
"Chaffee County, CO",2016,"8,851","8,620",231
"Cheyenne County, CO",2016,"1,082","1,058",24
"Clear Creek County, CO",2016,"5,693","5,513",180
"Conejos County, CO",2016,"3,775","3,594",181
"Costilla County, CO",2016,"1,730","1,648",82
"Crowley County, CO",2016,"1,423","1,374",49
"Custer County, CO",2016,"2,020","1,958",62
"Delta County, CO",2016,"13,969","13,293",676
"Denver County/city, CO",2016,"385,402","373,636","11,766"
"Dolores County, CO",2016,"1,072","1,031",41
"Douglas County, CO",2016,"177,701","173,038","4,663"
"Eagle County, CO",2016,"33,758","32,846",912
"Elbert County, CO",2016,"13,812","13,459",353
"El Paso County, CO",2016,"314,984","303,345","11,639"
"Fremont County, CO",2016,"14,717","13,968",749
"Garfield County, CO",2016,"31,024","29,957","1,067"
"Gilpin County, CO",2016,"3,488","3,406",82
"Grand County, CO",2016,"9,197","8,954",243
"Gunnison County, CO",2016,"10,146","9,917",229
"Hinsdale County, CO",2016,448,437,11
"Huerfano County, CO",2016,"2,503","2,347",156
"Jackson County, CO",2016,892,869,23
"Jefferson County, CO",2016,"315,665","306,485","9,180"
"Kiowa County, CO",2016,847,830,17
"Kit Carson County, CO",2016,"4,543","4,448",95
"Lake County, CO",2016,"4,622","4,492",130
"La Plata County, CO",2016,"31,017","30,141",876
"Larimer County, CO",2016,"187,550","182,372","5,178"
"Las Animas County, CO",2016,"6,192","5,884",308
"Lincoln County, CO",2016,"2,282","2,224",58
"Logan County, CO",2016,"11,026","10,707",319
"Mesa County, CO",2016,"72,159","68,373","3,786"
"Mineral County, CO",2016,464,454,10
"Moffat County, CO",2016,"7,189","6,908",281
"Montezuma County, CO",2016,"12,735","12,112",623
"Montrose County, CO",2016,"20,086","19,268",818
"Morgan County, CO",2016,"15,054","14,542",512
"Otero County, CO",2016,"8,121","7,745",376
"Ouray County, CO",2016,"2,168","2,088",80
"Park County, CO",2016,"9,844","9,574",270
"Phillips County, CO",2016,"2,474","2,426",48
"Pitkin County, CO",2016,"10,747","10,390",357
"Prowers County, CO",2016,"6,010","5,819",191
"Pueblo County, CO",2016,"73,155","69,712","3,443"
"Rio Blanco County, CO",2016,"2,740","2,603",137
"Rio Grande County, CO",2016,"5,161","4,909",252
"Routt County, CO",2016,"14,923","14,538",385
"Saguache County, CO",2016,"3,230","3,075",155
"San Juan County, CO",2016,480,463,17
"San Miguel County, CO",2016,"5,190","5,024",166
"Sedgwick County, CO",2016,"1,179","1,152",27
"Summit County, CO",2016,"21,150","20,719",431
"Teller County, CO",2016,"11,743","11,315",428
"Washington County, CO",2016,"2,923","2,861",62
"Weld County, CO",2016,"150,089","145,044","5,045"
"Yuma County, CO",2016,"5,444","5,330",114
"Fairfield County, CT",2016,"480,522","457,108","23,414"
"Hartford County, CT",2016,"474,523","449,088","25,435"
"Litchfield County, CT",2016,"104,779","99,828","4,951"
"Middlesex County, CT",2016,"92,223","88,120","4,103"
"New Haven County, CT",2016,"455,053","429,903","25,150"
"New London County, CT",2016,"136,008","129,023","6,985"
"Tolland County, CT",2016,"85,364","81,528","3,836"
"Windham County, CT",2016,"62,804","59,308","3,496"
"Kent County, DE",2016,"77,259","73,467","3,792"
"New Castle County, DE",2016,"293,884","280,885","12,999"
"Sussex County, DE",2016,"101,100","96,560","4,540"
District of Columbia,2016,"395,021","370,897","24,124"
"Alachua County, FL",2016,"132,521","126,849","5,672"
"Baker County, FL",2016,"11,409","10,853",556
"Bay County, FL",2016,"87,847","83,662","4,185"
"Bradford County, FL",2016,"10,852","10,390",462
"Brevard County, FL",2016,"262,336","248,927","13,409"
"Broward County, FL",2016,"1,003,202","958,071","45,131"
"Calhoun County, FL",2016,"4,982","4,696",286
"Charlotte County, FL",2016,"69,230","65,546","3,684"
"Citrus County, FL",2016,"47,800","44,588","3,212"
"Clay County, FL",2016,"100,942","96,402","4,540"
"Collier County, FL",2016,"169,065","161,176","7,889"
"Columbia County, FL",2016,"29,734","28,286","1,448"
"DeSoto County, FL",2016,"13,459","12,751",708
"Dixie County, FL",2016,"5,646","5,339",307
"Duval County, FL",2016,"467,244","444,319","22,925"
"Escambia County, FL",2016,"140,836","133,868","6,968"
"Flagler County, FL",2016,"45,303","42,813","2,490"
"Franklin County, FL",2016,"4,732","4,527",205
"Gadsden County, FL",2016,"18,192","17,053","1,139"
"Gilchrist County, FL",2016,"6,671","6,338",333
"Glades County, FL",2016,"4,714","4,420",294
"Gulf County, FL",2016,"5,961","5,684",277
"Hamilton County, FL",2016,"4,653","4,390",263
"Hardee County, FL",2016,"9,247","8,633",614
"Hendry County, FL",2016,"15,391","14,082","1,309"
"Hernando County, FL",2016,"67,864","63,763","4,101"
"Highlands County, FL",2016,"35,694","33,362","2,332"
"Hillsborough County, FL",2016,"706,663","675,394","31,269"
"Holmes County, FL",2016,"6,706","6,344",362
"Indian River County, FL",2016,"62,131","58,395","3,736"
"Jackson County, FL",2016,"17,324","16,421",903
"Jefferson County, FL",2016,"5,382","5,099",283
"Lafayette County, FL",2016,"2,965","2,836",129
"Lake County, FL",2016,"145,974","138,893","7,081"
"Lee County, FL",2016,"329,055","313,867","15,188"
"Leon County, FL",2016,"150,092","143,297","6,795"
"Levy County, FL",2016,"16,633","15,774",859
"Liberty County, FL",2016,"2,635","2,500",135
"Madison County, FL",2016,"7,319","6,935",384
"Manatee County, FL",2016,"170,456","162,699","7,757"
"Marion County, FL",2016,"131,913","124,245","7,668"
"Martin County, FL",2016,"70,833","67,404","3,429"
"Miami-Dade County, FL",2016,"1,313,067","1,244,190","68,877"
"Monroe County, FL",2016,"46,410","44,934","1,476"
"Nassau County, FL",2016,"37,743","36,047","1,696"
"Okaloosa County, FL",2016,"93,159","89,419","3,740"
"Okeechobee County, FL",2016,"18,131","17,201",930
"Orange County, FL",2016,"705,953","675,257","30,696"
"Osceola County, FL",2016,"164,117","155,983","8,134"
"Palm Beach County, FL",2016,"708,677","675,422","33,255"
"Pasco County, FL",2016,"222,330","210,938","11,392"
"Pinellas County, FL",2016,"477,837","457,088","20,749"
"Polk County, FL",2016,"286,641","270,817","15,824"
"Putnam County, FL",2016,"26,954","25,241","1,713"
"St. Johns County, FL",2016,"118,494","114,014","4,480"
"St. Lucie County, FL",2016,"135,087","127,280","7,807"
"Santa Rosa County, FL",2016,"76,061","72,633","3,428"
"Sarasota County, FL",2016,"180,870","172,654","8,216"
"Seminole County, FL",2016,"241,834","231,507","10,327"
"Sumter County, FL",2016,"29,362","27,261","2,101"
"Suwannee County, FL",2016,"18,169","17,280",889
"Taylor County, FL",2016,"8,829","8,353",476
"Union County, FL",2016,"4,792","4,585",207
"Volusia County, FL",2016,"245,272","232,868","12,404"
"Wakulla County, FL",2016,"14,284","13,694",590
"Walton County, FL",2016,"28,917","27,676","1,241"
"Washington County, FL",2016,"9,692","9,195",497
"Appling County, GA",2016,"9,189","8,604",585
"Atkinson County, GA",2016,"3,976","3,769",207
"Bacon County, GA",2016,"4,982","4,722",260
"Baker County, GA",2016,"1,181","1,090",91
"Baldwin County, GA",2016,"17,633","16,430","1,203"
"Banks County, GA",2016,"8,816","8,389",427
"Barrow County, GA",2016,"37,699","35,927","1,772"
"Bartow County, GA",2016,"48,191","45,731","2,460"
"Ben Hill County, GA",2016,"5,547","5,093",454
"Berrien County, GA",2016,"7,220","6,779",441
"Bibb County, GA",2016,"68,646","64,580","4,066"
"Bleckley County, GA",2016,"4,502","4,146",356
"Brantley County, GA",2016,"7,095","6,620",475
"Brooks County, GA",2016,"7,011","6,644",367
"Bryan County, GA",2016,"16,929","16,108",821
"Bulloch County, GA",2016,"35,964","33,912","2,052"
"Burke County, GA",2016,"9,241","8,531",710
"Butts County, GA",2016,"10,378","9,795",583
"Calhoun County, GA",2016,"2,163","2,041",122
"Camden County, GA",2016,"20,351","19,183","1,168"
"Candler County, GA",2016,"5,072","4,830",242
"Carroll County, GA",2016,"53,541","50,337","3,204"
"Catoosa County, GA",2016,"32,173","30,624","1,549"
"Charlton County, GA",2016,"4,740","4,474",266
"Chatham County, GA",2016,"136,081","128,973","7,108"
"Chattahoochee County, GA",2016,"2,059","1,889",170
"Chattooga County, GA",2016,"10,435","9,779",656
"Cherokee County, GA",2016,"125,900","120,561","5,339"
"Clarke County, GA",2016,"58,761","55,533","3,228"
"Clay County, GA",2016,883,792,91
"Clayton County, GA",2016,"130,760","122,159","8,601"
"Clinch County, GA",2016,"2,769","2,599",170
"Cobb County, GA",2016,"410,112","391,343","18,769"
"Coffee County, GA",2016,"18,086","17,038","1,048"
"Colquitt County, GA",2016,"21,099","19,995","1,104"
"Columbia County, GA",2016,"71,048","67,761","3,287"
"Cook County, GA",2016,"7,523","7,117",406
"Coweta County, GA",2016,"70,400","66,914","3,486"
"Crawford County, GA",2016,"5,677","5,344",333
"Crisp County, GA",2016,"9,189","8,637",552
"Dade County, GA",2016,"8,017","7,614",403
"Dawson County, GA",2016,"11,331","10,803",528
"Decatur County, GA",2016,"11,473","10,713",760
"DeKalb County, GA",2016,"382,702","362,151","20,551"
"Dodge County, GA",2016,"7,015","6,507",508
"Dooly County, GA",2016,"4,950","4,664",286
"Dougherty County, GA",2016,"38,158","35,556","2,602"
"Douglas County, GA",2016,"70,221","66,334","3,887"
"Early County, GA",2016,"4,400","4,099",301
"Echols County, GA",2016,"1,883","1,802",81
"Effingham County, GA",2016,"28,415","27,050","1,365"
"Elbert County, GA",2016,"7,729","7,230",499
"Emanuel County, GA",2016,"8,446","7,795",651
"Evans County, GA",2016,"4,788","4,554",234
"Fannin County, GA",2016,"10,828","10,251",577
"Fayette County, GA",2016,"55,714","53,099","2,615"
"Floyd County, GA",2016,"43,497","40,895","2,602"
"Forsyth County, GA",2016,"111,003","106,392","4,611"
"Franklin County, GA",2016,"9,787","9,277",510
"Fulton County, GA",2016,"531,088","502,625","28,463"
"Gilmer County, GA",2016,"11,834","11,165",669
"Glascock County, GA",2016,"1,268","1,192",76
"Glynn County, GA",2016,"39,176","37,105","2,071"
"Gordon County, GA",2016,"25,299","23,888","1,411"
"Grady County, GA",2016,"10,253","9,698",555
"Greene County, GA",2016,"6,604","6,206",398
"Gwinnett County, GA",2016,"467,718","445,552","22,166"
"Habersham County, GA",2016,"19,302","18,286","1,016"
"Hall County, GA",2016,"96,314","91,998","4,316"
"Hancock County, GA",2016,"2,530","2,319",211
"Haralson County, GA",2016,"12,157","11,455",702
"Harris County, GA",2016,"16,068","15,287",781
"Hart County, GA",2016,"11,012","10,423",589
"Heard County, GA",2016,"4,996","4,702",294
"Henry County, GA",2016,"108,905","102,937","5,968"
"Houston County, GA",2016,"67,668","64,064","3,604"
"Irwin County, GA",2016,"3,218","2,967",251
"Jackson County, GA",2016,"33,289","31,876","1,413"
"Jasper County, GA",2016,"6,582","6,268",314
"Jeff Davis County, GA",2016,"6,226","5,832",394
"Jefferson County, GA",2016,"6,596","6,111",485
"Jenkins County, GA",2016,"3,162","2,924",238
"Johnson County, GA",2016,"3,925","3,687",238
"Jones County, GA",2016,"13,793","13,133",660
"Lamar County, GA",2016,"7,898","7,382",516
"Lanier County, GA",2016,"3,827","3,607",220
"Laurens County, GA",2016,"19,062","17,799","1,263"
"Lee County, GA",2016,"14,557","13,877",680
"Liberty County, GA",2016,"25,043","23,584","1,459"
"Lincoln County, GA",2016,"3,478","3,274",204
"Long County, GA",2016,"7,424","7,025",399
"Lowndes County, GA",2016,"51,309","48,613","2,696"
"Lumpkin County, GA",2016,"15,971","15,210",761
"McDuffie County, GA",2016,"8,800","8,159",641
"McIntosh County, GA",2016,"6,003","5,654",349
"Macon County, GA",2016,"4,679","4,293",386
"Madison County, GA",2016,"13,083","12,439",644
"Marion County, GA",2016,"3,380","3,133",247
"Meriwether County, GA",2016,"8,757","8,158",599
"Miller County, GA",2016,"2,753","2,605",148
"Mitchell County, GA",2016,"8,569","8,009",560
"Monroe County, GA",2016,"13,018","12,348",670
"Montgomery County, GA",2016,"3,724","3,448",276
"Morgan County, GA",2016,"8,698","8,261",437
"Murray County, GA",2016,"15,641","14,536","1,105"
"Muscogee County, GA",2016,"78,420","73,115","5,305"
"Newton County, GA",2016,"49,997","47,014","2,983"
"Oconee County, GA",2016,"18,476","17,722",754
"Oglethorpe County, GA",2016,"6,919","6,584",335
"Paulding County, GA",2016,"79,651","75,983","3,668"
"Peach County, GA",2016,"11,438","10,640",798
"Pickens County, GA",2016,"14,402","13,705",697
"Pierce County, GA",2016,"8,555","8,104",451
"Pike County, GA",2016,"8,403","7,969",434
"Polk County, GA",2016,"18,070","16,965","1,105"
"Pulaski County, GA",2016,"4,039","3,803",236
"Putnam County, GA",2016,"7,952","7,394",558
"Quitman County, GA",2016,815,756,59
"Rabun County, GA",2016,"6,697","6,303",394
"Randolph County, GA",2016,"2,473","2,265",208
"Richmond County, GA",2016,"84,825","79,116","5,709"
"Rockdale County, GA",2016,"43,247","40,751","2,496"
"Schley County, GA",2016,"2,116","1,983",133
"Screven County, GA",2016,"5,238","4,845",393
"Seminole County, GA",2016,"3,092","2,850",242
"Spalding County, GA",2016,"27,789","25,887","1,902"
"Stephens County, GA",2016,"11,033","10,387",646
"Stewart County, GA",2016,"2,137","2,001",136
"Sumter County, GA",2016,"12,843","11,875",968
"Talbot County, GA",2016,"2,745","2,562",183
"Taliaferro County, GA",2016,549,511,38
"Tattnall County, GA",2016,"9,332","8,834",498
"Taylor County, GA",2016,"3,323","3,075",248
"Telfair County, GA",2016,"4,812","4,411",401
"Terrell County, GA",2016,"3,656","3,420",236
"Thomas County, GA",2016,"17,531","16,442","1,089"
"Tift County, GA",2016,"18,552","17,558",994
"Toombs County, GA",2016,"11,785","10,868",917
"Towns County, GA",2016,"4,107","3,829",278
"Treutlen County, GA",2016,"2,741","2,531",210
"Troup County, GA",2016,"36,837","34,968","1,869"
"Turner County, GA",2016,"3,236","3,027",209
"Twiggs County, GA",2016,"2,949","2,693",256
"Union County, GA",2016,"10,449","9,956",493
"Upson County, GA",2016,"11,141","10,426",715
"Walker County, GA",2016,"29,936","28,274","1,662"
"Walton County, GA",2016,"43,381","41,259","2,122"
"Ware County, GA",2016,"15,482","14,651",831
"Warren County, GA",2016,"2,699","2,512",187
"Washington County, GA",2016,"7,183","6,730",453
"Wayne County, GA",2016,"11,294","10,523",771
"Webster County, GA",2016,966,883,83
"Wheeler County, GA",2016,"1,733","1,578",155
"White County, GA",2016,"14,482","13,813",669
"Whitfield County, GA",2016,"44,740","42,014","2,726"
"Wilcox County, GA",2016,"2,720","2,525",195
"Wilkes County, GA",2016,"3,707","3,462",245
