Last Report Year,5 Digit NTDID,4 Digit NTDID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,Primary UZA Name,UZA,UZA Area SQ Miles,UZA Population,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
2016,00018,0018,Ben Franklin Transit(BFT),Active,Full Reporter,Richland,WA,2010,"Kennewick-Pasco, WA",171,102,"210,975","$1,572,646","$1,577,366",,"$2,154,112","$2,215,366","$2,809,566","$3,523,056","$3,968,962","$3,936,631","$4,247,319","$4,107,368","$3,826,230","$4,220,235","$3,980,658","$3,928,449"
2016,00019,0019,Intercity Transit(I.T.),Active,Full Reporter,Olympia,WA,2010,"Olympia-Lacey, WA",195,106,"176,617","$1,728,081","$1,805,783","$1,899,431","$2,070,124","$2,356,589","$2,694,152","$3,103,933","$3,941,411","$3,942,756","$4,042,793","$4,380,984","$4,919,217","$5,035,124","$4,833,189","$4,707,018"
2016,00020,0020,Kitsap Transit,Active,Full Reporter,Bremerton,WA,2010,"Bremerton, WA",180,136,"198,979","$1,988,482","$2,046,223","$2,404,860","$2,618,577","$3,736,861","$3,914,082","$4,684,644","$6,394,413","$7,953,400","$7,922,783","$7,177,782","$6,812,629","$6,731,844","$6,670,208","$5,435,938"
2016,00021,0021,Whatcom Transportation Authority(WTA),Active,Full Reporter,Bellingham,WA,2010,"Bellingham, WA",275,48,"114,473","$934,536","$1,031,042","$1,030,058","$1,009,433","$1,146,818","$1,232,096","$1,418,086","$1,730,272","$1,923,805","$1,971,441","$2,109,216","$2,152,854","$2,176,087","$1,983,060","$2,706,732"
2016,00022,0022,City of Pocatello - Pocatello Regional Transit(PRT),Active,Reduced Reporter,Pocatello,ID,2010,"Pocatello, ID",395,31,"69,809","$249,094","$248,442","$192,450","$163,785","$66,939","$75,908","$90,770","$106,898","$126,531","$136,282","$131,367","$137,545","$126,735","$131,882","$126,387"
2016,00023,0023,City of Seattle - Seattle Center Monorail Transit(SMS),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393","$2,462,086","$2,761,493","$1,010,942","$2,153,805","$370,558","$2,735,891","$2,707,888","$2,950,195","$3,053,436","$3,307,997","$4,074,219","$3,991,266","$4,110,232","$4,334,884","$4,212,142"
2016,00024,0024,Clark County Public Transportation Benefit Area Authority(C-Tran),Active,Full Reporter,Vancouver,WA,2010,"Portland, OR-WA",24,524,"1,849,898","$3,591,053","$3,618,254","$3,997,897","$4,766,441","$5,060,166","$5,580,408","$6,613,087","$6,938,258","$7,177,150","$7,692,735","$7,704,373","$7,971,100","$8,088,346","$7,820,987","$7,520,985"
2016,00025,0025,Salem Area Mass Transit District(Cherriots),Active,Full Reporter,Salem,OR,2010,"Salem, OR",156,76,"236,632","$1,464,637","$1,582,502","$1,793,920","$2,239,426","$2,422,370","$2,716,127","$3,143,900","$3,615,709","$2,585,767","$2,570,752","$2,877,103","$2,739,142","$2,977,112","$3,332,021","$3,183,074"
2016,00028,0028,Pierce County Ferry Operations(Pierce County Ferry),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393","$1,220,552","$1,253,823","$1,479,438","$1,616,163","$1,881,778","$2,014,782","$1,886,133","$2,001,360","$1,168,672","$1,897,368","$1,939,609","$2,000,989","$2,154,764","$2,233,060","$2,369,795"
2016,00029,0029,Snohomish County Public Transportation Benefit Area Corporation(Community Transit),Active,Full Reporter,Everett,WA,2010,"Seattle, WA",14,"1,010","3,059,393","$12,692,509","$12,140,586","$13,521,637","$14,826,688","$16,007,984","$18,822,934","$21,282,449","$21,617,884","$24,596,567","$25,141,210","$25,566,159","$27,834,280","$28,566,284","$29,628,648","$30,595,173"
2016,00034,0034,Rogue Valley Transportation District(RVTD),Active,Full Reporter,Medford,OR,2010,"Medford, OR",213,65,"154,081","$472,055","$636,746","$735,846","$887,808","$929,273","$1,143,744","$1,191,378","$1,223,561","$1,328,177","$1,355,218","$1,223,717","$1,450,332","$1,263,264","$1,376,401","$1,149,008"
2016,00035,0035,Washington State Ferries(WSF),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393","$26,526,214","$50,504,731","$56,970,403","$58,457,439","$32,520,094","$34,283,767","$35,698,924","$35,208,864","$36,402,916","$35,587,378","$36,280,648","$37,615,750","$38,179,089","$39,554,501","$40,721,339"
1998,00038,0038,"Community and Rural Transportation, Inc.",Inactive,Full Reporter,Idaho Falls,ID,1990,"Idaho Falls, ID",362,21,"56,356",,,,,,,,,,,,,,,
2016,00040,0040,Central Puget Sound Regional Transit Authority(ST),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393","$9,225,387","$11,624,553","$13,205,535","$16,482,718","$18,051,544","$22,028,754","$11,837,905","$29,048,220","$37,589,007","$46,116,593","$54,145,484","$56,944,350","$60,156,279","$65,425,640","$80,560,314"
2016,00041,0041,Alaska Railroad Corporation(ARRC),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243","$725,212","$814,088","$927,822","$1,231,778","$1,343,905","$1,481,165","$1,551,649","$1,394,379","$1,279,438","$1,445,703","$14,500,525","$15,470,981","$16,453,864","$19,932,525","$21,161,796"
2016,00042,0042,Targhee Regional Public Transit Authority(TRPTA),Active,Reduced Reporter,Idaho Falls,ID,2010,"Idaho Falls, ID",321,45,"90,733","$173,870",,,,"$34,502",,,"$82,225","$82,283","$73,938","$70,289","$75,294","$48,927","$53,172","$41,952"
2016,00043,0043,Link Transit,Active,Full Reporter,Wenatchee,WA,2010,"Wenatchee, WA",412,31,"67,227",,,"$298,704","$324,739","$380,617","$502,004","$573,697","$658,947","$696,315","$792,113","$793,063","$712,896","$689,090","$657,487","$636,598"
2016,00044,0044,Skagit Transit,Active,Full Reporter,Burlington,WA,2010,"Mount Vernon, WA",435,34,"62,966",,,"$170,881","$196,388","$290,475","$437,860","$565,000","$706,037","$699,000","$780,428","$900,079","$971,256","$993,174","$946,168","$859,170"
2016,00045,0045,Fairbanks North Star Borough Transit(MACS),Active,Reduced Reporter,Fairbanks,AK,2010,"Fairbanks, AK",425,55,"64,513",,,"$210,076","$193,344","$183,091","$242,486","$322,229","$359,148","$421,676","$381,075","$275,615","$289,585","$310,451","$405,051","$417,033"
2016,00046,0046,South Metro Area Regional Transit(SMART),Active,Reduced Reporter,Wilsonville,OR,2010,"Portland, OR-WA",24,524,"1,849,898",$0,$0,$0,$0,"$33,360","$126,320","$133,456","$174,413","$164,431","$172,489","$179,633","$223,931","$251,511","$248,995","$190,235"
2016,00047,0047,City of Corvallis(CTS),Active,Full Reporter,Corvallis,OR,2010,"Corvallis, OR",436,21,"62,433",,,,,,,,"$445,435","$462,844","$316,570",$0,$0,$0,$0,$0
2016,00048,0048,Lewiston Transit System(LTS),Active,Reduced Reporter,Lewiston,ID,2010,"Lewiston, ID-WA",483,28,"51,924",,,,,,,,,,$0,"$36,397","$39,903","$38,518","$37,702","$39,327"
2015,00049,0049,"vRide, Inc. - Anchorage",Inactive,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243",,,,,"$280,639","$611,177","$203,839","$310,798","$379,014","$771,522","$833,383","$643,117","$807,445","$1,175,529",
2011,00050,0050,"City of Bend, Bend Area Transit(BAT)",Inactive,Reduced Reporter,Bend,OR,2010,"Bend, OR",344,40,"83,794",,,,,,"$157,780","$195,900","$205,642","$245,734","$282,452",,,,,
2016,00051,0051,Asotin County PTBA(PTBA),Active,Reduced Reporter,Clarkston,WA,2010,"Lewiston, ID-WA",483,28,"51,924",,,,,,,,,,$0,"$111,606","$111,019","$114,955","$126,032","$108,749"
2012,00052,0052,Metro(Metro),Inactive,Reduced Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",,,,,,,,"$194,405","$111,908","$190,825","$196,290",,,,
2015,00054,0054,King County Ferry District(KCFD),Inactive,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393",,,,,,,,"$153,584","$444,807","$1,100,484","$1,420,638","$1,625,208","$1,764,299","$1,982,612",
2016,00055,0055,Kootenai County(KC),Active,Reduced Reporter,Coeur d'Alene,ID,2010,"Coeur d'Alene, ID",304,47,"98,378",,,,,,,,,,,$0,$0,$0,$0,$0
2012,00056,0056,Port of Kingston(POK),Inactive,Full Reporter,Kingston,WA,2010,Non-UZA,0,,,,,,,,,,,,,"$67,437",,,,
2016,00057,0057,Central Oregon Intergovernmental Council(Cascades East Transit),Active,Full Reporter,Bend,OR,2010,"Bend, OR",344,40,"83,794",,,,,,,,,,,"$529,695","$516,993","$584,432","$648,177","$764,872"
2016,00058,0058,City of Portland(PBOT),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898",,,,,,,,,,,$0,"$779,050","$1,027,039","$1,102,068","$1,573,689"
2016,00059,0059,Josephine County(JCT),Active,Reduced Reporter,Grants Pass,OR,2010,"Grants Pass, OR",494,27,"50,520",,,,,,,,,,,"$135,355","$147,923","$152,958","$153,601","$137,783"
2016,00061,0061,City of Albany(ATS),Active,Reduced Reporter,Albany,OR,2010,"Albany, OR",459,24,"56,997",,,,,,,,,,,"$47,838","$77,942","$89,532","$86,140","$86,424"
2016,00063,0063,City of Milton-Freewater,Active,Reduced Reporter,MiltonFreewater,OR,2010,"Walla Walla, WA-OR",464,28,"55,805",,,,,,,,,,,"$13,310","$14,884","$14,541","$10,113","$9,879"
2016,00064,0064,Valley Transit(VT),Active,Reduced Reporter,Walla Walla,WA,2010,"Walla Walla, WA-OR",464,28,"55,805",,,,,,,,,,,"$257,679","$281,264","$224,472","$204,025","$199,606"
2016,00065,0065,Benton County(BCSTF),Active,Reduced Reporter,Corvallis,OR,2010,"Corvallis, OR",436,21,"62,433",,,,,,,,,,,,"$73,520","$70,114","$217,110","$96,270"
2016,10001,1001,Rhode Island Public Transit Authority(RIPTA),Active,Full Reporter,Providence,RI,2010,"Providence, RI-MA",39,545,"1,190,956","$10,629,025","$11,321,831","$14,374,497","$19,992,021","$21,947,512","$23,050,439","$24,118,694","$24,765,075","$18,733,138","$20,513,041","$21,980,654","$22,464,647","$22,670,139","$19,951,729","$19,068,063"
2016,10002,1002,Manchester Transit Authority(MTA),Active,Reduced Reporter,Manchester,NH,2010,"Manchester, NH",209,86,"158,377","$244,763","$243,272","$269,787","$485,041","$332,185","$368,781","$384,241","$515,194","$565,110","$584,184","$600,502","$604,551","$661,024","$687,431","$667,216"
2016,10003,1003,Massachusetts Bay Transportation Authority(MBTA),Active,Full Reporter,Boston,MA,2010,"Boston, MA-NH-RI",10,"1,873","4,181,019","$290,533,067","$283,071,935","$303,544,254","$327,580,811","$341,868,507","$395,876,376","$449,670,261","$456,042,219","$445,707,914","$455,503,249","$472,185,325","$564,945,469","$576,853,118","$602,771,384","$619,056,043"
2016,10004,1004,Brockton Area Transit Authority(BAT),Active,Full Reporter,Brockton,MA,2010,"Boston, MA-NH-RI",10,"1,873","4,181,019","$3,055,618","$2,381,736","$3,179,212","$3,047,694","$3,133,197","$3,135,565","$3,085,445","$3,482,049","$3,561,513","$3,676,306","$3,850,779","$3,741,942","$3,821,032","$3,865,705","$3,888,255"
2016,10005,1005,Lowell Regional Transit Authority(LRTA),Active,Full Reporter,Lowell,MA,2010,"Boston, MA-NH-RI",10,"1,873","4,181,019","$781,061","$944,840","$880,114","$929,149","$870,242","$996,621","$1,047,057","$1,094,812","$1,105,363","$1,135,972","$1,232,555","$1,270,546","$1,323,831","$1,393,145","$1,371,165"
2016,10006,1006,Southeastern Regional Transit Authority(SRTA),Active,Full Reporter,New Bedford,MA,2010,"New Bedford, MA",219,55,"149,443","$1,963,474","$1,662,515","$1,686,638","$1,749,796","$1,731,609","$1,708,593","$1,751,584","$1,907,985","$1,600,580","$1,976,707","$2,140,170","$2,122,788","$2,254,402","$2,309,260","$2,501,970"
2016,10007,1007,Berkshire Regional Transit Authority(BRTA),Active,Full Reporter,Pittsfield,MA,2010,"Pittsfield, MA",448,34,"59,124","$781,473","$714,659","$672,883","$483,689","$878,206","$893,178","$977,917","$1,041,011","$1,197,054","$912,343","$922,286","$921,225","$896,411","$949,465","$920,505"
2016,10008,1008,Pioneer Valley Transit Authority(PVTA),Active,Full Reporter,Springfield,MA,2010,"Springfield, MA-CT",65,349,"621,300","$4,941,626","$4,642,499","$5,620,969","$5,234,638","$5,344,438","$5,373,945","$5,473,788","$6,509,183","$6,469,924","$6,738,965","$7,354,753","$7,406,431","$7,485,289","$7,780,297","$7,950,748"
2016,10013,1013,Merrimack Valley Regional Transit Authority(MVRTA),Active,Full Reporter,Haverhill,MA,2010,"Boston, MA-NH-RI",10,"1,873","4,181,019","$864,737","$983,491","$952,130","$1,096,209","$1,143,744","$1,260,661","$1,300,645","$1,416,840","$1,358,749","$1,448,614","$1,605,538","$1,696,565","$1,681,811","$1,792,786","$2,006,842"
2016,10014,1014,Worcester Regional Transit Authority(WRTA),Active,Full Reporter,Worcester,MA,2010,"Worcester, MA-CT",81,304,"486,514","$2,990,076","$3,191,112","$2,843,763","$2,017,624","$2,680,263","$2,586,952","$2,555,692","$2,828,840","$3,216,636","$3,213,873","$3,551,967","$3,667,998","$3,594,938","$3,657,520","$3,662,880"
2016,10015,1015,Lewiston-Auburn Transit Committee(LATC),Active,Reduced Reporter,Auburn,ME,2010,"Lewiston, ME",446,35,"59,397",,,,,,,"$135,560","$143,879","$150,165","$167,408","$211,753","$228,475","$243,929","$240,264","$257,110"
2016,10016,1016,Greater Portland Transit District(METRO),Active,Full Reporter,Portland,ME,2010,"Portland, ME",177,136,"203,914","$1,004,376","$1,057,569","$1,091,473","$1,120,592","$1,316,819","$1,334,131","$1,418,225","$1,452,551","$1,523,929","$1,744,713","$1,779,927","$1,809,031","$1,876,643","$1,738,823","$1,903,211"
2016,10017,1017,Greater Hartford Transit District(GHTD),Active,Full Reporter,Hartford,CT,2010,"Hartford, CT",47,516,"924,859","$212,670","$278,118","$300,864","$794,746","$813,108","$890,552","$1,047,654","$980,031","$683,981","$389,676","$388,619","$395,032","$421,872","$465,122","$499,358"
2016,10040,1040,Southeast Area Transit(SEAT),Active,Full Reporter,Preston,CT,2010,"Norwich-New London, CT-RI",174,152,"209,190","$838,991","$641,245","$661,784","$744,138","$832,947","$1,107,417","$1,212,731","$1,204,679","$1,010,848","$1,191,645","$1,266,894","$1,238,433","$1,263,592","$1,229,472","$1,237,153"
1997,10041,1041,Westport Transit District,Inactive,Full Reporter,Norwalk,CT,1990,"Norwalk, CT",209,49,"108,888",,,,,,,,,,,,,,,
2016,10042,1042,Valley Transit District(VTD),Active,Full Reporter,Derby,CT,2010,"Bridgeport-Stamford, CT-NY",48,466,"923,311","$408,473","$356,193","$327,895",,,"$344,217","$343,788","$383,947","$460,127","$64,510","$60,193","$62,114","$65,307","$72,112","$69,992"
2016,10045,1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.(CDOT CTTransit DATTCO),Active,Full Reporter,New Britain,CT,2010,"Hartford, CT",47,516,"924,859",,,,,,,,,,$0,"$273,266","$688,529","$743,278","$309,328","$370,110"
2010,10047,1047,"New Britain Transportation Company, Inc.",Inactive,Full Reporter,Berlin,CT,2000,"Hartford, CT",45,469,"851,535","$377,257",,"$384,114",,"$472,929",,"$540,581","$478,536","$484,065",,,,,,
2016,10048,1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division(CTTransit),Active,Full Reporter,Hartford,CT,2010,"Hartford, CT",47,516,"924,859","$10,555,907","$9,872,297","$10,085,398","$10,683,491","$11,847,812","$12,039,635","$12,375,554","$12,649,838","$12,412,172","$12,602,353","$13,622,900","$13,196,107","$13,716,332","$15,183,272","$15,909,276"
2016,10049,1049,The Greater New Haven Transit District(GNHTD),Active,Full Reporter,Hamden,CT,2010,"New Haven, CT",72,306,"562,839","$1,046,971","$285,030","$151,448","$131,358","$125,812","$158,671","$218,389","$178,047","$184,528","$176,637","$199,358","$199,524","$185,175","$220,012","$224,877"
2016,10050,1050,Greater Bridgeport Transit Authority(GBT),Active,Full Reporter,Bridgeport,CT,2010,"Bridgeport-Stamford, CT-NY",48,466,"923,311","$4,336,397","$4,240,888","$4,266,415","$4,429,379","$4,991,233","$5,248,022","$5,191,476","$5,778,404","$5,828,275","$6,368,803","$6,415,855","$6,085,199","$6,939,063","$6,653,598","$6,330,083"
2016,10051,1051,Housatonic Area Regional Transit(HARTransit),Active,Full Reporter,Danbury,CT,2010,"Danbury, CT-NY",201,132,"168,136","$532,612","$557,971","$580,314","$672,703","$769,363","$753,481","$808,944","$839,292","$790,243","$802,711","$901,547","$857,228","$938,958","$977,230","$961,461"
2006,10052,1052,"New Britain Transportation Company, Inc.",Inactive,Full Reporter,Berlin,CT,2000,"Hartford, CT",45,469,"851,535","$51,127",,"$35,707",,"$40,818",,,,,,,,,,
2016,10053,1053,Cape Ann Transportation Authority(CATA),Active,Full Reporter,Gloucester,MA,2010,"Boston, MA-NH-RI",10,"1,873","4,181,019","$193,385","$207,021","$191,584","$197,211","$205,158","$222,551","$229,278","$197,673","$186,467","$190,113","$191,873","$185,975","$180,806","$165,245","$185,451"
2016,10055,1055,Connecticut Department of Transportation - CTTRANSIT New Haven Division(CTTRANSIT),Active,Full Reporter,Hartford,CT,2010,"New Haven, CT",72,306,"562,839","$5,941,012","$5,600,261","$5,679,805","$6,321,171","$6,821,306","$6,825,669","$7,289,747","$7,505,517","$7,476,558","$7,949,040","$8,596,747","$8,840,516","$8,510,000","$8,173,459","$7,814,850"
2016,10056,1056,Connecticut Department of Transportation - CTTRANSIT Stamford Division(CTTransit),Active,Full Reporter,Hartford,CT,2010,"Bridgeport-Stamford, CT-NY",48,466,"923,311","$2,574,238","$2,497,534","$2,545,496","$2,689,116","$3,017,329","$3,052,856","$3,184,894","$3,432,789","$3,256,198","$3,655,790","$3,978,873","$4,178,213","$4,295,849","$4,355,003","$4,101,146"
2016,10057,1057,Norwalk Transit District,Active,Full Reporter,Norwalk,CT,2010,"Bridgeport-Stamford, CT-NY",48,466,"923,311","$1,567,476","$1,521,713","$1,564,845","$1,676,793","$1,793,965","$1,800,941","$1,841,068","$1,859,049","$1,816,431","$1,863,345","$2,066,816","$2,122,568","$2,192,564","$2,122,138","$1,965,144"
2008,10060,1060,Town of New Milford - New Milford Senior Center,Inactive,Reduced Reporter,New Milford,CT,2000,"Danbury, CT-NY",186,124,"154,455",,,,,,,,,,,,,,,
2016,10061,1061,Montachusett Regional Transit Authority(MART),Active,Full Reporter,Fitchburg,MA,2010,"Leominster-Fitchburg, MA",269,65,"116,960","$1,183,173","$1,132,066","$1,343,769","$1,157,541","$1,146,239","$1,160,703","$1,259,157","$3,152,529","$3,466,856","$2,375,421","$2,570,079","$2,592,111","$4,036,287","$4,280,638","$4,753,945"
2016,10063,1063,Middletown Transit District(MTD),Active,Full Reporter,Middletown,CT,2010,"Hartford, CT",47,516,"924,859","$234,660","$230,532","$281,003","$293,080","$313,009","$371,932","$293,842","$336,687","$324,163","$346,266","$286,126","$322,244","$381,750","$399,579","$415,839"
2016,10064,1064,Greater Attleboro-Taunton Regional Transit Authority(GATRA),Active,Full Reporter,Taunton,MA,2010,"Providence, RI-MA",39,545,"1,190,956","$1,796,505","$1,675,643","$1,722,820","$1,535,974","$1,452,012","$2,008,906","$2,033,820","$1,837,126","$1,825,546","$1,581,440","$1,643,404","$1,687,647","$1,576,359","$1,373,487","$1,227,933"
2016,10066,1066,Chittenden County Transportation Authority(CCTA),Active,Full Reporter,Burlington,VT,2010,"Burlington, VT",285,62,"108,740","$1,007,007","$1,051,464","$1,118,517","$1,312,504","$1,780,878","$1,817,281","$1,884,920","$2,237,120","$2,256,351","$2,382,846","$2,593,015","$2,722,418","$2,463,721","$2,679,685","$2,539,838"
2016,10069,1069,"Regional Transportation Program, Inc.(RTP)",Active,Reduced Reporter,Portland,ME,2010,"Portland, ME",177,136,"203,914","$1,844,741","$1,700,261","$1,769,784","$1,628,293","$1,704,858","$1,573,990","$1,643,528","$1,611,623","$1,675,933","$1,510,855","$1,663,687","$1,731,127","$1,133,437","$974,579","$70,402"
2016,10086,1086,Cooperative Alliance for Seacoast Transportation(COAST),Active,Full Reporter,Dover,NH,2010,"Dover-Rochester, NH-ME",331,66,"88,087",,"$148,825","$152,666","$137,338","$159,096","$167,503","$183,813","$276,883","$323,952","$368,867","$451,381","$574,152","$748,353","$748,767","$783,264"
2016,10087,1087,Nashua Transit System(NTS),Active,Full Reporter,Nashua,NH,2010,"Nashua, NH-MA",160,182,"226,400","$186,935","$199,996","$204,107","$219,450","$229,420","$248,366","$248,224","$278,353","$304,788","$276,125","$374,641","$417,125","$399,786","$410,168","$394,678"
2016,10088,1088,Casco Bay Island Transit District(CBITD),Active,Full Reporter,Portland,ME,2010,"Portland, ME",177,136,"203,914","$1,691,854","$1,658,252","$1,637,930","$1,727,649","$1,471,949","$1,977,897","$447,102","$2,133,329","$2,176,368","$2,208,790","$2,295,805","$2,306,271","$2,338,561","$2,474,161","$2,619,139"
2001,10089,1089,Transit Express,Inactive,Full Reporter,Springfield,MA,1990,"Springfield, MA--CT",57,302,"532,747",,,,,,,,,,,,,,,
2010,10095,1095,"Northeast Transportation Company, Inc.",Inactive,Full Reporter,Waterbury,CT,2000,"Waterbury, CT",159,98,"189,026","$1,420,322","$1,381,485","$1,443,232","$1,627,737","$1,845,220","$1,806,700","$1,962,979","$1,912,565","$1,780,038",,,,,,
2016,10096,1096,City of Bangor - BAT Community Connector(BAT),Active,Reduced Reporter,Bangor,ME,2010,"Bangor, ME",441,43,"61,210","$297,925","$333,947","$377,608","$429,782","$488,406","$549,125","$676,082","$723,668","$713,555","$821,261","$895,267","$852,377","$691,025","$742,960","$721,971"
1993,10097,1097,"Eastern Transportation Services, Inc.",Inactive,Full Reporter,Bangor,ME,1990,"Bangor, ME",328,71,"61,402",,,,,,,,,,,,,,,
2016,10098,1098,"Western Maine Transportation Services, Inc.(WMTS)",Active,Full Reporter,Auburn,ME,2010,"Lewiston, ME",446,35,"59,397","$108,472","$113,354","$123,376","$174,367","$169,968","$157,370",,,"$19,886","$44,476","$54,138","$51,202","$45,502","$41,216","$265,569"
2016,10099,1099,York County Community Action Corporation(YCCAC),Active,Reduced Reporter,Sanford,ME,2010,"Portsmouth, NH-ME",329,93,"88,200",,,,,,,,,,,"$63,303","$72,346","$79,982","$82,747","$75,986"
1995,10101,1101,Kenneth Hudson Inc. dba Hudson Bus Lines,Inactive,Full Reporter,Lewiston,ME,1990,"Lewiston--Auburn, ME",292,84,"71,598",,,,,,,,,,,,,,,
2016,10102,1102,Connecticut Department of Transportation(CDOT),Active,Full Reporter,Newington,CT,2010,"Hartford, CT",47,516,"924,859","$3,234,811","$3,352,753","$3,508,767","$3,837,785","$4,304,355","$4,239,842","$2,181,888","$2,478,049","$2,393,896","$2,326,620","$2,452,012","$3,044,883","$3,303,214","$3,289,173","$3,197,262"
2003,10103,1103,City of Stamford Dial-A-Ride,Inactive,Reduced Reporter,Stamford,CT,2000,"Bridgeport-Stamford, CT-NY",41,465,"888,890",,,,,,,,,,,,,,,
2000,10104,1104,Greater Waterbury Transit District,Inactive,Full Reporter,Waterbury,CT,1990,"Waterbury, CT",144,73,"175,067",,,,,,,,,,,,,,,
2016,10105,1105,Cape Cod Regional Transit Authority(CCRTA),Active,Full Reporter,Hyannis,MA,2010,"Barnstable Town, MA",152,277,"246,695","$1,230,508","$1,103,551","$810,452","$3,041,154","$3,141,460","$3,537,349","$1,050,612","$827,196","$3,652,025","$1,403,464","$7,834,076","$8,621,609","$9,361,046","$10,530,969","$12,575,705"
2016,10107,1107,Milford Transit District(MTD),Active,Full Reporter,Milford,CT,2010,"Bridgeport-Stamford, CT-NY",48,466,"923,311","$601,370","$676,487","$590,407","$659,858","$741,114","$716,166","$679,484","$625,618","$639,230","$606,700","$593,558","$609,176","$591,418","$447,944","$452,090"
