NTD ID,Legacy NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Expense Type,Fares
8.00,0008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DT,PT,Funds Earned During Period,"$1,118,651"
8.00,0008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,Funds Earned During Period,"$49,384,596"
8.00,0008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$65,512,900"
8.00,0008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,SR,PT,Funds Earned During Period,"$801,809"
8.00,0008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,Funds Earned During Period,"$473,627"
9.00,0T09,Kalispel Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,
9.00,0T09,Kalispel Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,
9.00,0T09,Kalispel Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,
9.00,0T09,Kalispel Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,
10.00,0T10,Klamath Tribes,Reduced Reporter,Tribe,CB,DO,Funds Expended on Capital,$0
10.00,0T10,Klamath Tribes,Reduced Reporter,Tribe,CB,DO,Funds Expended on Operations,$0
10.00,0T10,Klamath Tribes,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0
10.00,0T10,Klamath Tribes,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0
11.00,0011,Valley Regional Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$95,852"
11.00,0011,Valley Regional Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$841,606"
12.00,0012,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$931,437"
12.00,0012,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$3,207,156"
12.00,0012,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,MB,PT,Funds Earned During Period,"$28,066"
12.00,0012,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,VP,PT,Funds Earned During Period,"$755,753"
14.00,0T14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,
14.00,0T14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,"$49,381"
15.00,0T15,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,
15.00,0T15,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,
16.00,0016,RiverCities Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$35,145"
16.00,0016,RiverCities Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$153,470"
16.00,0016,RiverCities Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,$288
17.00,0T17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0
17.00,0T17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0
17.00,0T17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,VP,DO,Funds Expended on Capital,$0
17.00,0T17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,VP,DO,Funds Expended on Operations,"$10,011"
18.00,0018,Ben Franklin Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$317,092"
18.00,0018,Ben Franklin Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$33,505"
18.00,0018,Ben Franklin Transit,Full Reporter,Urban,DT,PT,Funds Earned During Period,"$129,090"
18.00,0018,Ben Franklin Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$1,483,642"
18.00,0018,Ben Franklin Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$1,877,932"
19.00,0019,Intercity Transit,Full Reporter,Urban,CB,DO,Funds Earned During Period,"$219,148"
19.00,0019,Intercity Transit,Full Reporter,Urban,CB,PT,Funds Earned During Period,"$31,696"
19.00,0019,Intercity Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$273,955"
19.00,0019,Intercity Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$2,316,371"
19.00,0019,Intercity Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$1,434,951"
20.00,0020,Kitsap Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$266,329"
20.00,0020,Kitsap Transit,Full Reporter,Urban,DT,PT,Funds Earned During Period,$422
20.00,0020,Kitsap Transit,Full Reporter,Urban,FB,DO,Funds Earned During Period,"$398,573"
20.00,0020,Kitsap Transit,Full Reporter,Urban,FB,PT,Funds Earned During Period,"$601,182"
20.00,0020,Kitsap Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$4,023,907"
20.00,0020,Kitsap Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$505,729"
21.00,0021,Whatcom Transportation Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$91,098"
21.00,0021,Whatcom Transportation Authority,Full Reporter,Urban,DT,PT,Funds Earned During Period,$98
21.00,0021,Whatcom Transportation Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$2,564,870"
21.00,0021,Whatcom Transportation Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$177,809"
22.00,0022,City of Pocatello,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,$0
22.00,0022,City of Pocatello,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,"$35,700"
22.00,0022,City of Pocatello,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,$0
22.00,0022,City of Pocatello,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,"$96,798"
23.00,0023,City of Seattle - Seattle Center Monorail Transit,Full Reporter,Urban,MG,PT,Funds Earned During Period,"$4,050,470"
24.00,0024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,CB,DO,Funds Earned During Period,"$3,325,175"
24.00,0024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$432,468"
24.00,0024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$2,912,059"
24.00,0024,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$187,394"
25.00,0025,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$376,359"
25.00,0025,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$2,551,972"
25.00,0025,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT,Funds Earned During Period,"$418,369"
28.00,0028,Pierce County Ferry Operations,Full Reporter,Urban,FB,PT,Funds Earned During Period,"$2,004,543"
29.00,0029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,DO,Funds Earned During Period,"$4,340,068"
29.00,0029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,Funds Earned During Period,"$15,204,651"
29.00,0029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$385,633"
29.00,0029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$8,135,402"
29.00,0029,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$2,772,180"
30.00,0T30,Chickaloon Native Village,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0
30.00,0T30,Chickaloon Native Village,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$52
31.00,0T31,Shoshone-Bannock Tribes ,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0
31.00,0T31,Shoshone-Bannock Tribes ,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,"$26,623"
34.00,0034,Rogue Valley Transportation District,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$156,086"
34.00,0034,Rogue Valley Transportation District,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$1,101,858"
35.00,0035,Washington State Ferries,Full Reporter,Urban,FB,DO,Funds Earned During Period,"$41,670,964"
36.00,0T36,Makah Tribal Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,
36.00,0T36,Makah Tribal Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$995
40.00,0040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,Funds Earned During Period,"$28,271,310"
40.00,0040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,PT,Funds Earned During Period,"$8,993,275"
40.00,0040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CR,PT,Funds Earned During Period,"$15,042,598"
40.00,0040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,Funds Earned During Period,"$38,019,002"
40.00,0040,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,SR,DO,Funds Earned During Period,$0
41.00,0041,Alaska Railroad Corporation,Full Reporter,Urban,AR,DO,Funds Earned During Period,"$23,264,241"
42.00,0042,Targhee Regional Public Transit Authority,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,
42.00,0042,Targhee Regional Public Transit Authority,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,"$19,017"
42.00,0042,Targhee Regional Public Transit Authority,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,
42.00,0042,Targhee Regional Public Transit Authority,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,"$12,693"
43.00,0043,Link Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$34,591"
43.00,0043,Link Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,$888
43.00,0043,Link Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$599,684"
44.00,0044,Skagit Transit,Full Reporter,Urban,CB,DO,Funds Earned During Period,"$65,432"
44.00,0044,Skagit Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$7,187"
44.00,0044,Skagit Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$343,521"
44.00,0044,Skagit Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$448,444"
45.00,0045,Fairbanks North Star Borough Transit,Reduced Reporter,Urban,CB,DO,Funds Expended on Capital,
45.00,0045,Fairbanks North Star Borough Transit,Reduced Reporter,Urban,CB,DO,Funds Expended on Operations,"$2,900"
45.00,0045,Fairbanks North Star Borough Transit,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,
45.00,0045,Fairbanks North Star Borough Transit,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,"$36,710"
45.00,0045,Fairbanks North Star Borough Transit,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,
45.00,0045,Fairbanks North Star Borough Transit,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,"$390,636"
46.00,0046,South Metro Area Regional Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$16,735"
46.00,0046,South Metro Area Regional Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$163,152"
47.00,0047,City of Corvallis,Full Reporter,Urban,DR,PT,Funds Earned During Period,$0
47.00,0047,City of Corvallis,Full Reporter,Urban,MB,PT,Funds Earned During Period,$0
48.00,0048,Lewiston Transit System,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,
48.00,0048,Lewiston Transit System,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,"$6,942"
48.00,0048,Lewiston Transit System,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,
48.00,0048,Lewiston Transit System,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,"$36,371"
51.00,0051,Asotin County PTBA,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,$0
51.00,0051,Asotin County PTBA,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,"$7,087"
51.00,0051,Asotin County PTBA,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,$0
51.00,0051,Asotin County PTBA,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,"$30,862"
51.00,0051,Asotin County PTBA,Reduced Reporter,Urban,VP,DO,Funds Expended on Capital,$0
51.00,0051,Asotin County PTBA,Reduced Reporter,Urban,VP,DO,Funds Expended on Operations,"$64,368"
53.00,0053,Coeur d'Alene Tribe dba Citylink Transit,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0
53.00,0053,Coeur d'Alene Tribe dba Citylink Transit,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0
53.00,0053,Coeur d'Alene Tribe dba Citylink Transit,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0
53.00,0053,Coeur d'Alene Tribe dba Citylink Transit,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0
55.00,0055,Kootenai County,Reduced Reporter,Urban,DR,PT,Funds Expended on Capital,
55.00,0055,Kootenai County,Reduced Reporter,Urban,DR,PT,Funds Expended on Operations,
57.00,0057,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO,Funds Earned During Period,"$262,885"
57.00,0057,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$72,181"
57.00,0057,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$63,396"
57.00,0057,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$2,108"
57.00,0057,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,PT,Funds Earned During Period,"$338,669"
58.00,0058,City of Portland,Full Reporter,Urban,SR,PT,Funds Earned During Period,"$801,809"
58.00,0058,City of Portland,Full Reporter,Urban,TR,PT,Funds Earned During Period,"$774,134"
59.00,0059,Josephine County,Reduced Reporter,Urban,CB,DO,Funds Expended on Capital,
59.00,0059,Josephine County,Reduced Reporter,Urban,CB,DO,Funds Expended on Operations,"$42,570"
59.00,0059,Josephine County,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,
59.00,0059,Josephine County,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,"$21,917"
59.00,0059,Josephine County,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,
59.00,0059,Josephine County,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,"$57,773"
60.00,0060,The Tulalip Tribes of Washington,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,
60.00,0060,The Tulalip Tribes of Washington,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,
61.00,0061,City of Albany,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,$0
61.00,0061,City of Albany,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,"$33,721"
61.00,0061,City of Albany,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,$0
61.00,0061,City of Albany,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,"$55,432"
63.00,0063,City of Milton-Freewater,Reduced Reporter,Urban,DT,PT,Funds Expended on Capital,
63.00,0063,City of Milton-Freewater,Reduced Reporter,Urban,DT,PT,Funds Expended on Operations,"$5,195"
63.00,0063,City of Milton-Freewater,Reduced Reporter,Urban,MB,PT,Funds Expended on Capital,
63.00,0063,City of Milton-Freewater,Reduced Reporter,Urban,MB,PT,Funds Expended on Operations,$229
64.00,0064,Valley Transit,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,
64.00,0064,Valley Transit,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,"$21,892"
64.00,0064,Valley Transit,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,
64.00,0064,Valley Transit,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,"$155,052"
64.00,0064,Valley Transit,Reduced Reporter,Urban,VP,DO,Funds Expended on Capital,
64.00,0064,Valley Transit,Reduced Reporter,Urban,VP,DO,Funds Expended on Operations,"$25,613"
65.00,0065,Benton County,Reduced Reporter,Urban,CB,PT,Funds Expended on Capital,$0
65.00,0065,Benton County,Reduced Reporter,Urban,CB,PT,Funds Expended on Operations,"$25,456"
65.00,0065,Benton County,Reduced Reporter,Urban,DR,PT,Funds Expended on Capital,$0
65.00,0065,Benton County,Reduced Reporter,Urban,DR,PT,Funds Expended on Operations,"$73,110"
85.00,0T08,Gulkana Village Council,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,
85.00,0T08,Gulkana Village Council,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,"$2,531"
85.00,0T08,Gulkana Village Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,
85.00,0T08,Gulkana Village Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,"$27,725"
95.00,0T11,Lummi Nation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,
95.00,0T11,Lummi Nation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,
103.00,0T16,Squaxin Island Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0
103.00,0T16,Squaxin Island Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0
111.00,0T03,Confederated Tribes and Bands of The Yakama Nation,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0
111.00,0T03,Confederated Tribes and Bands of The Yakama Nation,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0
111.00,0T03,Confederated Tribes and Bands of The Yakama Nation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0
111.00,0T03,Confederated Tribes and Bands of The Yakama Nation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0
119.00,0T06,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,CB,DO,Funds Expended on Capital,$0
119.00,0T06,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,CB,DO,Funds Expended on Operations,$0
119.00,0T06,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0
119.00,0T06,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0
127.00,0T07,Cowlitz Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0
127.00,0T07,Cowlitz Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0
135.00,0T12,Nez Perce Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0
135.00,0T12,Nez Perce Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,"$1,825"
135.00,0T12,Nez Perce Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0
135.00,0T12,Nez Perce Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,"$15,778"
159.00,0T18,Tetlin Village Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,
159.00,0T18,Tetlin Village Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,
175.00,0T20,Manley Village Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,
175.00,0T20,Manley Village Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$285
183.00,0T21,Quinault Tribe of the Quinault Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,
183.00,0T21,Quinault Tribe of the Quinault Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,"$4,185"
199.00,0T23,Seldovia Village Tribe,Reduced Reporter,Tribe,FB,DO,Funds Expended on Capital,
199.00,0T23,Seldovia Village Tribe,Reduced Reporter,Tribe,FB,DO,Funds Expended on Operations,"$30,794"
207.00,0T24,Spokane Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,
207.00,0T24,Spokane Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0
207.00,0T24,Spokane Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,
207.00,0T24,Spokane Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0
207.00,0T24,Spokane Tribe of Indians,Reduced Reporter,Tribe,VP,DO,Funds Expended on Capital,
207.00,0T24,Spokane Tribe of Indians,Reduced Reporter,Tribe,VP,DO,Funds Expended on Operations,"$18,560"
239.00,0T34,Ketchikan Indian Community,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,
239.00,0T34,Ketchikan Indian Community,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,
247.00,0T29,Native Village of Noatak,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0
247.00,0T29,Native Village of Noatak,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0
271.00,0T41,Nome Eskimo Community,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0
271.00,0T41,Nome Eskimo Community,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0
279.00,0T40,Hydaburg Cooperative Association,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0
279.00,0T40,Hydaburg Cooperative Association,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,"$2,985"
376.00,0R02-022,"Ride Connection, Inc.",Full Reporter,Urban,DR,DO,Funds Earned During Period,
376.00,0R02-022,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,Funds Earned During Period,$0
376.00,0R02-022,"Ride Connection, Inc.",Full Reporter,Urban,MB,DO,Funds Earned During Period,
400.00,,Gwichyaa Zhee Tribal Transit Service,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,
400.00,,Gwichyaa Zhee Tribal Transit Service,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,
401.00,,Lower Elwha Klallam Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0
401.00,,Lower Elwha Klallam Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0
407.00,,Muckleshoot Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,$0
407.00,,Muckleshoot Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,$0
407.00,,Muckleshoot Indian Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0
407.00,,Muckleshoot Indian Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0
414.00,,Ninilchik Village,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,$0
414.00,,Ninilchik Village,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0
415.00,,Ada County Highway District Commuteride,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$980,002"
416.00,,Boise State University,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,$0
416.00,,Boise State University,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,$0
417.00,,Quileute Tribe Community Shuttle,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,
417.00,,Quileute Tribe Community Shuttle,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0
0R01-00288,0R01-024,City of Moscow,Rural Reporter,Rural,VP,DO,Funds Expended on Capital,$0
0R01-00288,0R01-024,City of Moscow,Rural Reporter,Rural,VP,DO,Funds Expended on Operations,"$20,569"
0R01-00306,0R01-004,Marsing Senior Center,Rural Reporter,Rural,DR,DO,Funds Expended on Capital,
0R01-00306,0R01-004,Marsing Senior Center,Rural Reporter,Rural,DR,DO,Funds Expended on Operations,
0R01-00311,0R01-003,Mountain Rides Transportation Authority,Rural Reporter,Rural,DR,DO,Funds Expended on Capital,
