,Year,Total_Labor_MSA,Unemployment_Labor_MSA,Employment_Labor_MSA,Unemployment_Rate_MSA,Geography
32,2016,56962.66666666666,1325.75,55636.91666666666,2.333333333333333,"Ames, IA  Metro Area"
33,2017,57244.75,1132.3333333333333,56112.41666666666,1.9916666666666665,"Ames, IA  Metro Area"
34,2018,57755.41666666666,915.5,56839.91666666666,1.6083333333333334,"Ames, IA  Metro Area"
35,2019,59402.33333333334,952.6666666666665,58449.66666666666,1.6,"Ames, IA  Metro Area"
36,2002,175206.27272727276,10965.727272727272,164240.54545454544,6.245454545454546,"Anchorage, AK  Metro Area"
37,2003,178247.33333333337,12092.583333333336,166154.75,6.775,"Anchorage, AK  Metro Area"
38,2004,180741.91666666663,11567.666666666664,169174.25,6.408333333333334,"Anchorage, AK  Metro Area"
39,2005,185755.66666666663,10988.166666666666,174767.5,5.916666666666668,"Anchorage, AK  Metro Area"
40,2006,190571.91666666663,10972.0,179599.91666666663,5.7666666666666675,"Anchorage, AK  Metro Area"
41,2007,190850.8333333333,10580.916666666666,180269.91666666663,5.541666666666668,"Anchorage, AK  Metro Area"
42,2008,193642.25,11435.5,182206.75,5.908333333333335,"Anchorage, AK  Metro Area"
43,2009,196323.0833333333,13803.416666666664,182519.66666666663,7.0166666666666675,"Anchorage, AK  Metro Area"
44,2010,200237.5833333333,14379.5,185858.0833333333,7.191666666666666,"Anchorage, AK  Metro Area"
45,2011,202375.16666666663,13442.666666666664,188932.5,6.65,"Anchorage, AK  Metro Area"
46,2012,202137.0833333333,12272.25,189864.8333333333,6.058333333333333,"Anchorage, AK  Metro Area"
47,2013,202326.5833333333,11904.083333333336,190422.5,5.883333333333333,"Anchorage, AK  Metro Area"
48,2014,202962.0833333333,11843.166666666664,191118.91666666663,5.841666666666668,"Anchorage, AK  Metro Area"
49,2015,203006.41666666663,11456.583333333336,191549.8333333333,5.625,"Anchorage, AK  Metro Area"
50,2016,202868.41666666663,12473.333333333336,190395.0833333333,6.158333333333332,"Anchorage, AK  Metro Area"
51,2017,202048.0,12924.25,189123.75,6.416666666666668,"Anchorage, AK  Metro Area"
52,2018,199603.25,11987.333333333336,187615.91666666663,6.008333333333334,"Anchorage, AK  Metro Area"
53,2019,196676.3333333333,12553.333333333336,184123.0,6.366666666666667,"Anchorage, AK  Metro Area"
54,2002,119489.27272727274,6322.0,113167.27272727274,5.29090909090909,"Appleton, WI  Metro Area"
55,2003,121281.75,6678.75,114603.0,5.508333333333334,"Appleton, WI  Metro Area"
56,2004,120273.33333333331,5641.333333333332,114632.0,4.683333333333334,"Appleton, WI  Metro Area"
57,2005,119948.25,5303.833333333333,114644.41666666669,4.416666666666667,"Appleton, WI  Metro Area"
58,2006,121315.0,5483.833333333333,115831.16666666669,4.525,"Appleton, WI  Metro Area"
59,2007,122704.5,5725.583333333332,116978.91666666669,4.658333333333334,"Appleton, WI  Metro Area"
60,2008,123522.58333333331,5664.083333333332,117858.5,4.583333333333333,"Appleton, WI  Metro Area"
61,2009,124978.0,10204.666666666666,114773.33333333331,8.158333333333331,"Appleton, WI  Metro Area"
62,2010,127899.58333333331,10026.166666666666,117873.41666666669,7.825000000000002,"Appleton, WI  Metro Area"
63,2011,127895.08333333331,8727.25,119167.83333333331,6.824999999999998,"Appleton, WI  Metro Area"
64,2012,127628.41666666669,7905.916666666668,119722.5,6.191666666666666,"Appleton, WI  Metro Area"
65,2013,127683.0,7558.5,120124.5,5.899999999999999,"Appleton, WI  Metro Area"
66,2014,128418.75,5954.083333333332,122464.66666666669,4.641666666666667,"Appleton, WI  Metro Area"
67,2015,129415.83333333331,5016.583333333333,124399.25,3.8666666666666663,"Appleton, WI  Metro Area"
68,2016,131855.25,4553.583333333333,127301.66666666669,3.4583333333333326,"Appleton, WI  Metro Area"
69,2017,132212.25,3906.0,128306.25,2.975,"Appleton, WI  Metro Area"
70,2018,131547.41666666663,3613.666666666666,127933.75,2.733333333333333,"Appleton, WI  Metro Area"
71,2019,130393.33333333331,3826.0,126567.33333333331,2.9333333333333336,"Appleton, WI  Metro Area"
72,2002,92613.27272727274,3601.909090909091,89011.36363636363,3.881818181818181,"Athens-Clarke County, GA  Metro Area"
73,2003,95401.41666666669,3497.916666666666,91903.5,3.6666666666666665,"Athens-Clarke County, GA  Metro Area"
74,2004,96147.33333333331,3761.666666666666,92385.66666666669,3.908333333333333,"Athens-Clarke County, GA  Metro Area"
75,2005,99199.25,4279.0,94920.25,4.308333333333334,"Athens-Clarke County, GA  Metro Area"
76,2006,102963.16666666669,4097.666666666667,98865.5,3.983333333333333,"Athens-Clarke County, GA  Metro Area"
77,2007,105996.0,3908.583333333334,102087.41666666669,3.683333333333333,"Athens-Clarke County, GA  Metro Area"
78,2008,109360.0,5393.333333333333,103966.66666666669,4.925,"Athens-Clarke County, GA  Metro Area"
79,2009,106272.5,8065.416666666668,98207.08333333331,7.616666666666666,"Athens-Clarke County, GA  Metro Area"
80,2010,93927.08333333331,8550.916666666666,85376.16666666669,9.108333333333333,"Athens-Clarke County, GA  Metro Area"
81,2011,94307.5,8520.833333333334,85786.66666666669,9.041666666666666,"Athens-Clarke County, GA  Metro Area"
82,2012,95233.91666666669,7901.25,87332.66666666669,8.308333333333332,"Athens-Clarke County, GA  Metro Area"
83,2013,94620.5,6971.333333333332,87649.16666666669,7.374999999999997,"Athens-Clarke County, GA  Metro Area"
84,2014,92572.75,6021.916666666668,86550.83333333331,6.508333333333333,"Athens-Clarke County, GA  Metro Area"
85,2015,93821.66666666669,5313.916666666667,88507.75,5.658333333333332,"Athens-Clarke County, GA  Metro Area"
86,2016,97239.16666666669,4960.5,92278.66666666669,5.091666666666667,"Athens-Clarke County, GA  Metro Area"
87,2017,101005.0,4424.75,96580.25,4.374999999999999,"Athens-Clarke County, GA  Metro Area"
88,2018,101974.16666666669,3755.25,98218.91666666669,3.6833333333333336,"Athens-Clarke County, GA  Metro Area"
89,2019,101256.66666666669,3861.333333333334,97395.33333333331,3.8,"Athens-Clarke County, GA  Metro Area"
90,2002,241086.45454545453,12239.727272727272,228846.7272727273,5.063636363636364,"Augusta-Richmond County, GA-SC  Metro Area"
91,2003,247006.5,12791.75,234214.75,5.183333333333334,"Augusta-Richmond County, GA-SC  Metro Area"
92,2004,253579.91666666663,13738.583333333336,239841.33333333328,5.416666666666668,"Augusta-Richmond County, GA-SC  Metro Area"
93,2005,256393.5,15707.416666666664,240686.08333333328,6.125,"Augusta-Richmond County, GA-SC  Metro Area"
94,2006,257571.91666666663,15214.75,242357.16666666663,5.9,"Augusta-Richmond County, GA-SC  Metro Area"
95,2007,260781.75,14163.666666666664,246618.08333333328,5.45,"Augusta-Richmond County, GA-SC  Metro Area"
96,2008,263727.58333333326,16602.0,247125.58333333328,6.3000000000000025,"Augusta-Richmond County, GA-SC  Metro Area"
97,2009,264559.91666666674,24454.0,240105.91666666663,9.258333333333336,"Augusta-Richmond County, GA-SC  Metro Area"
98,2010,255679.08333333328,24850.91666666667,230828.16666666663,9.716666666666667,"Augusta-Richmond County, GA-SC  Metro Area"
99,2011,259039.75,25424.25,233615.5,9.825,"Augusta-Richmond County, GA-SC  Metro Area"
100,2012,259342.91666666663,23959.25,235383.66666666663,9.233333333333333,"Augusta-Richmond County, GA-SC  Metro Area"
101,2013,257469.33333333328,21612.0,235857.33333333328,8.383333333333333,"Augusta-Richmond County, GA-SC  Metro Area"
102,2014,255370.58333333328,18665.0,236705.58333333328,7.324999999999998,"Augusta-Richmond County, GA-SC  Metro Area"
103,2015,258262.0,16390.5,241871.5,6.341666666666668,"Augusta-Richmond County, GA-SC  Metro Area"
104,2016,261980.33333333328,14870.083333333336,247110.25,5.675,"Augusta-Richmond County, GA-SC  Metro Area"
105,2017,266492.0,13028.166666666664,253463.83333333328,4.891666666666667,"Augusta-Richmond County, GA-SC  Metro Area"
106,2018,268005.66666666674,11147.0,256858.66666666663,4.15,"Augusta-Richmond County, GA-SC  Metro Area"
107,2019,270596.33333333326,11411.0,259185.33333333328,4.233333333333333,"Augusta-Richmond County, GA-SC  Metro Area"
108,2002,759040.1818181819,44554.09090909091,714486.0909090909,5.854545454545454,"Austin-Round Rock, TX  Metro Area"
109,2003,764382.6666666665,45658.08333333334,718724.5833333335,5.966666666666666,"Austin-Round Rock, TX  Metro Area"
110,2004,776988.4166666665,39196.75,737791.6666666665,5.033333333333334,"Austin-Round Rock, TX  Metro Area"
111,2005,798312.0833333335,36320.25,761991.8333333335,4.55,"Austin-Round Rock, TX  Metro Area"
112,2006,823330.0,33927.416666666664,789402.5833333335,4.116666666666667,"Austin-Round Rock, TX  Metro Area"
113,2007,844059.1666666665,30803.25,813255.9166666665,3.641666666666667,"Austin-Round Rock, TX  Metro Area"
114,2008,864769.75,37231.41666666666,827538.3333333335,4.308333333333334,"Austin-Round Rock, TX  Metro Area"
115,2009,886294.5833333335,61223.91666666666,825070.6666666665,6.9,"Austin-Round Rock, TX  Metro Area"
116,2010,930550.75,65089.41666666666,865461.3333333335,7.008333333333333,"Austin-Round Rock, TX  Metro Area"
117,2011,960844.4166666665,63354.08333333334,897490.3333333335,6.591666666666668,"Austin-Round Rock, TX  Metro Area"
118,2012,987652.75,56068.91666666666,931583.8333333335,5.675,"Austin-Round Rock, TX  Metro Area"
119,2013,1019483.3333333335,52882.0,966601.3333333335,5.191666666666666,"Austin-Round Rock, TX  Metro Area"
120,2014,1048962.916666667,44156.58333333334,1004806.3333333335,4.208333333333333,"Austin-Round Rock, TX  Metro Area"
121,2015,1074001.416666667,36181.583333333336,1037819.8333333335,3.358333333333334,"Austin-Round Rock, TX  Metro Area"
122,2016,1119203.916666667,36621.66666666666,1082582.25,3.2750000000000004,"Austin-Round Rock, TX  Metro Area"
123,2017,1160138.833333333,36528.0,1123610.833333333,3.1333333333333333,"Austin-Round Rock, TX  Metro Area"
124,2018,1197090.833333333,35043.083333333336,1162047.75,2.9250000000000003,"Austin-Round Rock, TX  Metro Area"
125,2019,1212282.666666667,36603.0,1175679.666666667,3.0,"Austin-Round Rock, TX  Metro Area"
126,2002,305923.63636363635,29487.090909090908,276436.5454545455,9.654545454545453,"Bakersfield, CA  Metro Area"
127,2003,311344.0,31943.58333333333,279400.41666666674,10.275,"Bakersfield, CA  Metro Area"
128,2004,314446.16666666674,31044.58333333333,283401.58333333326,9.891666666666667,"Bakersfield, CA  Metro Area"
129,2005,326748.75,27342.41666666667,299406.33333333326,8.399999999999999,"Bakersfield, CA  Metro Area"
130,2006,336092.25,25350.5,310741.75,7.558333333333334,"Bakersfield, CA  Metro Area"
131,2007,345187.58333333326,28228.16666666667,316959.41666666674,8.158333333333333,"Bakersfield, CA  Metro Area"
132,2008,359140.58333333326,35332.75,323807.83333333326,9.841666666666667,"Bakersfield, CA  Metro Area"
133,2009,362714.5,51007.25,311707.25,14.075,"Bakersfield, CA  Metro Area"
134,2010,371515.58333333326,58154.25,313361.33333333326,15.666666666666664,"Bakersfield, CA  Metro Area"
135,2011,382366.0,56654.5,325711.5,14.833333333333336,"Bakersfield, CA  Metro Area"
136,2012,391888.41666666674,51533.25,340355.16666666674,13.16666666666667,"Bakersfield, CA  Metro Area"
137,2013,393439.0,46226.5,347212.5,11.758333333333333,"Bakersfield, CA  Metro Area"
138,2014,392530.16666666674,40844.16666666666,351686.0,10.4,"Bakersfield, CA  Metro Area"
139,2015,390337.66666666674,39860.25,350477.41666666674,10.216666666666667,"Bakersfield, CA  Metro Area"
140,2016,388311.25,40304.833333333336,348006.41666666674,10.383333333333336,"Bakersfield, CA  Metro Area"
141,2017,384817.25,35340.166666666664,349477.08333333326,9.175,"Bakersfield, CA  Metro Area"
142,2018,386996.41666666674,30864.66666666667,356131.75,8.0,"Bakersfield, CA  Metro Area"
143,2019,392670.0,37243.333333333336,355426.66666666674,9.5,"Bakersfield, CA  Metro Area"
144,2002,333016.2727272727,19639.36363636364,313376.9090909091,5.8909090909090915,"Baton Rouge, LA  Metro Area"
145,2003,337792.33333333326,21754.25,316038.08333333326,6.441666666666666,"Baton Rouge, LA  Metro Area"
146,2004,345383.25,21352.166666666668,324031.08333333326,6.166666666666668,"Baton Rouge, LA  Metro Area"
147,2005,362523.33333333326,25246.83333333333,337276.5,6.891666666666667,"Baton Rouge, LA  Metro Area"
148,2006,364035.33333333326,16185.083333333336,347850.25,4.441666666666666,"Baton Rouge, LA  Metro Area"
149,2007,370960.66666666674,15519.5,355441.16666666674,4.183333333333334,"Baton Rouge, LA  Metro Area"
150,2008,378417.25,18061.416666666668,360355.83333333326,4.775,"Baton Rouge, LA  Metro Area"
151,2009,378134.0,24114.91666666667,354019.08333333326,6.366666666666666,"Baton Rouge, LA  Metro Area"
152,2010,390668.08333333326,30316.83333333333,360351.25,7.758333333333334,"Baton Rouge, LA  Metro Area"
153,2011,390188.91666666674,29979.5,360209.41666666674,7.683333333333334,"Baton Rouge, LA  Metro Area"
154,2012,392615.91666666674,26686.66666666667,365929.25,6.800000000000002,"Baton Rouge, LA  Metro Area"
155,2013,400807.83333333326,24983.5,375824.33333333326,6.241666666666667,"Baton Rouge, LA  Metro Area"
156,2014,413844.83333333326,24060.33333333333,389784.5,5.8,"Baton Rouge, LA  Metro Area"
157,2015,420924.5,23024.41666666667,397900.08333333326,5.466666666666666,"Baton Rouge, LA  Metro Area"
158,2016,417910.83333333326,21820.166666666668,396090.66666666674,5.216666666666667,"Baton Rouge, LA  Metro Area"
159,2017,417257.83333333326,18619.83333333333,398638.0,4.466666666666667,"Baton Rouge, LA  Metro Area"
160,2018,418944.75,18289.166666666668,400655.58333333326,4.358333333333333,"Baton Rouge, LA  Metro Area"
161,2019,415931.0,16747.333333333332,399183.66666666674,4.033333333333333,"Baton Rouge, LA  Metro Area"
162,2002,55002.63636363637,3622.636363636364,51380.0,6.590909090909091,"Bay City, MI  Metro Area"
163,2003,55391.0,4199.916666666667,51191.08333333334,7.575,"Bay City, MI  Metro Area"
164,2004,55961.33333333334,4159.333333333333,51802.0,7.433333333333334,"Bay City, MI  Metro Area"
165,2005,55557.58333333334,3949.25,51608.33333333334,7.1000000000000005,"Bay City, MI  Metro Area"
166,2006,55764.5,4003.833333333334,51760.66666666666,7.175000000000002,"Bay City, MI  Metro Area"
167,2007,55026.91666666666,3773.5,51253.41666666666,6.8583333333333325,"Bay City, MI  Metro Area"
168,2008,54627.16666666666,4111.0,50516.16666666666,7.541666666666668,"Bay City, MI  Metro Area"
169,2009,54875.25,6553.666666666668,48321.58333333334,11.933333333333332,"Bay City, MI  Metro Area"
170,2010,54666.66666666666,6319.416666666668,48347.25,11.566666666666668,"Bay City, MI  Metro Area"
171,2011,53317.75,5253.333333333333,48064.41666666666,9.85,"Bay City, MI  Metro Area"
172,2012,52851.16666666666,4621.0,48230.16666666666,8.725,"Bay City, MI  Metro Area"
173,2013,53012.5,4627.0,48385.5,8.733333333333333,"Bay City, MI  Metro Area"
174,2014,53115.08333333334,3835.0,49280.08333333334,7.224999999999999,"Bay City, MI  Metro Area"
175,2015,52184.25,3019.666666666666,49164.58333333334,5.783333333333334,"Bay City, MI  Metro Area"
176,2016,51897.91666666666,2816.666666666666,49081.25,5.425,"Bay City, MI  Metro Area"
177,2017,50810.66666666666,2788.583333333333,48022.08333333334,5.491666666666667,"Bay City, MI  Metro Area"
178,2018,50352.16666666666,2410.0,47942.16666666666,4.775,"Bay City, MI  Metro Area"
179,2019,50306.33333333334,2713.333333333333,47593.0,5.366666666666667,"Bay City, MI  Metro Area"
180,2002,183754.18181818182,14799.090909090908,168955.0909090909,8.054545454545455,"Beaumont-Port Arthur, TX  Metro Area"
181,2003,186258.8333333333,16293.833333333336,169965.0,8.750000000000002,"Beaumont-Port Arthur, TX  Metro Area"
182,2004,182933.5,14970.0,167963.5,8.183333333333334,"Beaumont-Port Arthur, TX  Metro Area"
183,2005,182724.0,14088.583333333336,168635.41666666663,7.725,"Beaumont-Port Arthur, TX  Metro Area"
184,2006,183929.0,10838.583333333334,173090.41666666663,5.900000000000001,"Beaumont-Port Arthur, TX  Metro Area"
185,2007,184192.5833333333,9719.083333333334,174473.5,5.275,"Beaumont-Port Arthur, TX  Metro Area"
186,2008,186823.8333333333,11864.833333333336,174959.0,6.333333333333332,"Beaumont-Port Arthur, TX  Metro Area"
187,2009,189910.16666666663,18085.416666666668,171824.75,9.508333333333333,"Beaumont-Port Arthur, TX  Metro Area"
188,2010,183459.25,20638.83333333333,162820.41666666663,11.25,"Beaumont-Port Arthur, TX  Metro Area"
189,2011,186943.16666666663,20926.416666666668,166016.75,11.2,"Beaumont-Port Arthur, TX  Metro Area"
190,2012,184177.16666666663,19440.83333333333,164736.33333333337,10.566666666666665,"Beaumont-Port Arthur, TX  Metro Area"
191,2013,180148.8333333333,18682.58333333333,161466.25,10.374999999999998,"Beaumont-Port Arthur, TX  Metro Area"
192,2014,179188.0,14206.75,164981.25,7.916666666666668,"Beaumont-Port Arthur, TX  Metro Area"
193,2015,175638.75,11754.75,163884.0,6.7,"Beaumont-Port Arthur, TX  Metro Area"
194,2016,175435.58333333337,11982.666666666664,163452.91666666663,6.833333333333332,"Beaumont-Port Arthur, TX  Metro Area"
195,2017,175523.08333333337,12498.833333333336,163024.25,7.125,"Beaumont-Port Arthur, TX  Metro Area"
196,2018,176224.41666666663,10671.416666666666,165553.0,6.050000000000002,"Beaumont-Port Arthur, TX  Metro Area"
197,2019,177768.33333333337,10543.0,167225.33333333337,5.933333333333334,"Beaumont-Port Arthur, TX  Metro Area"
198,2002,90950.81818181818,6224.636363636364,84726.18181818182,6.863636363636362,"Bellingham, WA  Metro Area"
199,2003,94538.83333333331,6426.166666666668,88112.66666666669,6.808333333333334,"Bellingham, WA  Metro Area"
200,2004,99223.66666666669,5929.166666666668,93294.5,5.974999999999999,"Bellingham, WA  Metro Area"
201,2005,102523.66666666669,5398.5,97125.16666666669,5.25,"Bellingham, WA  Metro Area"
202,2006,102884.83333333331,5064.5,97820.33333333331,4.908333333333333,"Bellingham, WA  Metro Area"
203,2007,106347.5,4976.583333333333,101370.91666666669,4.675,"Bellingham, WA  Metro Area"
204,2008,108750.58333333331,5771.416666666668,102979.16666666669,5.308333333333334,"Bellingham, WA  Metro Area"
205,2009,108027.5,9211.416666666666,98816.08333333331,8.525000000000002,"Bellingham, WA  Metro Area"
206,2010,104358.08333333331,9891.583333333334,94466.5,9.475,"Bellingham, WA  Metro Area"
207,2011,102741.66666666669,9259.833333333334,93481.83333333331,9.016666666666667,"Bellingham, WA  Metro Area"
208,2012,103135.66666666669,8401.166666666666,94734.5,8.141666666666667,"Bellingham, WA  Metro Area"
209,2013,102157.25,7592.916666666668,94564.33333333331,7.433333333333334,"Bellingham, WA  Metro Area"
210,2014,101168.0,6644.916666666668,94523.08333333331,6.574999999999998,"Bellingham, WA  Metro Area"
211,2015,104150.58333333331,6238.5,97912.08333333331,5.999999999999999,"Bellingham, WA  Metro Area"
212,2016,107043.41666666669,6202.833333333332,100840.58333333331,5.791666666666668,"Bellingham, WA  Metro Area"
213,2017,109795.41666666669,5466.666666666667,104328.75,4.975,"Bellingham, WA  Metro Area"
214,2018,111670.25,5295.083333333333,106375.16666666669,4.75,"Bellingham, WA  Metro Area"
215,2019,115493.66666666669,6404.0,109089.66666666669,5.533333333333334,"Bellingham, WA  Metro Area"
216,2002,80327.72727272728,2805.0,77522.72727272728,3.5,"Billings, MT  Metro Area"
217,2003,80915.5,3008.0,77907.5,3.725,"Billings, MT  Metro Area"
218,2004,82394.58333333331,3175.75,79218.83333333331,3.8666666666666663,"Billings, MT  Metro Area"
219,2005,84502.75,3009.333333333333,81493.41666666669,3.5666666666666664,"Billings, MT  Metro Area"
220,2006,85482.66666666669,2469.6666666666665,83013.0,2.9,"Billings, MT  Metro Area"
221,2007,87376.33333333331,2378.25,84998.08333333331,2.725,"Billings, MT  Metro Area"
222,2008,88427.91666666669,3386.333333333333,85041.58333333331,3.8333333333333326,"Billings, MT  Metro Area"
223,2009,87675.16666666669,4380.0,83295.16666666669,5.0,"Billings, MT  Metro Area"
224,2010,82162.75,4864.833333333333,77297.91666666669,5.925,"Billings, MT  Metro Area"
225,2011,82830.16666666669,4533.083333333333,78297.08333333331,5.4833333333333325,"Billings, MT  Metro Area"
226,2012,84401.0,3880.916666666666,80520.08333333331,4.608333333333333,"Billings, MT  Metro Area"
227,2013,85059.83333333331,3698.666666666666,81361.16666666669,4.358333333333333,"Billings, MT  Metro Area"
228,2014,85191.33333333331,3181.166666666666,82010.16666666669,3.725,"Billings, MT  Metro Area"
229,2015,86566.66666666669,2892.25,83674.41666666669,3.358333333333334,"Billings, MT  Metro Area"
230,2016,87009.75,3146.583333333333,83863.16666666669,3.625,"Billings, MT  Metro Area"
231,2017,87160.5,2998.333333333333,84162.16666666669,3.4249999999999994,"Billings, MT  Metro Area"
232,2018,87125.58333333331,2926.166666666666,84199.41666666669,3.358333333333334,"Billings, MT  Metro Area"
233,2019,87007.33333333331,3488.333333333333,83519.0,4.0,"Billings, MT  Metro Area"
234,2002,524724.1818181818,26272.727272727272,498451.45454545453,5.0181818181818185,"Birmingham-Hoover, AL  Metro Area"
235,2003,526147.0,27244.91666666667,498902.08333333326,5.175,"Birmingham-Hoover, AL  Metro Area"
236,2004,529788.75,26196.33333333333,503592.41666666674,4.933333333333334,"Birmingham-Hoover, AL  Metro Area"
237,2005,530559.6666666665,21801.0,508758.66666666674,4.108333333333333,"Birmingham-Hoover, AL  Metro Area"
238,2006,535462.3333333335,19965.166666666668,515497.16666666674,3.725,"Birmingham-Hoover, AL  Metro Area"
239,2007,534638.8333333335,19100.916666666668,515537.91666666674,3.575,"Birmingham-Hoover, AL  Metro Area"
240,2008,533070.1666666665,26825.83333333333,506244.33333333326,5.025,"Birmingham-Hoover, AL  Metro Area"
241,2009,526416.5,53928.16666666666,472488.33333333326,10.241666666666667,"Birmingham-Hoover, AL  Metro Area"
242,2010,539751.0,52964.75,486786.25,9.824999999999998,"Birmingham-Hoover, AL  Metro Area"
243,2011,543061.3333333335,47561.25,495500.08333333326,8.75,"Birmingham-Hoover, AL  Metro Area"
244,2012,540199.5,37742.25,502457.25,6.991666666666666,"Birmingham-Hoover, AL  Metro Area"
245,2013,540559.0,34056.583333333336,506502.41666666674,6.316666666666667,"Birmingham-Hoover, AL  Metro Area"
246,2014,535778.5833333335,32008.5,503770.08333333326,5.9750000000000005,"Birmingham-Hoover, AL  Metro Area"
247,2015,535621.5833333335,29306.91666666667,506314.66666666674,5.491666666666666,"Birmingham-Hoover, AL  Metro Area"
248,2016,538687.8333333335,29402.66666666667,509285.16666666674,5.466666666666668,"Birmingham-Hoover, AL  Metro Area"
249,2017,538189.5,21846.75,516342.75,4.058333333333334,"Birmingham-Hoover, AL  Metro Area"
250,2018,544863.3333333335,19254.0,525609.3333333335,3.533333333333333,"Birmingham-Hoover, AL  Metro Area"
251,2019,551152.3333333335,19968.0,531184.3333333335,3.633333333333333,"Birmingham-Hoover, AL  Metro Area"
252,2002,81294.09090909091,3888.4545454545455,77405.63636363638,4.781818181818182,"Blacksburg-Christiansburg-Radford, VA  Metro Area"
253,2003,83349.33333333331,3844.833333333334,79504.5,4.616666666666666,"Blacksburg-Christiansburg-Radford, VA  Metro Area"
254,2004,82707.25,3760.166666666666,78947.08333333331,4.55,"Blacksburg-Christiansburg-Radford, VA  Metro Area"
255,2005,83787.66666666669,3393.75,80393.91666666669,4.05,"Blacksburg-Christiansburg-Radford, VA  Metro Area"
256,2006,84361.83333333331,2894.5,81467.33333333331,3.4416666666666664,"Blacksburg-Christiansburg-Radford, VA  Metro Area"
257,2007,85005.25,3321.833333333333,81683.41666666669,3.9,"Blacksburg-Christiansburg-Radford, VA  Metro Area"
258,2008,87552.58333333331,4217.166666666667,83335.41666666669,4.8,"Blacksburg-Christiansburg-Radford, VA  Metro Area"
259,2009,87161.91666666669,7166.75,79995.16666666669,8.225,"Blacksburg-Christiansburg-Radford, VA  Metro Area"
260,2010,88694.33333333331,7329.666666666668,81364.66666666669,8.266666666666667,"Blacksburg-Christiansburg-Radford, VA  Metro Area"
261,2011,89943.91666666669,6401.166666666668,83542.75,7.125000000000001,"Blacksburg-Christiansburg-Radford, VA  Metro Area"
262,2012,90780.83333333331,5897.333333333332,84883.5,6.5,"Blacksburg-Christiansburg-Radford, VA  Metro Area"
263,2013,91462.16666666669,5743.333333333332,85718.83333333331,6.291666666666668,"Blacksburg-Christiansburg-Radford, VA  Metro Area"
