,CBSA,MNAME,TTI_INTERPOLATION,Year,TTI,DEL_PER_AUTO_COMMUTER,TOT_DELAY_HRS
160,13780,"Binghamton, NY Metro Area",1,2018,1.0375,15.5,2685.5
161,13820,"Birmingham-Hoover, AL Metro Area",0,2012,1.13,37.0,20329.0
162,13820,"Birmingham-Hoover, AL Metro Area",0,2013,1.14,38.0,21033.0
163,13820,"Birmingham-Hoover, AL Metro Area",0,2014,1.14,38.0,21543.0
164,13820,"Birmingham-Hoover, AL Metro Area",0,2015,1.13,39.0,22011.0
165,13820,"Birmingham-Hoover, AL Metro Area",0,2016,1.13,39.0,22292.0
166,13820,"Birmingham-Hoover, AL Metro Area",0,2017,1.13,40.0,22877.0
167,13820,"Birmingham-Hoover, AL Metro Area",0,2018,1.1275,40.5,23210.5
168,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",1,2012,1.0550000000000002,9.0,968.0
169,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",1,2013,1.0575,10.0,1046.5
170,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",1,2014,1.06,11.0,1125.0
171,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",1,2015,1.06,12.0,1229.0
172,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",1,2016,1.07,13.0,1334.0
173,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",1,2017,1.07,15.0,1439.0
174,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",1,2018,1.0725,16.0,1517.5
175,14020,"Bloomington, IN Metro Area",1,2012,1.0950000000000002,15.0,1707.5
176,14020,"Bloomington, IN Metro Area",1,2013,1.0975000000000001,15.0,1721.25
177,14020,"Bloomington, IN Metro Area",1,2014,1.1,15.0,1735.0
178,14020,"Bloomington, IN Metro Area",1,2015,1.1,15.0,1753.0
179,14020,"Bloomington, IN Metro Area",1,2016,1.1,15.0,1771.0
180,14020,"Bloomington, IN Metro Area",1,2017,1.11,15.0,1790.0
181,14020,"Bloomington, IN Metro Area",1,2018,1.1125,15.0,1803.75
182,14060,"Bloomington-Normal, IL Metro Area",1,2012,1.04,9.0,1264.5
183,14060,"Bloomington-Normal, IL Metro Area",1,2013,1.04,9.0,1267.75
184,14060,"Bloomington-Normal, IL Metro Area",1,2014,1.04,9.0,1271.0
185,14060,"Bloomington-Normal, IL Metro Area",1,2015,1.04,9.0,1275.0
186,14060,"Bloomington-Normal, IL Metro Area",1,2016,1.04,9.0,1279.0
187,14060,"Bloomington-Normal, IL Metro Area",1,2017,1.04,9.0,1284.0
188,14060,"Bloomington-Normal, IL Metro Area",1,2018,1.04,9.0,1287.25
189,14260,"Boise City-Nampa, ID Metro Area",0,2012,1.14,36.0,10196.0
190,14260,"Boise City-Nampa, ID Metro Area",0,2013,1.14,39.0,10690.0
191,14260,"Boise City-Nampa, ID Metro Area",0,2014,1.15,41.0,11145.0
192,14260,"Boise City-Nampa, ID Metro Area",0,2015,1.15,43.0,10855.0
193,14260,"Boise City-Nampa, ID Metro Area",0,2016,1.16,44.0,11795.0
194,14260,"Boise City-Nampa, ID Metro Area",0,2017,1.16,45.0,12254.0
195,14260,"Boise City-Nampa, ID Metro Area",0,2018,1.1624999999999999,46.0,12531.25
196,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",0,2012,1.29,69.0,164282.0
197,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",0,2013,1.29,70.0,169166.0
198,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",0,2014,1.29,72.0,174013.0
199,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",0,2015,1.3,75.0,179172.0
200,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",0,2016,1.3,77.0,184486.0
201,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",0,2017,1.3,80.0,189426.0
202,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",0,2018,1.3025,82.0,193279.25
203,14740,"Bremerton-Silverdale, WA Metro Area",1,2012,1.15,24.5,5036.5
204,14740,"Bremerton-Silverdale, WA Metro Area",1,2013,1.15,24.75,5080.75
205,14740,"Bremerton-Silverdale, WA Metro Area",1,2014,1.15,25.0,5125.0
206,14740,"Bremerton-Silverdale, WA Metro Area",1,2015,1.15,25.0,5183.0
207,14740,"Bremerton-Silverdale, WA Metro Area",1,2016,1.15,26.0,5242.0
208,14740,"Bremerton-Silverdale, WA Metro Area",1,2017,1.15,26.0,5302.0
209,14740,"Bremerton-Silverdale, WA Metro Area",1,2018,1.15,26.25,5346.25
210,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",0,2012,1.35,50.0,32544.0
211,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",0,2013,1.34,52.0,34008.0
212,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",0,2014,1.34,53.0,35036.0
213,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",0,2015,1.34,54.0,36570.0
214,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",0,2016,1.34,57.0,37908.0
215,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",0,2017,1.34,57.0,38789.0
216,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",0,2018,1.34,58.0,39727.25
217,15180,"Brownsville-Harlingen, TX Metro Area",0,2012,1.14,25.0,3377.0
218,15180,"Brownsville-Harlingen, TX Metro Area",0,2013,1.14,26.0,3516.0
219,15180,"Brownsville-Harlingen, TX Metro Area",0,2014,1.14,27.0,3836.0
220,15180,"Brownsville-Harlingen, TX Metro Area",0,2015,1.13,28.0,4135.0
221,15180,"Brownsville-Harlingen, TX Metro Area",0,2016,1.13,28.0,4412.0
222,15180,"Brownsville-Harlingen, TX Metro Area",0,2017,1.13,29.0,4629.0
223,15180,"Brownsville-Harlingen, TX Metro Area",0,2018,1.1275,29.5,4827.25
224,15380,"Buffalo-Niagara Falls, NY Metro Area",0,2012,1.17,44.0,26474.0
225,15380,"Buffalo-Niagara Falls, NY Metro Area",0,2013,1.17,46.0,27170.0
226,15380,"Buffalo-Niagara Falls, NY Metro Area",0,2014,1.17,47.0,27842.0
227,15380,"Buffalo-Niagara Falls, NY Metro Area",0,2015,1.16,47.0,28913.0
228,15380,"Buffalo-Niagara Falls, NY Metro Area",0,2016,1.16,48.0,30526.0
229,15380,"Buffalo-Niagara Falls, NY Metro Area",0,2017,1.16,48.0,31977.0
230,15380,"Buffalo-Niagara Falls, NY Metro Area",0,2018,1.1575,48.25,33010.75
231,15540,"Burlington-South Burlington, VT Metro Area",1,2012,1.0950000000000002,23.5,2819.5
232,15540,"Burlington-South Burlington, VT Metro Area",1,2013,1.0975000000000001,24.25,2912.75
233,15540,"Burlington-South Burlington, VT Metro Area",1,2014,1.1,25.0,3006.0
234,15540,"Burlington-South Burlington, VT Metro Area",1,2015,1.1,26.0,3129.0
235,15540,"Burlington-South Burlington, VT Metro Area",1,2016,1.11,27.0,3254.0
236,15540,"Burlington-South Burlington, VT Metro Area",1,2017,1.11,28.0,3379.0
237,15540,"Burlington-South Burlington, VT Metro Area",1,2018,1.1125,28.75,3472.25
238,15940,"Canton-Massillon, OH Metro Area",1,2012,1.06,21.0,6356.0
239,15940,"Canton-Massillon, OH Metro Area",1,2013,1.06,21.5,6466.0
240,15940,"Canton-Massillon, OH Metro Area",1,2014,1.06,22.0,6576.0
241,15940,"Canton-Massillon, OH Metro Area",1,2015,1.06,23.0,6722.0
242,15940,"Canton-Massillon, OH Metro Area",1,2016,1.06,23.0,6869.0
243,15940,"Canton-Massillon, OH Metro Area",1,2017,1.06,24.0,7016.0
244,15940,"Canton-Massillon, OH Metro Area",1,2018,1.06,24.5,7126.0
245,15980,"Cape Coral-Fort Myers, FL Metro Area",0,2012,1.18,36.0,13449.0
246,15980,"Cape Coral-Fort Myers, FL Metro Area",0,2013,1.18,35.0,13799.0
247,15980,"Cape Coral-Fort Myers, FL Metro Area",0,2014,1.18,35.0,14274.0
248,15980,"Cape Coral-Fort Myers, FL Metro Area",0,2015,1.17,36.0,14679.0
249,15980,"Cape Coral-Fort Myers, FL Metro Area",0,2016,1.17,36.0,15308.0
250,15980,"Cape Coral-Fort Myers, FL Metro Area",0,2017,1.17,37.0,15733.0
251,15980,"Cape Coral-Fort Myers, FL Metro Area",0,2018,1.1675,37.5,16097.75
252,16300,"Cedar Rapids, IA Metro Area",1,2012,1.05,12.5,2481.0
253,16300,"Cedar Rapids, IA Metro Area",1,2013,1.0550000000000002,13.25,2629.0
254,16300,"Cedar Rapids, IA Metro Area",1,2014,1.06,14.0,2777.0
255,16300,"Cedar Rapids, IA Metro Area",1,2015,1.07,15.0,2974.0
256,16300,"Cedar Rapids, IA Metro Area",1,2016,1.07,16.0,3172.0
257,16300,"Cedar Rapids, IA Metro Area",1,2017,1.08,17.0,3369.0
258,16300,"Cedar Rapids, IA Metro Area",1,2018,1.085,17.75,3517.0
259,16580,"Champaign-Urbana, IL Metro Area",1,2012,1.06,11.0,1659.0
260,16580,"Champaign-Urbana, IL Metro Area",1,2013,1.06,11.0,1668.5
261,16580,"Champaign-Urbana, IL Metro Area",1,2014,1.06,11.0,1678.0
262,16580,"Champaign-Urbana, IL Metro Area",1,2015,1.06,11.0,1691.0
263,16580,"Champaign-Urbana, IL Metro Area",1,2016,1.06,11.0,1703.0
264,16580,"Champaign-Urbana, IL Metro Area",1,2017,1.06,11.0,1716.0
265,16580,"Champaign-Urbana, IL Metro Area",1,2018,1.06,11.0,1725.5
266,16620,"Charleston, WV Metro Area",1,2012,1.05,14.0,2263.0
267,16620,"Charleston, WV Metro Area",1,2013,1.05,14.0,2254.5
268,16620,"Charleston, WV Metro Area",1,2014,1.05,14.0,2246.0
269,16620,"Charleston, WV Metro Area",1,2015,1.05,14.0,2234.0
270,16620,"Charleston, WV Metro Area",1,2016,1.05,14.0,2223.0
271,16620,"Charleston, WV Metro Area",1,2017,1.05,14.0,2212.0
272,16620,"Charleston, WV Metro Area",1,2018,1.05,14.0,2203.5
273,16700,"Charleston-North Charleston-Summerville, SC Metro Area",0,2012,1.23,47.0,18939.0
274,16700,"Charleston-North Charleston-Summerville, SC Metro Area",0,2013,1.22,46.0,19514.0
275,16700,"Charleston-North Charleston-Summerville, SC Metro Area",0,2014,1.23,47.0,19768.0
276,16700,"Charleston-North Charleston-Summerville, SC Metro Area",0,2015,1.23,48.0,20047.0
277,16700,"Charleston-North Charleston-Summerville, SC Metro Area",0,2016,1.23,50.0,20555.0
278,16700,"Charleston-North Charleston-Summerville, SC Metro Area",0,2017,1.23,51.0,21087.0
279,16700,"Charleston-North Charleston-Summerville, SC Metro Area",0,2018,1.23,52.0,21416.75
280,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",0,2012,1.24,48.0,39817.0
281,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",0,2013,1.23,50.0,42138.0
282,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",0,2014,1.23,51.0,44377.0
283,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",0,2015,1.23,52.0,46235.0
284,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",0,2016,1.22,54.0,48442.0
285,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",0,2017,1.22,57.0,50641.0
286,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",0,2018,1.2175,58.5,52207.0
287,16860,"Chattanooga, TN-GA Metro Area",1,2012,1.105,25.0,10375.0
288,16860,"Chattanooga, TN-GA Metro Area",1,2013,1.1075000000000002,25.5,10510.5
289,16860,"Chattanooga, TN-GA Metro Area",1,2014,1.11,26.0,10646.0
290,16860,"Chattanooga, TN-GA Metro Area",1,2015,1.12,27.0,10823.0
291,16860,"Chattanooga, TN-GA Metro Area",1,2016,1.12,27.0,11004.0
292,16860,"Chattanooga, TN-GA Metro Area",1,2017,1.12,28.0,11188.0
293,16860,"Chattanooga, TN-GA Metro Area",1,2018,1.1225,28.5,11323.5
294,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",0,2012,1.29,63.0,319661.0
295,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",0,2013,1.3,67.0,330198.0
296,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",0,2014,1.31,70.0,334329.0
297,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",0,2015,1.31,70.0,339747.0
298,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",0,2016,1.32,72.0,344891.0
299,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",0,2017,1.32,73.0,352759.0
300,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",0,2018,1.3225,73.75,357366.5
301,17020,"Chico, CA Metro Area",1,2012,1.085,16.5,1788.5
302,17020,"Chico, CA Metro Area",1,2013,1.0875000000000001,16.75,1800.25
303,17020,"Chico, CA Metro Area",1,2014,1.09,17.0,1812.0
304,17020,"Chico, CA Metro Area",1,2015,1.1,17.0,1827.0
305,17020,"Chico, CA Metro Area",1,2016,1.1,17.0,1843.0
306,17020,"Chico, CA Metro Area",1,2017,1.1,18.0,1859.0
307,17020,"Chico, CA Metro Area",1,2018,1.1025,18.25,1870.75
308,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",0,2012,1.17,46.0,55383.0
309,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",0,2013,1.18,47.0,56754.0
310,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",0,2014,1.18,49.0,58108.0
311,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",0,2015,1.17,50.0,59998.0
312,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",0,2016,1.17,51.0,62902.0
313,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",0,2017,1.17,52.0,64061.0
314,17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",0,2018,1.1675,52.75,65549.25
315,17460,"Cleveland-Elyria-Mentor, OH Metro Area",0,2012,1.15,41.0,49805.0
316,17460,"Cleveland-Elyria-Mentor, OH Metro Area",0,2013,1.15,43.0,51101.0
317,17460,"Cleveland-Elyria-Mentor, OH Metro Area",0,2014,1.15,43.0,51770.0
318,17460,"Cleveland-Elyria-Mentor, OH Metro Area",0,2015,1.15,44.0,53046.0
319,17460,"Cleveland-Elyria-Mentor, OH Metro Area",0,2016,1.15,46.0,54900.0
320,17460,"Cleveland-Elyria-Mentor, OH Metro Area",0,2017,1.15,46.0,56070.0
