NTD_ID,Agency,SSW,Mode,TOS,2013
48,Lewiston Transit System,Y,DR,DO,12229.00
48,Lewiston Transit System,Y,MB,DO,27674.00
49,"vRide, Inc. - Anchorage",N,VP,DO,643117.00
51,Asotin County PTBA,Y,DR,DO,7144.00
51,Asotin County PTBA,Y,MB,DO,30058.00
51,Asotin County PTBA,Y,VP,DO,73817.00
53,Coeur d'Alene Tribe dba Citylink Transit,Y,DR,DO,0.00
53,Coeur d'Alene Tribe dba Citylink Transit,Y,MB,DO,0.00
54,King County Ferry District,N,FB,DO,1625208.00
55,Kootenai County,Y,DR,PT,0.00
55,Kootenai County,Y,MB,PT,0.00
57,Central Oregon Intergovernmental Council,N,CB,DO,162135.00
57,Central Oregon Intergovernmental Council,N,DR,DO,77995.00
57,Central Oregon Intergovernmental Council,N,DR,PT,63506.00
57,Central Oregon Intergovernmental Council,N,MB,PT,213357.00
58,City of Portland,N,SR,PT,363170.00
58,City of Portland,N,TR,PT,415880.00
59,Josephine County,Y,CB,DO,35587.00
59,Josephine County,Y,DR,DO,31626.00
59,Josephine County,Y,MB,DO,80710.00
60,The Tulalip Tribes of Washington,Y,MB,DO,0.00
61,City of Albany,Y,DR,DO,24764.00
61,City of Albany,Y,MB,DO,53178.00
63,City of Milton-Freewater,Y,DT,PT,7541.00
63,City of Milton-Freewater,Y,MB,PT,7343.00
64,Valley Transit,Y,DR,DO,25673.00
64,Valley Transit,Y,MB,DO,219008.00
64,Valley Transit,Y,VP,DO,36583.00
65,Benton County,Y,CB,PT,39997.00
65,Benton County,Y,DR,PT,33523.00
1001,Rhode Island Public Transit Authority,N,DR,DO,772852.00
1001,Rhode Island Public Transit Authority,N,DR,PT,58708.00
1001,Rhode Island Public Transit Authority,N,DT,PT,85234.00
1001,Rhode Island Public Transit Authority,N,MB,DO,21547853.00
1002,Manchester Transit Authority,Y,DR,DO,37737.00
1002,Manchester Transit Authority,Y,MB,DO,566814.00
1003,Massachusetts Bay Transportation Authority,N,CR,PT,168961201.00
1003,Massachusetts Bay Transportation Authority,N,DR,PT,7318243.00
1003,Massachusetts Bay Transportation Authority,N,FB,PT,6386225.00
1003,Massachusetts Bay Transportation Authority,N,HR,DO,191852484.00
1003,Massachusetts Bay Transportation Authority,N,LR,DO,89940323.00
1003,Massachusetts Bay Transportation Authority,N,MB,DO,96676230.00
1003,Massachusetts Bay Transportation Authority,N,MB,PT,454784.00
1003,Massachusetts Bay Transportation Authority,N,TB,DO,3355979.00
1004,Brockton Area Transit Authority,N,DR,PT,1113745.00
1004,Brockton Area Transit Authority,N,MB,PT,2628197.00
1005,Lowell Regional Transit Authority,N,DR,DO,49322.00
1005,Lowell Regional Transit Authority,N,DR,PT,68531.00
1005,Lowell Regional Transit Authority,N,MB,PT,1152693.00
1006,Southeastern Regional Transit Authority,N,DR,PT,140451.00
1006,Southeastern Regional Transit Authority,N,MB,PT,1982337.00
1007,Berkshire Regional Transit Authority,N,DR,PT,128460.00
1007,Berkshire Regional Transit Authority,N,MB,PT,792765.00
1008,Pioneer Valley Transit Authority,N,DR,PT,668227.00
1008,Pioneer Valley Transit Authority,N,MB,PT,6738204.00
1013,Merrimack Valley Regional Transit Authority,N,CB,PT,212457.00
1013,Merrimack Valley Regional Transit Authority,N,DR,PT,154329.00
1013,Merrimack Valley Regional Transit Authority,N,MB,PT,1329779.00
1014,Worcester Regional Transit Authority,N,DR,DO,75813.00
1014,Worcester Regional Transit Authority,N,DR,PT,134987.00
1014,Worcester Regional Transit Authority,N,DT,PT,103259.00
1014,Worcester Regional Transit Authority,N,MB,DO,3353939.00
1015,Lewiston-Auburn Transit Committee,Y,DR,PT,31872.00
1015,Lewiston-Auburn Transit Committee,Y,MB,PT,196603.00
1016,Greater Portland Transit District,N,MB,DO,1809031.00
1017,Greater Hartford Transit District,N,DR,PT,395032.00
1040,Southeast Area Transit,N,DR,PT,11367.00
1040,Southeast Area Transit,N,MB,DO,1227066.00
1042,Valley Transit District,N,DR,DO,62114.00
1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,N,CB,PT,542618.00
1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,N,MB,PT,145911.00
1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,N,MB,DO,13196107.00
1049,The Greater New Haven Transit District,N,DR,DO,195745.00
1049,The Greater New Haven Transit District,N,MB,DO,3779.00
1050,Greater Bridgeport Transit Authority,N,DR,PT,279759.00
1050,Greater Bridgeport Transit Authority,N,MB,DO,5805440.00
1051,Housatonic Area Regional Transit ,N,DR,DO,75344.00
1051,Housatonic Area Regional Transit ,N,MB,DO,781884.00
1053,Cape Ann Transportation Authority,N,DR,PT,32151.00
1053,Cape Ann Transportation Authority,N,MB,PT,153824.00
1055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,N,MB,DO,8840516.00
1056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,N,MB,DO,4178213.00
1057,Norwalk Transit District,N,DR,DO,133170.00
1057,Norwalk Transit District,N,DR,PT,145960.00
1057,Norwalk Transit District,N,MB,DO,1779407.00
1057,Norwalk Transit District,N,MB,PT,64031.00
1061,Montachusett Regional Transit Authority,N,DR,PT,1979342.00
1061,Montachusett Regional Transit Authority,N,DT,PT,9307.00
1061,Montachusett Regional Transit Authority,N,MB,PT,603462.00
1063,Middletown Transit District,N,DR,DO,34861.00
1063,Middletown Transit District,N,MB,DO,287383.00
1064,Greater Attleboro-Taunton Regional Transit Authority,N,CB,PT,700363.00
1064,Greater Attleboro-Taunton Regional Transit Authority,N,DR,PT,272094.00
1064,Greater Attleboro-Taunton Regional Transit Authority,N,MB,PT,715190.00
1066,Chittenden County Transportation Authority,N,CB,DO,592664.00
1066,Chittenden County Transportation Authority,N,DR,PT,131258.00
1066,Chittenden County Transportation Authority,N,MB,DO,1998496.00
1069,"Regional Transportation Program, Inc.",N,DR,DO,1731127.00
1086,Cooperative Alliance for Seacoast Transportation,Y,DR,DO,35626.00
1086,Cooperative Alliance for Seacoast Transportation,Y,MB,DO,538526.00
1087,Nashua Transit System,N,DR,PT,34519.00
1087,Nashua Transit System,N,MB,PT,382606.00
1088,Casco Bay Island Transit District,N,FB,DO,2306271.00
1096,City of Bangor - BAT Community Connector,Y,MB,DO,852377.00
1098,"Western Maine Transportation Services, Inc.",Y,DR,DO,51202.00
1098,"Western Maine Transportation Services, Inc.",Y,MB,DO,0.00
1099,York County Community Action Corporation,Y,DR,DO,72346.00
1102,Connecticut Department of Transportation,N,CB,PT,825041.00
1102,Connecticut Department of Transportation,N,CR,PT,2219842.00
1105,Cape Cod Regional Transit Authority,N,CB,PT,419402.00
1105,Cape Cod Regional Transit Authority,N,DR,PT,4271467.00
1105,Cape Cod Regional Transit Authority,N,DT,PT,2974888.00
1105,Cape Cod Regional Transit Authority,N,MB,PT,955852.00
1107,Milford Transit District,N,DR,DO,369281.00
1107,Milford Transit District,N,MB,DO,239895.00
1108,Greater Hartford Ridesharing Corporation - The Rideshare Company,N,VP,DO,3792736.00
1112,South Portland Bus Service,Y,MB,DO,307331.00
1114,Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus,Y,MB,DO,396484.00
1115,Northern New England Passenger Rail Authority,N,CR,PT,8117252.00
1117,Plymouth & Brockton Street Railway Company,N,CB,DO,6403628.00
1118,MetroWest Regional Transit Authority,N,DR,PT,194355.00
1118,MetroWest Regional Transit Authority,N,MB,PT,450975.00
1119,University Of New Hampshire - University Transportation Services,N,MB,DO,1497722.00
1122,"Jalbert Leasing, Inc. dba C&J",Y,CB,DO,9854932.00
1123,Greater Derry Salem Cooperative Alliance for Regional Transportation,Y,DR,PT,28426.00
1123,Greater Derry Salem Cooperative Alliance for Regional Transportation,Y,MB,PT,0.00
1125,Berkshire Regional Transit Authority Council on Aging,Y,DR,PT,188276.00
1126,Worcester Regional Transit Authority COA,N,DR,PT,52886.00
1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,N,DR,PT,207324.00
1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,N,MB,PT,1991799.00
1130,Connecticut Department of Transportation -CTTRANSIT New Britain ,N,MB,PT,603754.00
1132,State of Connecticut - CTTransit - Nason - Torrington-Winsted,Y,CB,PT,68669.00
1133,"Boston Express Bus, Inc.",Y,CB,DO,5570922.00
2002,Capital District Transportation Authority,N,CB,PT,711466.00
2002,Capital District Transportation Authority,N,DR,DO,471796.00
2002,Capital District Transportation Authority,N,DT,PT,479253.00
2002,Capital District Transportation Authority,N,MB,DO,15073710.00
2002,Capital District Transportation Authority,N,VP,PT,112659.00
2003,Broome County Department of Public Transportation,N,DR,DO,252608.00
2003,Broome County Department of Public Transportation,N,DR,PT,187550.00
2003,Broome County Department of Public Transportation,N,MB,DO,2463068.00
2004,Niagara Frontier Transportation Authority,N,DR,DO,596788.00
2004,Niagara Frontier Transportation Authority,N,LR,DO,5425359.00
2004,Niagara Frontier Transportation Authority,N,MB,DO,30466540.00
2005,C-TRAN,Y,DR,PT,266975.00
2005,C-TRAN,Y,MB,PT,705715.00
2006,City of Long Beach,N,DR,DO,7200.00
2006,City of Long Beach,N,MB,DO,428919.00
2008,MTA New York City Transit,N,CB,DO,75755534.00
2008,MTA New York City Transit,N,DR,PT,11554081.00
2008,MTA New York City Transit,N,HR,DO,3030746003.00
2008,MTA New York City Transit,N,MB,DO,849967678.00
2008,MTA New York City Transit,N,RB,DO,15339319.00
2009,City of Poughkeepsie,N,MB,DO,417713.00
2010,Dutchess County Division of Mass Transportation,N,DR,DO,42059.00
2010,Dutchess County Division of Mass Transportation,N,MB,DO,700470.00
2018,"CNY Centro, Inc. ",N,DR,DO,247432.00
2018,"CNY Centro, Inc. ",N,DR,PT,173305.00
2018,"CNY Centro, Inc. ",N,DT,PT,29374.00
2018,"CNY Centro, Inc. ",N,MB,DO,12930443.00
2071,Huntington Area Rapid Transit,N,DR,DO,87560.00
2071,Huntington Area Rapid Transit,N,MB,DO,153151.00
2072,Suffolk County Department of Public Works - Transportation Division,N,DR,PT,1792098.00
2072,Suffolk County Department of Public Works - Transportation Division,N,MB,PT,8349877.00
2075,Port Authority Transit Corporation,N,HR,DO,26024064.00
2076,Westchester County Bee-Line System,N,DR,PT,902900.00
2076,Westchester County Bee-Line System,N,MB,PT,48572092.00
2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",N,CR,DO,618811587.00
2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",N,FB,PT,236523.00
2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",N,MB,PT,429712.00
2080,New Jersey Transit Corporation,N,CR,DO,491448121.00
2080,New Jersey Transit Corporation,N,DR,PT,2251051.00
2080,New Jersey Transit Corporation,N,LR,DO,4593879.00
2080,New Jersey Transit Corporation,N,LR,PT,14890529.00
2080,New Jersey Transit Corporation,N,MB,DO,349614720.00
2080,New Jersey Transit Corporation,N,MB,PT,12473841.00
2080,New Jersey Transit Corporation,N,VP,PT,2508332.00
2080,New Jersey Transit Corporation,N,YR,PT,2399152.00
2082,New York City Department of Transportation,N,FB,DO,0.00
2082,New York City Department of Transportation,N,MB,PT,3036546.00
2084,Transport of Rockland,N,MB,PT,4021208.00
2085,Clarkstown Mini-Trans,Y,MB,DO,67193.00
2086,Transportation Resources Intra-County for Physically Handicapped and Senior Citizens,Y,DR,DO,99828.00
2089,Village of Spring Valley Bus,Y,MB,DO,6859.00
2096,Putnam County Transit,N,DR,PT,65088.00
2096,Putnam County Transit,N,MB,PT,227935.00
2098,Port Authority Trans-Hudson Corporation,N,FB,PT,7832665.00
2098,Port Authority Trans-Hudson Corporation,N,HR,DO,141335701.00
2099,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",N,HR,DO,7263031.00
2100,MTA Long Island Rail Road,N,CR,DO,632186606.00
2113,"Regional Transit Service, Inc. and Lift Line, Inc.",N,DR,DO,312022.00
2113,"Regional Transit Service, Inc. and Lift Line, Inc.",N,MB,DO,23797687.00
2116,"Centro of Cayuga, Inc.",N,MB,DO,434916.00
2120,Greater Glens Falls Transit System,Y,DR,DO,6548.00
2120,Greater Glens Falls Transit System,Y,MB,DO,280395.00
2122,"Academy Lines, Inc.",N,CB,DO,39836215.00
2126,"Hudson Transit Lines, Inc.",N,CB,DO,49704867.00
2128,Suburban Transit Corporation,N,CB,DO,27244479.00
2132,New Jersey Transit Corporation-45,N,MB,DO,10034922.00
2135,Monsey New Square Trails Corporation,N,CB,DO,3551845.00
2137,Monroe Bus Corporation,N,CB,DO,2472584.00
2143,Town of Newburgh,Y,DR,DO,2723.00
2145,Tompkins Consolidated Area Transit,N,DR,PT,74178.00
2145,Tompkins Consolidated Area Transit,N,MB,DO,4165832.00
2145,Tompkins Consolidated Area Transit,N,VP,PT,27360.00
2148,Newburgh Beacon Bus Corporation,Y,DR,DO,22035.00
2148,Newburgh Beacon Bus Corporation,Y,MB,DO,161395.00
2149,"Rockland Coaches, Inc.",N,CB,DO,17106577.00
2158,Tioga County,Y,DR,PT,20817.00
2158,Tioga County,Y,MB,PT,117967.00
2160,"Community Transit, Inc. ",N,CB,DO,4366777.00
2161,DeCamp Bus Lines,N,CB,DO,13271229.00
2163,"Lakeland Bus Lines, Inc.",N,CB,DO,16143583.00
2165,"Olympia Trails Bus Company, Inc.",N,CB,DO,8436750.00
2166,"Orange-Newark-Elizabeth, Inc.",N,MB,DO,16883604.00
2169,"Trans-Bridge Lines, Inc. ",N,CB,DO,22100700.00
2172,"Centro of Oswego, Inc.",N,MB,DO,518388.00
2175,Private Transportation Corporation,N,MB,PT,1045937.00
2176,Kaser Bus Service,Y,MB,PT,278401.00
2177,"Adirondack Transit Lines, Inc,",N,CB,DO,10160553.00
2178,Ulster County Area Transit,N,DR,DO,30397.00
2178,Ulster County Area Transit,N,MB,DO,451037.00
2179,"Hendrick Hudson Bus Lines, Inc.",Y,CB,DO,224479.00
2182,Town of Highlands Dial-A-Bus,Y,DR,DO,2154.00
2183,Town of Monroe Dial-A-Bus,Y,DR,DO,16410.00
2185,"Centro of Oneida, Inc.",N,DR,DO,57269.00
2185,"Centro of Oneida, Inc.",N,MB,DO,1111053.00
2187,Village of Kiryas Joel,Y,MB,DO,95828.00
2188,MTA Bus Company,N,MB,DO,199186670.00
2189,"BillyBey Ferry Company, LLC",N,FB,DO,8645200.00
2190,Port Imperial Ferry Corporation dba NY Waterway,N,FB,DO,38099146.00
2190,Port Imperial Ferry Corporation dba NY Waterway,N,MB,DO,1028677.00
2191,City of Kingston Citibus,Y,DR,DO,12848.00
2191,City of Kingston Citibus,Y,MB,DO,81520.00
2192,Bergen County Community Transportation,N,DR,DO,0.00
2192,Bergen County Community Transportation,N,MB,DO,0.00
2193,Cumberland Area Transit System,N,DR,DO,0.00
2194,East Windsor Township,Y,DR,DO,974.00
2194,East Windsor Township,Y,MB,PT,9443.00
2195,Gloucester County Division of Transportation Services ,Y,DR,DO,0.00
2195,Gloucester County Division of Transportation Services ,Y,DT,PT,0.00
2195,Gloucester County Division of Transportation Services ,Y,MB,DO,0.00
2196,Middlesex County Area Transit,N,DR,DO,157908.00
2196,Middlesex County Area Transit,N,DT,PT,0.00
2196,Middlesex County Area Transit,N,MB,DO,104464.00
2197,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink",Y,DR,DO,53137.00
2197,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink",Y,MB,DO,738048.00
2198,"TransOptions, Inc. ",Y,MB,PT,3047.00
2199,County of Atlantic,N,DR,DO,0.00
2200,South Jersey Transportation Authority,Y,DR,DO,0.00
2200,South Jersey Transportation Authority,Y,MB,DO,0.00
2201,County of Cumberland,Y,MB,DO,0.00
2202,Essex County Division of Training and Employment,Y,DR,PT,0.00
2203,Cape May County Fare Free Transportation,N,DR,DO,0.00
2204,"Senior Citizens United Community Services of Camden County, Inc.",Y,DR,DO,16148.00
2206,Nassau Inter County Express,N,DR,PT,1103507.00
2206,Nassau Inter County Express,N,MB,PT,44105826.00
2207,Hudson Transportation Management Association,Y,MB,PT,47784.00
2208,County of Burlington,Y,MB,PT,141036.00
2209,Somerset County Transportation,N,DR,DO,930400.00
2209,Somerset County Transportation,N,MB,DO,245448.00
2210,County of Morris,Y,DR,DO,0.00
2211,County of Mercer,Y,MB,DO,0.00
2212,County of Hunterdon,N,DR,PT,311380.00
2212,County of Hunterdon,N,MB,PT,13513.00
2213,City of Mechanicville,Y,MB,DO,543.00
2214,Town of Warwick Dial A Bus,Y,DR,DO,41075.00
2215,Watertown CitiBus,Y,DR,PT,24104.00
2215,Watertown CitiBus,Y,MB,DO,134510.00
3001,Kanawha Valley Regional Transportation Authority,N,DR,DO,49447.00
3001,Kanawha Valley Regional Transportation Authority,N,MB,DO,2036117.00
3002,The Tri-State Transit Authority,N,DR,DO,104074.00
3002,The Tri-State Transit Authority,N,MB,DO,750000.00
3003,Mid-Ohio Valley Transit Authority,Y,DR,DO,848.00
3003,Mid-Ohio Valley Transit Authority,Y,MB,DO,170453.00
3006,Greater Richmond Transit Company,N,DR,PT,641325.00
3006,Greater Richmond Transit Company,N,MB,DO,9637643.00
3006,Greater Richmond Transit Company,N,VP,PT,1829916.00
3007,Greater Roanoke Transit Company,N,CB,DO,27708.00
3007,Greater Roanoke Transit Company,N,DR,PT,167319.00
3007,Greater Roanoke Transit Company,N,MB,DO,2033978.00
3008,Greater Lynchburg Transit Company,N,DR,DO,88804.00
3008,Greater Lynchburg Transit Company,N,MB,DO,994655.00
3009,Petersburg Area Transit,Y,DR,DO,9377.00
3009,Petersburg Area Transit,Y,MB,DO,509894.00
3010,Lehigh and Northampton Transportation Authority,N,DR,PT,829161.00
3010,Lehigh and Northampton Transportation Authority,N,MB,DO,4345632.00
3011,Altoona Metro Transit,N,DR,DO,860.00
3011,Altoona Metro Transit,N,DR,PT,36966.00
3011,Altoona Metro Transit,N,MB,DO,748315.00
3012,Cambria County Transit Authority,N,DR,DO,649209.00
3012,Cambria County Transit Authority,N,DR,PT,0.00
3012,Cambria County Transit Authority,N,IP,DO,130011.00
3012,Cambria County Transit Authority,N,MB,DO,782080.00
3013,Erie Metropolitan Transit Authority,N,DR,DO,3970537.00
3013,Erie Metropolitan Transit Authority,N,MB,DO,2616276.00
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),N,DR,DO,1057519.00
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),N,DR,PT,64085.00
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),N,MB,DO,3225900.00
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),N,MB,PT,119585.00
3015,Luzerne County Transportation Authority,N,DR,DO,173203.00
3015,Luzerne County Transportation Authority,N,DR,PT,0.00
3015,Luzerne County Transportation Authority,N,MB,DO,1088483.00
3018,Red Rose Transit Authority,N,DR,PT,268127.00
3018,Red Rose Transit Authority,N,MB,DO,2682688.00
3019,Southeastern Pennsylvania Transportation Authority,N,CR,DO,137432299.00
3019,Southeastern Pennsylvania Transportation Authority,N,DR,PT,5919444.00
3019,Southeastern Pennsylvania Transportation Authority,N,HR,DO,95724944.00
3019,Southeastern Pennsylvania Transportation Authority,N,MB,DO,172205416.00
3019,Southeastern Pennsylvania Transportation Authority,N,SR,DO,30589805.00
3019,Southeastern Pennsylvania Transportation Authority,N,TB,DO,5608233.00
3022,Port Authority of Allegheny County,N,DR,PT,11084156.00
3022,Port Authority of Allegheny County,N,IP,DO,892269.00
3022,Port Authority of Allegheny County,N,LR,DO,9786533.00
3022,Port Authority of Allegheny County,N,MB,DO,78769406.00
3023,Beaver County Transit Authority,N,DR,DO,844893.00
3023,Beaver County Transit Authority,N,MB,DO,1429714.00
3024,Berks Area Reading Transportation Authority,N,DR,DO,451114.00
3024,Berks Area Reading Transportation Authority,N,DR,PT,174225.00
3024,Berks Area Reading Transportation Authority,N,MB,DO,2810217.00
3025,County of Lackawanna Transit System,N,DR,DO,37918.00
3025,County of Lackawanna Transit System,N,DR,PT,630.00
3025,County of Lackawanna Transit System,N,MB,DO,1141234.00
3025,County of Lackawanna Transit System,N,MB,PT,17225.00
3026,Williamsport Bureau of Transportation,N,DR,DO,788.00
3026,Williamsport Bureau of Transportation,N,DR,PT,2988.00
3026,Williamsport Bureau of Transportation,N,MB,DO,843507.00
3027,York County Transportation Authority,N,CB,DO,118883.00
3027,York County Transportation Authority,N,CB,PT,253588.00
3027,York County Transportation Authority,N,DR,DO,5075592.00
3027,York County Transportation Authority,N,DR,PT,7627.00
3027,York County Transportation Authority,N,DT,PT,7819.00
3027,York County Transportation Authority,N,MB,DO,1467270.00
3030,Washington Metropolitan Area Transit Authority,N,DR,PT,8014194.00
3030,Washington Metropolitan Area Transit Authority,N,DT,PT,265805.00
3030,Washington Metropolitan Area Transit Authority,N,HR,DO,605538195.00
3030,Washington Metropolitan Area Transit Authority,N,MB,DO,138734157.00
3030,Washington Metropolitan Area Transit Authority,N,MB,PT,3743298.00
3034,Maryland Transit Administration,N,CB,PT,15744927.00
3034,Maryland Transit Administration,N,CR,PT,42927037.00
3034,Maryland Transit Administration,N,DR,DO,228939.00
3034,Maryland Transit Administration,N,DR,PT,2390006.00
3034,Maryland Transit Administration,N,DT,PT,224193.00
3034,Maryland Transit Administration,N,HR,DO,12912287.00
3034,Maryland Transit Administration,N,LR,DO,7341806.00
3034,Maryland Transit Administration,N,MB,DO,57906253.00
3035,Ohio Valley Regional Transportation Authority,N,DR,DO,13003.00
3035,Ohio Valley Regional Transportation Authority,N,MB,DO,420165.00
3036,Charlottesville Area Transit,Y,MB,DO,756570.00
3040,Annapolis Department of Transportation,Y,DR,DO,5493.00
3040,Annapolis Department of Transportation,Y,MB,DO,754785.00
