NTD_ID,Company_Nm,MODE,Service_Cd,Small_Systems_Waiver_Fl,2012
45,Fairbanks North Star Borough Transit,MB,DO,Y,239388.00
46,South Metro Area Regional Transit,DR,DO,Y,6442.00
46,South Metro Area Regional Transit,MB,DO,Y,173191.00
47,City of Corvallis,DR,PT,N,0.00
47,City of Corvallis,MB,PT,N,0.00
48,Lewiston Transit System,DR,DO,Y,10904.00
48,Lewiston Transit System,MB,DO,Y,25493.00
49,"vRide, Anchorage",VP,DO,N,833383.00
51,Asotin County PTBA,DR,DO,Y,8184.00
51,Asotin County PTBA,MB,DO,Y,28286.00
51,Asotin County PTBA,VP,DO,Y,75136.00
52,Metro,VP,PT,Y,196290.00
53,Coeur d'Alene Tribe dba Citylink Transit,DR,DO,Y,0.00
53,Coeur d'Alene Tribe dba Citylink Transit,MB,DO,Y,0.00
54,King County Ferry District,FB,DO,N,1420638.00
55,Kootenai County,DR,PT,Y,0.00
55,Kootenai County,MB,PT,Y,0.00
56,Port of Kingston,FB,DO,N,67437.00
57,Central Oregon Intergovernmental Council,CB,DO,N,124863.00
57,Central Oregon Intergovernmental Council,DR,DO,N,131392.00
57,Central Oregon Intergovernmental Council,DR,PT,N,67763.00
57,Central Oregon Intergovernmental Council,MB,PT,N,205677.00
58,City of Portland,SR,DO,N,0.00
59,Josephine County,CB,DO,Y,29178.00
59,Josephine County,DR,DO,Y,34742.00
59,Josephine County,MB,DO,Y,71435.00
60,The Tulalip Tribes of Washington,MB,DO,Y,0.00
61,City of Albany,DR,DO,Y,13753.00
61,City of Albany,MB,DO,Y,34085.00
63,City of Milton-Freewater,DT,PT,Y,7090.00
63,City of Milton-Freewater,MB,PT,Y,6220.00
64,Valley Transit,DR,DO,Y,15831.00
64,Valley Transit,MB,DO,Y,209007.00
64,Valley Transit,VP,DO,Y,32841.00
1001,Rhode Island Public Transit Authority,DR,DO,N,682046.00
1001,Rhode Island Public Transit Authority,DR,PT,N,59279.00
1001,Rhode Island Public Transit Authority,DT,PT,N,91592.00
1001,Rhode Island Public Transit Authority,MB,DO,N,21147737.00
1002,Manchester Transit Authority,DR,DO,N,34938.00
1002,Manchester Transit Authority,MB,DO,N,565564.00
1003,Massachusetts Bay Transportation Authority,CR,PT,N,137796392.00
1003,Massachusetts Bay Transportation Authority,DR,PT,N,4621537.00
1003,Massachusetts Bay Transportation Authority,FB,PT,N,5989206.00
1003,Massachusetts Bay Transportation Authority,HR,DO,N,162016921.00
1003,Massachusetts Bay Transportation Authority,LR,DO,N,76335010.00
1003,Massachusetts Bay Transportation Authority,MB,DO,N,81636526.00
1003,Massachusetts Bay Transportation Authority,MB,PT,N,722645.00
1003,Massachusetts Bay Transportation Authority,TB,DO,N,3067088.00
1004,Brockton Area Transit Authority,DR,PT,N,1135569.00
1004,Brockton Area Transit Authority,MB,PT,N,2715210.00
1005,Lowell Regional Transit Authority,DR,DO,N,47610.00
1005,Lowell Regional Transit Authority,DR,PT,N,70031.00
1005,Lowell Regional Transit Authority,MB,PT,N,1114914.00
1006,Southeastern Regional Transit Authority,DR,PT,N,74724.00
1006,Southeastern Regional Transit Authority,MB,PT,N,2065446.00
1007,Berkshire Regional Transit Authority,DR,PT,N,136853.00
1007,Berkshire Regional Transit Authority,DT,PT,N,9910.00
1007,Berkshire Regional Transit Authority,MB,PT,N,775523.00
1008,Pioneer Valley Transit Authority,DR,PT,N,670666.00
1008,Pioneer Valley Transit Authority,MB,PT,N,6684087.00
1013,Merrimack Valley Regional Transit Authority,CB,PT,N,180158.00
1013,Merrimack Valley Regional Transit Authority,DR,PT,N,157628.00
1013,Merrimack Valley Regional Transit Authority,MB,PT,N,1267752.00
1014,Worcester Regional Transit Authority,DR,DO,N,79394.00
1014,Worcester Regional Transit Authority,DR,PT,N,140286.00
1014,Worcester Regional Transit Authority,DT,PT,N,103991.00
1014,Worcester Regional Transit Authority,MB,DO,N,3228296.00
1015,Lewiston-Auburn Transit Committee,DR,PT,Y,29418.00
1015,Lewiston-Auburn Transit Committee,MB,PT,Y,182335.00
1016,Greater Portland Transit District,MB,DO,N,1779927.00
1017,Greater Hartford Transit District,DR,PT,N,388619.00
1040,Southeast Area Transit,DR,PT,N,12708.00
1040,Southeast Area Transit,MB,DO,N,1254186.00
1042,Valley Transit District,DR,DO,N,60193.00
1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,CB,PT,N,134305.00
1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,MB,PT,N,138961.00
1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,MB,DO,N,13622900.00
1049,The Greater New Haven Transit District,DR,DO,N,196759.00
1049,The Greater New Haven Transit District,MB,DO,N,2599.00
1050,Greater Bridgeport Transit Authority,DR,PT,N,288701.00
1050,Greater Bridgeport Transit Authority,MB,DO,N,6127154.00
1051,Housatonic Area Regional Transit ,DR,DO,N,73398.00
1051,Housatonic Area Regional Transit ,MB,DO,N,828149.00
1053,Cape Ann Transportation Authority,DR,PT,N,29565.00
1053,Cape Ann Transportation Authority,MB,PT,N,162308.00
1055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,MB,DO,N,8596747.00
1056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,MB,DO,N,3978873.00
1057,Norwalk Transit District,DR,DO,N,129997.00
1057,Norwalk Transit District,DR,PT,N,143130.00
1057,Norwalk Transit District,MB,DO,N,1735952.00
1057,Norwalk Transit District,MB,PT,N,57737.00
1061,Montachusett Regional Transit Authority,DR,PT,N,1972402.00
1061,Montachusett Regional Transit Authority,DT,PT,N,7284.00
1061,Montachusett Regional Transit Authority,MB,PT,N,590393.00
1063,Middletown Transit District,DR,DO,Y,29080.00
1063,Middletown Transit District,MB,DO,Y,257046.00
1064,Greater Attleboro-Taunton Regional Transit Authority,CB,PT,N,748510.00
1064,Greater Attleboro-Taunton Regional Transit Authority,DR,PT,N,245409.00
1064,Greater Attleboro-Taunton Regional Transit Authority,MB,PT,N,649485.00
1066,Chittenden County Transportation Authority,DR,PT,N,108355.00
1066,Chittenden County Transportation Authority,MB,DO,N,2484660.00
1069,"Regional Transportation Program, Inc.",DR,DO,N,1663687.00
1086,Cooperative Alliance for Seacoast Transportation,DR,DO,N,34686.00
1086,Cooperative Alliance for Seacoast Transportation,MB,DO,N,416695.00
1087,Nashua Transit System,DR,PT,N,39260.00
1087,Nashua Transit System,MB,PT,N,335381.00
1088,Casco Bay Island Transit District,FB,DO,N,2295805.00
1096,City of Bangor - BAT Community Connector,DR,PT,Y,12355.00
1096,City of Bangor - BAT Community Connector,DT,PT,Y,15786.00
1096,City of Bangor - BAT Community Connector,MB,DO,Y,867126.00
1098,"Western Maine Transportation Services, Inc.",DR,DO,Y,54138.00
1098,"Western Maine Transportation Services, Inc.",MB,DO,Y,0.00
1099,York County Community Action Corporation,DR,DO,Y,63303.00
1102,Connecticut Department of Transportation,CB,PT,N,232171.00
1102,Connecticut Department of Transportation,CR,PT,N,2219841.00
1105,Cape Cod Regional Transit Authority,CB,PT,N,387612.00
1105,Cape Cod Regional Transit Authority,DR,PT,N,3977568.00
1105,Cape Cod Regional Transit Authority,DT,PT,N,2549413.00
1105,Cape Cod Regional Transit Authority,MB,PT,N,919483.00
1107,Milford Transit District,DR,DO,N,315967.00
1107,Milford Transit District,MB,DO,N,277591.00
1108,Greater Hartford Ridesharing Corporation - The Rideshare Company,VP,DO,N,3881795.00
1112,South Portland Bus Service,MB,DO,Y,299479.00
1114,Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus,MB,DO,Y,336567.00
1115,Northern New England Passenger Rail Authority,CR,PT,N,7416871.00
1117,Plymouth & Brockton Street Railway Company,CB,DO,N,6190696.00
1118,MetroWest Regional Transit Authority,DR,PT,N,215138.00
1118,MetroWest Regional Transit Authority,MB,PT,N,386135.00
1119,University Of New Hampshire - University Transportation Services,MB,DO,N,1426820.00
1122,"Jalbert Leasing, Inc. dba C&J",CB,DO,Y,10536563.00
1123,Greater Derry Salem Cooperative Alliance for Regional Transportation,DR,PT,Y,38315.00
1123,Greater Derry Salem Cooperative Alliance for Regional Transportation,MB,PT,Y,0.00
1125,Berkshire Regional Transit Authority Council on Aging,DR,PT,Y,185271.00
1126,Worcester Regional Transit Authority COA,DR,PT,N,56359.00
1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,DR,PT,N,200006.00
1128,Connecticut Department of Transportation- CTTransit Waterbury- NET,MB,PT,N,1890201.00
1130,Connecticut Department of Transportation -CTTRANSIT New Britain ,MB,PT,N,617102.00
2002,Capital District Transportation Authority,CB,PT,N,655238.00
2002,Capital District Transportation Authority,DR,DO,N,554179.00
2002,Capital District Transportation Authority,DT,PT,N,265898.00
2002,Capital District Transportation Authority,MB,DO,N,14331986.00
2002,Capital District Transportation Authority,VP,PT,N,169167.00
2003,Broome County Department of Public Transportation,DR,DO,N,82178.00
2003,Broome County Department of Public Transportation,DR,PT,N,269896.00
2003,Broome County Department of Public Transportation,MB,DO,N,2501222.00
2004,Niagara Frontier Transportation Authority,DR,DO,N,570537.00
2004,Niagara Frontier Transportation Authority,LR,DO,N,4891099.00
2004,Niagara Frontier Transportation Authority,MB,DO,N,27062196.00
2005,C-TRAN,DR,PT,Y,310630.00
2005,C-TRAN,MB,PT,Y,660090.00
2006,City of Long Beach,DR,DO,N,8500.00
2006,City of Long Beach,MB,DO,N,408144.00
2008,MTA New York City Transit,DR,PT,N,10304889.00
2008,MTA New York City Transit,HR,DO,N,2742048577.00
2008,MTA New York City Transit,MB,DO,N,870480359.00
2009,City of Poughkeepsie,MB,DO,N,369548.00
2010,Dutchess County Division of Mass Transportation,DR,DO,N,48954.00
2010,Dutchess County Division of Mass Transportation,MB,DO,N,656676.00
2018,"CNY Centro, Inc. ",DR,DO,N,190733.00
2018,"CNY Centro, Inc. ",DR,PT,N,173749.00
2018,"CNY Centro, Inc. ",DT,PT,N,33240.00
2018,"CNY Centro, Inc. ",MB,DO,N,11973480.00
2071,Huntington Area Rapid Transit,DR,DO,N,37451.00
2071,Huntington Area Rapid Transit,MB,DO,N,172619.00
2072,Suffolk County Department of Public Works - Transportation Division,DR,PT,N,1395242.00
2072,Suffolk County Department of Public Works - Transportation Division,MB,PT,N,7997982.00
2075,Port Authority Transit Corporation,HR,DO,N,26147459.00
2076,Westchester County Bee-Line System,DR,PT,N,890680.00
2076,Westchester County Bee-Line System,MB,PT,N,45690374.00
2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",CR,DO,N,587493227.00
2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",FB,PT,N,223029.00
2078,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",MB,PT,N,405431.00
2080,New Jersey Transit Corporation,CR,DO,N,505722480.00
2080,New Jersey Transit Corporation,DR,PT,N,2175058.00
2080,New Jersey Transit Corporation,LR,DO,N,5025504.00
2080,New Jersey Transit Corporation,LR,PT,N,15598339.00
2080,New Jersey Transit Corporation,MB,DO,N,346542794.00
2080,New Jersey Transit Corporation,MB,PT,N,11680748.00
2080,New Jersey Transit Corporation,VP,PT,N,2699474.00
2080,New Jersey Transit Corporation,YR,PT,N,2390685.00
2082,New York City Department of Transportation,FB,DO,N,0.00
2082,New York City Department of Transportation,MB,PT,N,3083469.00
2084,Transport of Rockland,MB,PT,N,4154433.00
2085,Clarkstown Mini-Trans,MB,DO,Y,68230.00
2086,Transportation Resources Intra-County for Physically Handicapped and Senior Citizens,DR,DO,Y,91972.00
2089,Village of Spring Valley Bus,MB,DO,Y,8039.00
2096,Putnam County Transit,DR,PT,N,70176.00
2096,Putnam County Transit,MB,PT,N,232158.00
2098,Port Authority Trans-Hudson Corporation,FB,PT,N,9306744.00
2098,Port Authority Trans-Hudson Corporation,HR,DO,N,126028379.00
2099,"Staten Island Rapid Transit Operating Authority, dba: MTA Staten Island Railway",HR,DO,N,7018648.00
2100,MTA Long Island Rail Road,CR,DO,N,581408370.00
2113,"Regional Transit Service, Inc. and Lift Line, Inc.",DR,DO,N,306239.00
2113,"Regional Transit Service, Inc. and Lift Line, Inc.",MB,DO,N,12202259.00
2116,"Centro of Cayuga, Inc.",MB,DO,N,480313.00
2120,Greater Glens Falls Transit System,DR,DO,Y,5269.00
2120,Greater Glens Falls Transit System,MB,DO,Y,279433.00
2122,"Academy Lines, Inc.",MB,DO,N,33766674.00
2126,"Hudson Transit Lines, Inc.",MB,DO,N,47684492.00
2128,Suburban Transit Corporation,MB,DO,N,26442534.00
2132,New Jersey Transit Corporation-45,MB,DO,N,9653992.00
2135,Monsey New Square Trails Corporation,MB,DO,N,3455612.00
2137,Monroe Bus Corporation,CB,DO,N,2364710.00
2143,Town of Newburgh,DR,DO,Y,3337.00
2145,Tompkins Consolidated Area Transit,DR,PT,N,74279.00
2145,Tompkins Consolidated Area Transit,MB,DO,N,4105274.00
2145,Tompkins Consolidated Area Transit,VP,PT,N,27360.00
2148,Newburgh Beacon Bus Corporation,DR,DO,Y,20120.00
2148,Newburgh Beacon Bus Corporation,MB,DO,Y,160920.00
2149,"Rockland Coaches, Inc.",MB,DO,N,16820484.00
2158,Tioga County,DR,PT,Y,21680.00
2158,Tioga County,MB,PT,Y,121730.00
2160,"Community Transit, Inc. ",MB,DO,N,4373778.00
2161,DeCamp Bus Lines,MB,DO,N,13526331.00
2163,"Lakeland Bus Lines, Inc.",MB,DO,N,15203188.00
2165,"Olympia Trails Bus Company, Inc.",MB,DO,N,8627654.00
2166,"Orange-Newark-Elizabeth, Inc.",MB,DO,N,17283502.00
2169,"Trans-Bridge Lines, Inc. ",MB,DO,N,19265727.00
2172,"Centro of Oswego, Inc.",MB,DO,N,523555.00
2175,Private Transportation Corporation,MB,PT,N,1063342.00
2176,Kaser Bus Service,MB,PT,Y,270060.00
2177,"Adirondack Transit Lines, Inc,",CB,DO,N,10275958.00
2178,Ulster County Area Transit,DR,DO,N,29406.00
2178,Ulster County Area Transit,MB,DO,N,448757.00
2179,"Hendrick Hudson Bus Lines, Inc.",CB,DO,Y,237433.00
2182,Town of Highlands Dial-A-Bus,DR,DO,Y,2869.00
2183,Town of Monroe Dial-A-Bus,DR,DO,N,29748.00
2185,"Centro of Oneida, Inc.",DR,DO,N,65016.00
2185,"Centro of Oneida, Inc.",MB,DO,N,1244968.00
2187,Village of Kiryas Joel,MB,DO,Y,79760.00
2188,MTA Bus Company,MB,DO,N,181904420.00
2189,"BillyBey Ferry Company, LLC",FB,DO,N,9528602.00
2190,Port Imperial Ferry Corporation dba NY Waterway,FB,DO,N,38635716.00
2190,Port Imperial Ferry Corporation dba NY Waterway,MB,DO,N,1075000.00
2191,City of Kingston Citibus,DR,DO,Y,89967.00
2191,City of Kingston Citibus,MB,DO,Y,9166.00
2192,Bergen County Community Transportation,DR,DO,N,0.00
2193,Cumberland Area Transit System,DR,DO,N,0.00
2194,East Windsor Township,DR,DO,Y,1257.00
2194,East Windsor Township,MB,PT,Y,8068.00
2195,Gloucester County Division of Transportation Services ,DR,DO,N,0.00
2195,Gloucester County Division of Transportation Services ,MB,DO,N,0.00
2196,Middlesex County Area Transit,DR,DO,N,165070.00
2196,Middlesex County Area Transit,DT,PT,N,0.00
2196,Middlesex County Area Transit,MB,DO,N,105022.00
2197,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink",DR,DO,N,57401.00
2197,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink",DR,PT,N,58809.00
2197,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink",MB,DO,N,116701.00
2197,"Meadowlands Transportation Brokerage Corporation, dba Meadowlink",MB,PT,N,314185.00
2198,"TransOptions, Inc. ",MB,PT,Y,3760.00
2199,County of Atlantic,DR,DO,N,0.00
2200,South Jersey Transportation Authority,DR,DO,Y,0.00
2200,South Jersey Transportation Authority,MB,DO,Y,0.00
2201,County of Cumberland,MB,DO,Y,0.00
2202,Essex County Division of Training and Employment,DR,PT,Y,0.00
2203,Cape May County Fare Free Transportation,DR,DO,N,0.00
2204,"Senior Citizens United Community Services of Camden County, Inc.",DR,DO,Y,0.00
2206,Nassau Inter County Express,DR,PT,N,1155658.00
2206,Nassau Inter County Express,MB,PT,N,41893635.00
2207,Hudson Transportation Management Association,MB,PT,Y,46359.00
2208,County of Burlington,MB,PT,Y,134796.00
2209,Somerset County Transportation,DR,DO,N,980400.00
2209,Somerset County Transportation,MB,DO,N,229922.00
2210,County of Morris,DR,DO,N,12961.00
2211,County of Mercer,MB,DO,Y,0.00
2212,County of Hunterdon,DR,PT,N,486102.00
2213,City of Mechanicville,MB,DO,Y,27.00
2214,Town of Warwick Dial A Bus,DR,DO,Y,31968.00
2215,Watertown CitiBus,DR,PT,Y,23750.00
2215,Watertown CitiBus,MB,DO,Y,136952.00
3001,Kanawha Valley Regional Transportation Authority,DR,DO,N,52544.00
3001,Kanawha Valley Regional Transportation Authority,MB,DO,N,2037886.00
3002,The Tri-State Transit Authority,DR,DO,N,92917.00
3002,The Tri-State Transit Authority,MB,DO,N,697552.00
3003,Mid-Ohio Valley Transit Authority,DR,DO,Y,1192.00
3003,Mid-Ohio Valley Transit Authority,MB,DO,Y,200811.00
3006,Greater Richmond Transit Company,DR,DO,N,251103.00
3006,Greater Richmond Transit Company,DR,PT,N,346762.00
3006,Greater Richmond Transit Company,MB,DO,N,10246402.00
3006,Greater Richmond Transit Company,VP,PT,N,1635972.00
3007,Greater Roanoke Transit Company,DR,PT,N,162786.00
3007,Greater Roanoke Transit Company,MB,DO,N,1968957.00
3008,Greater Lynchburg Transit Company,DR,DO,N,105920.00
3008,Greater Lynchburg Transit Company,MB,DO,N,1020905.00
3009,Petersburg Area Transit,DR,DO,Y,7987.00
3009,Petersburg Area Transit,MB,DO,Y,449088.00
3010,Lehigh and Northampton Transportation Authority,DR,PT,N,847791.00
3010,Lehigh and Northampton Transportation Authority,MB,DO,N,4279031.00
3011,Altoona Metro Transit,DR,DO,N,1020.00
3011,Altoona Metro Transit,DR,PT,N,35250.00
3011,Altoona Metro Transit,MB,DO,N,796748.00
3012,Cambria County Transit Authority,DR,DO,N,185626.00
3012,Cambria County Transit Authority,IP,DO,N,147332.00
3012,Cambria County Transit Authority,MB,DO,N,770437.00
3013,Erie Metropolitan Transit Authority,DR,DO,N,3960429.00
3013,Erie Metropolitan Transit Authority,MB,DO,N,2356057.00
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),DR,DO,N,1226584.00
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),DR,PT,N,48173.00
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),DT,PT,N,114.00
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),MB,DO,N,3148398.00
3014,Cumberland Dauphin-Harrisburg Transit Authority - (DBA Capital Area Transit),MB,PT,N,117496.00
3015,Luzerne County Transportation Authority,DR,DO,N,115090.00
3015,Luzerne County Transportation Authority,DR,PT,N,29883.00
3015,Luzerne County Transportation Authority,MB,DO,N,1095523.00
3018,Red Rose Transit Authority,DR,PT,N,264772.00
3018,Red Rose Transit Authority,MB,DO,N,2371896.00
3019,Southeastern Pennsylvania Transportation Authority,CR,DO,N,134322431.00
3019,Southeastern Pennsylvania Transportation Authority,DR,PT,N,6045191.00
3019,Southeastern Pennsylvania Transportation Authority,HR,DO,N,97239558.00
3019,Southeastern Pennsylvania Transportation Authority,MB,DO,N,177847064.00
3019,Southeastern Pennsylvania Transportation Authority,SR,DO,N,29813905.00
3019,Southeastern Pennsylvania Transportation Authority,TB,DO,N,5826694.00
3022,Port Authority of Allegheny County,DR,PT,N,10790729.00
3022,Port Authority of Allegheny County,IP,DO,N,817060.00
3022,Port Authority of Allegheny County,IP,PT,N,978705.00
3022,Port Authority of Allegheny County,LR,DO,N,8711024.00
3022,Port Authority of Allegheny County,MB,DO,N,76934620.00
3023,Beaver County Transit Authority,DR,DO,N,800675.00
3023,Beaver County Transit Authority,MB,DO,N,1425152.00
3024,Berks Area Reading Transportation Authority,DR,DO,N,438657.00
3024,Berks Area Reading Transportation Authority,DR,PT,N,172088.00
3024,Berks Area Reading Transportation Authority,MB,DO,N,2739067.00
3025,County of Lackawanna Transit System,DR,PT,N,23604.00
3025,County of Lackawanna Transit System,MB,DO,N,1028499.00
3025,County of Lackawanna Transit System,MB,PT,N,13278.00
3026,Williamsport Bureau of Transportation,DR,PT,N,4520.00
3026,Williamsport Bureau of Transportation,MB,DO,N,865917.00
3027,York County Transportation Authority,CB,DO,N,38298.00
3027,York County Transportation Authority,CB,PT,N,312790.00
3027,York County Transportation Authority,DR,DO,N,3139461.00
3027,York County Transportation Authority,DR,PT,N,2869299.00
3027,York County Transportation Authority,DT,PT,N,79996.00
3027,York County Transportation Authority,MB,DO,N,1566715.00
3030,Washington Metropolitan Area Transit Authority,DR,PT,N,7538237.00
3030,Washington Metropolitan Area Transit Authority,DT,PT,N,286615.00
3030,Washington Metropolitan Area Transit Authority,HR,DO,N,569237545.00
3030,Washington Metropolitan Area Transit Authority,MB,DO,N,133925480.00
3030,Washington Metropolitan Area Transit Authority,MB,PT,N,3525120.00
3034,Maryland Transit Administration,CB,PT,N,14875829.00
3034,Maryland Transit Administration,CR,PT,N,40814295.00
3034,Maryland Transit Administration,DR,DO,N,134637.00
3034,Maryland Transit Administration,DR,PT,N,2209992.00
3034,Maryland Transit Administration,DT,PT,N,203501.00
3034,Maryland Transit Administration,HR,DO,N,12507728.00
3034,Maryland Transit Administration,LR,DO,N,6952278.00
3034,Maryland Transit Administration,MB,DO,N,60207260.00
3035,Ohio Valley Regional Transportation Authority,DR,DO,N,14391.00
3035,Ohio Valley Regional Transportation Authority,MB,DO,N,405782.00
3036,Charlottesville Area Transit,MB,DO,Y,871509.00
3040,Annapolis Department of Transportation,DR,DO,Y,56213.00
3040,Annapolis Department of Transportation,MB,DO,Y,746829.00
3041,Allegany County Transit,DR,DO,Y,38979.00
3041,Allegany County Transit,MB,DO,Y,255130.00
3042,Washington County Transit,DR,DO,Y,17767.00
3042,Washington County Transit,MB,DO,Y,325861.00
3044,Westmoreland County Transit Authority,DT,PT,N,63712.00
3044,Westmoreland County Transit Authority,MB,PT,N,1016251.00
3045,"JAUNT, Inc.",DR,DO,N,1026988.00
