NTD_ID,Legacy NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Expense Type,2017
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,LR,DO,Funds Earned During Period,38019002
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,SR,DO,Funds Earned During Period,0
41,41,Alaska Railroad Corporation,Full Reporter,Urban,AR,DO,Funds Earned During Period,23264241
42,42,Targhee Regional Public Transit Authority,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,0
42,42,Targhee Regional Public Transit Authority,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,19017
42,42,Targhee Regional Public Transit Authority,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,0
42,42,Targhee Regional Public Transit Authority,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,12693
43,43,Link Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,34591
43,43,Link Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,888
43,43,Link Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,599684
44,44,Skagit Transit,Full Reporter,Urban,CB,DO,Funds Earned During Period,65432
44,44,Skagit Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,7187
44,44,Skagit Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,343521
44,44,Skagit Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,448444
45,45,Fairbanks North Star Borough Transit,Reduced Reporter,Urban,CB,DO,Funds Expended on Capital,0
45,45,Fairbanks North Star Borough Transit,Reduced Reporter,Urban,CB,DO,Funds Expended on Operations,2900
45,45,Fairbanks North Star Borough Transit,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,0
45,45,Fairbanks North Star Borough Transit,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,36710
45,45,Fairbanks North Star Borough Transit,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,0
45,45,Fairbanks North Star Borough Transit,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,390636
46,46,South Metro Area Regional Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,16735
46,46,South Metro Area Regional Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,163152
47,47,City of Corvallis,Full Reporter,Urban,DR,PT,Funds Earned During Period,0
47,47,City of Corvallis,Full Reporter,Urban,MB,PT,Funds Earned During Period,0
48,48,Lewiston Transit System,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,0
48,48,Lewiston Transit System,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,6942
48,48,Lewiston Transit System,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,0
48,48,Lewiston Transit System,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,36371
51,51,Asotin County PTBA,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,0
51,51,Asotin County PTBA,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,7087
51,51,Asotin County PTBA,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,0
51,51,Asotin County PTBA,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,30862
51,51,Asotin County PTBA,Reduced Reporter,Urban,VP,DO,Funds Expended on Capital,0
51,51,Asotin County PTBA,Reduced Reporter,Urban,VP,DO,Funds Expended on Operations,64368
53,53,Coeur d'Alene Tribe dba Citylink Transit,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0
53,53,Coeur d'Alene Tribe dba Citylink Transit,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0
53,53,Coeur d'Alene Tribe dba Citylink Transit,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
53,53,Coeur d'Alene Tribe dba Citylink Transit,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0
55,55,Kootenai County,Reduced Reporter,Urban,DR,PT,Funds Expended on Capital,0
55,55,Kootenai County,Reduced Reporter,Urban,DR,PT,Funds Expended on Operations,0
57,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO,Funds Earned During Period,262885
57,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,DO,Funds Earned During Period,72181
57,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT,Funds Earned During Period,63396
57,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,DO,Funds Earned During Period,2108
57,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,PT,Funds Earned During Period,338669
58,58,City of Portland,Full Reporter,Urban,SR,PT,Funds Earned During Period,801809
58,58,City of Portland,Full Reporter,Urban,TR,PT,Funds Earned During Period,774134
59,59,Josephine County,Reduced Reporter,Urban,CB,DO,Funds Expended on Capital,0
59,59,Josephine County,Reduced Reporter,Urban,CB,DO,Funds Expended on Operations,42570
59,59,Josephine County,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,0
59,59,Josephine County,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,21917
59,59,Josephine County,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,0
59,59,Josephine County,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,57773
60,60,The Tulalip Tribes of Washington,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
60,60,The Tulalip Tribes of Washington,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0
61,61,City of Albany,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,0
61,61,City of Albany,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,33721
61,61,City of Albany,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,0
61,61,City of Albany,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,55432
63,63,City of Milton-Freewater,Reduced Reporter,Urban,DT,PT,Funds Expended on Capital,0
63,63,City of Milton-Freewater,Reduced Reporter,Urban,DT,PT,Funds Expended on Operations,5195
63,63,City of Milton-Freewater,Reduced Reporter,Urban,MB,PT,Funds Expended on Capital,0
63,63,City of Milton-Freewater,Reduced Reporter,Urban,MB,PT,Funds Expended on Operations,229
64,64,Valley Transit,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,0
64,64,Valley Transit,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,21892
64,64,Valley Transit,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,0
64,64,Valley Transit,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,155052
64,64,Valley Transit,Reduced Reporter,Urban,VP,DO,Funds Expended on Capital,0
64,64,Valley Transit,Reduced Reporter,Urban,VP,DO,Funds Expended on Operations,25613
65,65,Benton County,Reduced Reporter,Urban,CB,PT,Funds Expended on Capital,0
65,65,Benton County,Reduced Reporter,Urban,CB,PT,Funds Expended on Operations,25456
65,65,Benton County,Reduced Reporter,Urban,DR,PT,Funds Expended on Capital,0
65,65,Benton County,Reduced Reporter,Urban,DR,PT,Funds Expended on Operations,73110
85,0T08,Gulkana Village Council,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0
85,0T08,Gulkana Village Council,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,2531
85,0T08,Gulkana Village Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
85,0T08,Gulkana Village Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,27725
95,0T11,Lummi Nation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
95,0T11,Lummi Nation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0
103,0T16,Squaxin Island Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
103,0T16,Squaxin Island Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0
111,0T03,Confederated Tribes and Bands of The Yakama Nation,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0
111,0T03,Confederated Tribes and Bands of The Yakama Nation,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0
111,0T03,Confederated Tribes and Bands of The Yakama Nation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
111,0T03,Confederated Tribes and Bands of The Yakama Nation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0
119,0T06,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,CB,DO,Funds Expended on Capital,0
119,0T06,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,CB,DO,Funds Expended on Operations,0
119,0T06,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
119,0T06,Confederated Tribes of the Umatilla Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0
127,0T07,Cowlitz Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0
127,0T07,Cowlitz Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0
135,0T12,Nez Perce Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0
135,0T12,Nez Perce Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,1825
135,0T12,Nez Perce Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
135,0T12,Nez Perce Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,15778
159,0T18,Tetlin Village Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
159,0T18,Tetlin Village Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0
175,0T20,Manley Village Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
175,0T20,Manley Village Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,285
183,0T21,Quinault Tribe of the Quinault Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
183,0T21,Quinault Tribe of the Quinault Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,4185
199,0T23,Seldovia Village Tribe,Reduced Reporter,Tribe,FB,DO,Funds Expended on Capital,0
199,0T23,Seldovia Village Tribe,Reduced Reporter,Tribe,FB,DO,Funds Expended on Operations,30794
207,0T24,Spokane Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0
207,0T24,Spokane Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0
207,0T24,Spokane Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
207,0T24,Spokane Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0
207,0T24,Spokane Tribe of Indians,Reduced Reporter,Tribe,VP,DO,Funds Expended on Capital,0
207,0T24,Spokane Tribe of Indians,Reduced Reporter,Tribe,VP,DO,Funds Expended on Operations,18560
239,0T34,Ketchikan Indian Community,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0
239,0T34,Ketchikan Indian Community,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0
247,0T29,Native Village of Noatak,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0
247,0T29,Native Village of Noatak,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0
271,0T41,Nome Eskimo Community,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
271,0T41,Nome Eskimo Community,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0
279,0T40,Hydaburg Cooperative Association,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0
279,0T40,Hydaburg Cooperative Association,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,2985
376,,"Ride Connection, Inc.",Full Reporter,Urban,DR,DO,Funds Earned During Period,0
376,,"Ride Connection, Inc.",Full Reporter,Urban,DT,PT,Funds Earned During Period,0
376,,"Ride Connection, Inc.",Full Reporter,Urban,MB,DO,Funds Earned During Period,0
400,,Gwichyaa Zhee Tribal Transit Service,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
400,,Gwichyaa Zhee Tribal Transit Service,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0
401,,Lower Elwha Klallam Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
401,,Lower Elwha Klallam Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0
407,,Muckleshoot Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0
407,,Muckleshoot Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0
407,,Muckleshoot Indian Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
407,,Muckleshoot Indian Tribe,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0
414,,Ninilchik Village,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
414,,Ninilchik Village,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0
415,,Ada County Highway District Commuteride,Full Reporter,Urban,VP,DO,Funds Earned During Period,980002
416,,Boise State University,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,0
416,,Boise State University,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,0
417,,Quileute Tribe Community Shuttle,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
417,,Quileute Tribe Community Shuttle,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0
0R01-00288,0R01-024,City of Moscow,Rural Reporter,Rural,VP,DO,Funds Expended on Capital,0
0R01-00288,0R01-024,City of Moscow,Rural Reporter,Rural,VP,DO,Funds Expended on Operations,20569
0R01-00306,0R01-004,Marsing Senior Center,Rural Reporter,Rural,DR,DO,Funds Expended on Capital,0
0R01-00306,0R01-004,Marsing Senior Center,Rural Reporter,Rural,DR,DO,Funds Expended on Operations,0
0R01-00311,0R01-003,Mountain Rides Transportation Authority,Rural Reporter,Rural,DR,DO,Funds Expended on Capital,0
0R01-00311,0R01-003,Mountain Rides Transportation Authority,Rural Reporter,Rural,DR,DO,Funds Expended on Operations,631
0R01-00311,0R01-003,Mountain Rides Transportation Authority,Rural Reporter,Rural,MB,DO,Funds Expended on Capital,0
0R01-00311,0R01-003,Mountain Rides Transportation Authority,Rural Reporter,Rural,MB,DO,Funds Expended on Operations,219047
0R01-00311,0R01-003,Mountain Rides Transportation Authority,Rural Reporter,Rural,VP,DO,Funds Expended on Capital,0
0R01-00311,0R01-003,Mountain Rides Transportation Authority,Rural Reporter,Rural,VP,DO,Funds Expended on Operations,136361
0R01-00341,0R01-021,Selkirks-Pend Oreille Transit Authority (SPOT),Rural Reporter,Rural,DR,DO,Funds Expended on Capital,0
0R01-00341,0R01-021,Selkirks-Pend Oreille Transit Authority (SPOT),Rural Reporter,Rural,DR,DO,Funds Expended on Operations,0
0R01-00341,0R01-021,Selkirks-Pend Oreille Transit Authority (SPOT),Rural Reporter,Rural,MB,DO,Funds Expended on Capital,0
0R01-00341,0R01-021,Selkirks-Pend Oreille Transit Authority (SPOT),Rural Reporter,Rural,MB,DO,Funds Expended on Operations,0
0R01-00342,0R01-013,Valley Vista Care Corporation,Rural Reporter,Rural,DR,DO,Funds Expended on Capital,0
0R01-00342,0R01-013,Valley Vista Care Corporation,Rural Reporter,Rural,DR,DO,Funds Expended on Operations,0
0R01-00347,0R01-007,SMART Transit,Rural Reporter,Rural,DR,DO,Funds Expended on Capital,0
0R01-00347,0R01-007,SMART Transit,Rural Reporter,Rural,DR,DO,Funds Expended on Operations,1669
0R01-00347,0R01-007,SMART Transit,Rural Reporter,Rural,MB,DO,Funds Expended on Capital,0
0R01-00347,0R01-007,SMART Transit,Rural Reporter,Rural,MB,DO,Funds Expended on Operations,0
0R01-00357,0R01-001,TransIV Buses - College of Southern Idaho,Rural Reporter,Rural,DR,DO,Funds Expended on Capital,0
0R01-00357,0R01-001,TransIV Buses - College of Southern Idaho,Rural Reporter,Rural,DR,DO,Funds Expended on Operations,17066
0R01-00373,0R01-012,Treasure Valley Transit,Rural Reporter,Rural,DR,DO,Funds Expended on Capital,0
0R01-00373,0R01-012,Treasure Valley Transit,Rural Reporter,Rural,DR,DO,Funds Expended on Operations,9260
0R01-00373,0R01-012,Treasure Valley Transit,Rural Reporter,Rural,MB,DO,Funds Expended on Capital,0
0R01-00373,0R01-012,Treasure Valley Transit,Rural Reporter,Rural,MB,DO,Funds Expended on Operations,45286
0R01-00402,,City of Driggs,Rural Reporter,Rural,MB,PT,Funds Expended on Capital,0
0R01-00402,,City of Driggs,Rural Reporter,Rural,MB,PT,Funds Expended on Operations,0
