NTD_ID,4 digit NTDID,Reporter Name,Reporter Type,Mode,TOS,Expense Type,2014
22,22,City of Pocatello - Pocatello Regional Transit,Small Systems Reporter,MB,DO,Funds Expended on Operations,89816.00
23,23,City of Seattle - Seattle Center Monorail Transit,Full Reporter: Operating,MG,PT,Funds Earned During Period,4110232.00
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter: Operating,CB,DO,Funds Earned During Period,3517670.00
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter: Operating,DR,DO,Funds Earned During Period,400362.00
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter: Operating,MB,DO,Funds Earned During Period,3948890.00
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter: Operating,VP,DO,Funds Earned During Period,221424.00
25,25,Salem Area Mass Transit District,Full Reporter: Operating,DR,PT,Funds Earned During Period,175101.00
25,25,Salem Area Mass Transit District,Full Reporter: Operating,MB,DO,Funds Earned During Period,2601415.00
25,25,Salem Area Mass Transit District,Full Reporter: Operating,VP,PT,Funds Earned During Period,200596.00
28,28,Pierce County Ferry Operations,Full Reporter: Operating,FB,PT,Funds Earned During Period,2154764.00
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter: Operating,CB,DO,Funds Earned During Period,3823194.00
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter: Operating,CB,PT,Funds Earned During Period,14098621.00
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter: Operating,DR,PT,Funds Earned During Period,321724.00
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter: Operating,MB,DO,Funds Earned During Period,7533895.00
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter: Operating,VP,DO,Funds Earned During Period,2788850.00
34,34,Rogue Valley Transportation District,Full Reporter: Operating,DR,PT,Funds Earned During Period,133061.00
34,34,Rogue Valley Transportation District,Full Reporter: Operating,MB,DO,Funds Earned During Period,1130203.00
35,35,Washington State Ferries,Full Reporter: Operating,FB,DO,Funds Earned During Period,38179089.00
40,40,Central Puget Sound Regional Transit Authority,Full Reporter: Operating,CB,DO,Funds Earned During Period,25034053.00
40,40,Central Puget Sound Regional Transit Authority,Full Reporter: Operating,CB,PT,Funds Earned During Period,8796421.00
40,40,Central Puget Sound Regional Transit Authority,Full Reporter: Operating,CR,PT,Funds Earned During Period,10457882.00
40,40,Central Puget Sound Regional Transit Authority,Full Reporter: Operating,LR,DO,Funds Earned During Period,15867923.00
40,40,Central Puget Sound Regional Transit Authority,Full Reporter: Operating,SR,DO,Funds Earned During Period,0.00
41,41,Alaska Railroad Corporation,Full Reporter: Operating,AR,DO,Funds Earned During Period,16453864.00
42,42,Targhee Regional Public Transit Authority,Small Systems Reporter,DR,DO,Funds Expended on Capital,0.00
42,42,Targhee Regional Public Transit Authority,Small Systems Reporter,DR,DO,Funds Expended on Operations,33163.00
42,42,Targhee Regional Public Transit Authority,Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
42,42,Targhee Regional Public Transit Authority,Small Systems Reporter,MB,DO,Funds Expended on Operations,15764.00
43,43,Link Transit,Full Reporter: Operating,DR,DO,Funds Earned During Period,36453.00
43,43,Link Transit,Full Reporter: Operating,DR,PT,Funds Earned During Period,1290.00
43,43,Link Transit,Full Reporter: Operating,MB,DO,Funds Earned During Period,651347.00
44,44,Skagit Transit,Full Reporter: Operating,CB,DO,Funds Earned During Period,129635.00
44,44,Skagit Transit,Full Reporter: Operating,DR,DO,Funds Earned During Period,5601.00
44,44,Skagit Transit,Full Reporter: Operating,MB,DO,Funds Earned During Period,359291.00
44,44,Skagit Transit,Full Reporter: Operating,VP,DO,Funds Earned During Period,498647.00
45,45,Fairbanks North Star Borough Transit,Small Systems Reporter,DR,DO,Funds Expended on Capital,0.00
45,45,Fairbanks North Star Borough Transit,Small Systems Reporter,DR,DO,Funds Expended on Operations,36923.00
45,45,Fairbanks North Star Borough Transit,Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
45,45,Fairbanks North Star Borough Transit,Small Systems Reporter,MB,DO,Funds Expended on Operations,273528.00
46,46,South Metro Area Regional Transit,Small Systems Reporter,DR,DO,Funds Expended on Capital,0.00
46,46,South Metro Area Regional Transit,Small Systems Reporter,DR,DO,Funds Expended on Operations,7545.00
46,46,South Metro Area Regional Transit,Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
46,46,South Metro Area Regional Transit,Small Systems Reporter,MB,DO,Funds Expended on Operations,243966.00
47,47,City of Corvallis,Full Reporter: Operating,DR,PT,Funds Earned During Period,0.00
47,47,City of Corvallis,Full Reporter: Operating,MB,PT,Funds Earned During Period,0.00
48,48,Lewiston Transit System,Small Systems Reporter,DR,DO,Funds Expended on Capital,0.00
48,48,Lewiston Transit System,Small Systems Reporter,DR,DO,Funds Expended on Operations,7441.00
48,48,Lewiston Transit System,Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
48,48,Lewiston Transit System,Small Systems Reporter,MB,DO,Funds Expended on Operations,31077.00
49,49,"vRide, Inc. - Anchorage",Full Reporter: Operating,VP,DO,Funds Earned During Period,807445.00
51,51,Asotin County PTBA,Small Systems Reporter,DR,DO,Funds Expended on Capital,0.00
51,51,Asotin County PTBA,Small Systems Reporter,DR,DO,Funds Expended on Operations,7969.00
51,51,Asotin County PTBA,Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
51,51,Asotin County PTBA,Small Systems Reporter,MB,DO,Funds Expended on Operations,36306.00
51,51,Asotin County PTBA,Small Systems Reporter,VP,DO,Funds Expended on Capital,0.00
51,51,Asotin County PTBA,Small Systems Reporter,VP,DO,Funds Expended on Operations,70680.00
53,53,Coeur d'Alene Tribe dba Citylink Transit,Small Systems Reporter,DR,DO,Funds Expended on Capital,0.00
53,53,Coeur d'Alene Tribe dba Citylink Transit,Small Systems Reporter,DR,DO,Funds Expended on Operations,0.00
53,53,Coeur d'Alene Tribe dba Citylink Transit,Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
53,53,Coeur d'Alene Tribe dba Citylink Transit,Small Systems Reporter,MB,DO,Funds Expended on Operations,0.00
54,54,King County Ferry District,Full Reporter: Operating,FB,DO,Funds Earned During Period,1764299.00
55,55,Kootenai County,Small Systems Reporter,DR,PT,Funds Expended on Capital,0.00
55,55,Kootenai County,Small Systems Reporter,DR,PT,Funds Expended on Operations,0.00
55,55,Kootenai County,Small Systems Reporter,MB,PT,Funds Expended on Capital,0.00
55,55,Kootenai County,Small Systems Reporter,MB,PT,Funds Expended on Operations,0.00
57,57,Central Oregon Intergovernmental Council,Full Reporter: Operating,CB,DO,Funds Earned During Period,230444.00
57,57,Central Oregon Intergovernmental Council,Full Reporter: Operating,DR,DO,Funds Earned During Period,66957.00
57,57,Central Oregon Intergovernmental Council,Full Reporter: Operating,DR,PT,Funds Earned During Period,70938.00
57,57,Central Oregon Intergovernmental Council,Full Reporter: Operating,MB,PT,Funds Earned During Period,216093.00
58,58,City of Portland,Full Reporter: Operating,SR,PT,Funds Earned During Period,531922.00
58,58,City of Portland,Full Reporter: Operating,TR,PT,Funds Earned During Period,495117.00
59,59,Josephine County,Small Systems Reporter,CB,DO,Funds Expended on Capital,0.00
59,59,Josephine County,Small Systems Reporter,CB,DO,Funds Expended on Operations,39018.00
59,59,Josephine County,Small Systems Reporter,DR,DO,Funds Expended on Capital,0.00
59,59,Josephine County,Small Systems Reporter,DR,DO,Funds Expended on Operations,34865.00
59,59,Josephine County,Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
59,59,Josephine County,Small Systems Reporter,MB,DO,Funds Expended on Operations,79075.00
60,60,The Tulalip Tribes of Washington,Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
60,60,The Tulalip Tribes of Washington,Small Systems Reporter,MB,DO,Funds Expended on Operations,0.00
61,61,City of Albany,Small Systems Reporter,DR,DO,Funds Expended on Capital,0.00
61,61,City of Albany,Small Systems Reporter,DR,DO,Funds Expended on Operations,26874.00
61,61,City of Albany,Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
61,61,City of Albany,Small Systems Reporter,MB,DO,Funds Expended on Operations,62658.00
63,63,City of Milton-Freewater,Small Systems Reporter,DT,PT,Funds Expended on Capital,0.00
63,63,City of Milton-Freewater,Small Systems Reporter,DT,PT,Funds Expended on Operations,7834.00
63,63,City of Milton-Freewater,Small Systems Reporter,MB,PT,Funds Expended on Capital,0.00
63,63,City of Milton-Freewater,Small Systems Reporter,MB,PT,Funds Expended on Operations,6707.00
64,64,Valley Transit,Small Systems Reporter,DR,DO,Funds Expended on Capital,0.00
64,64,Valley Transit,Small Systems Reporter,DR,DO,Funds Expended on Operations,22772.00
64,64,Valley Transit,Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
64,64,Valley Transit,Small Systems Reporter,MB,DO,Funds Expended on Operations,162003.00
64,64,Valley Transit,Small Systems Reporter,VP,DO,Funds Expended on Capital,0.00
64,64,Valley Transit,Small Systems Reporter,VP,DO,Funds Expended on Operations,39697.00
65,65,Benton County,Small Systems Reporter,CB,PT,Funds Expended on Capital,0.00
65,65,Benton County,Small Systems Reporter,CB,PT,Funds Expended on Operations,21623.00
65,65,Benton County,Small Systems Reporter,DR,PT,Funds Expended on Capital,0.00
65,65,Benton County,Small Systems Reporter,DR,PT,Funds Expended on Operations,48491.00
10001,1001,Rhode Island Public Transit Authority,Full Reporter: Operating,DR,DO,Funds Earned During Period,733937.00
10001,1001,Rhode Island Public Transit Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,52206.00
10001,1001,Rhode Island Public Transit Authority,Full Reporter: Operating,DT,PT,Funds Earned During Period,104022.00
10001,1001,Rhode Island Public Transit Authority,Full Reporter: Operating,MB,DO,Funds Earned During Period,21779974.00
10002,1002,Manchester Transit Authority,Small Systems Reporter,DR,DO,Funds Expended on Capital,0.00
10002,1002,Manchester Transit Authority,Small Systems Reporter,DR,DO,Funds Expended on Operations,52872.00
10002,1002,Manchester Transit Authority,Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
10002,1002,Manchester Transit Authority,Small Systems Reporter,MB,DO,Funds Expended on Operations,608152.00
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,CR,PT,Funds Earned During Period,190363685.00
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,6510248.00
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,FB,PT,Funds Earned During Period,8281636.00
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,HR,DO,Funds Earned During Period,197899125.00
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,LR,DO,Funds Earned During Period,82213588.00
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,MB,DO,Funds Earned During Period,83612924.00
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,MB,PT,Funds Earned During Period,440067.00
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,RB,DO,Funds Earned During Period,6052872.00
10003,1003,Massachusetts Bay Transportation Authority,Full Reporter: Operating,TB,DO,Funds Earned During Period,1478973.00
10004,1004,Brockton Area Transit Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,1147835.00
10004,1004,Brockton Area Transit Authority,Full Reporter: Operating,MB,PT,Funds Earned During Period,2673197.00
10005,1005,Lowell Regional Transit Authority,Full Reporter: Operating,DR,DO,Funds Earned During Period,54817.00
10005,1005,Lowell Regional Transit Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,64030.00
10005,1005,Lowell Regional Transit Authority,Full Reporter: Operating,MB,PT,Funds Earned During Period,1204984.00
10006,1006,Southeastern Regional Transit Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,120748.00
10006,1006,Southeastern Regional Transit Authority,Full Reporter: Operating,MB,PT,Funds Earned During Period,2133654.00
10007,1007,Berkshire Regional Transit Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,127281.00
10007,1007,Berkshire Regional Transit Authority,Full Reporter: Operating,MB,PT,Funds Earned During Period,769130.00
10008,1008,Pioneer Valley Transit Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,678258.00
10008,1008,Pioneer Valley Transit Authority,Full Reporter: Operating,MB,PT,Funds Earned During Period,6807031.00
10013,1013,Merrimack Valley Regional Transit Authority,Full Reporter: Operating,CB,PT,Funds Earned During Period,301605.00
10013,1013,Merrimack Valley Regional Transit Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,212402.00
10013,1013,Merrimack Valley Regional Transit Authority,Full Reporter: Operating,MB,PT,Funds Earned During Period,1167804.00
10014,1014,Worcester Regional Transit Authority,Full Reporter: Operating,DR,DO,Funds Earned During Period,73786.00
10014,1014,Worcester Regional Transit Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,131525.00
10014,1014,Worcester Regional Transit Authority,Full Reporter: Operating,DT,PT,Funds Earned During Period,103274.00
10014,1014,Worcester Regional Transit Authority,Full Reporter: Operating,MB,DO,Funds Earned During Period,3286353.00
10015,1015,Lewiston-Auburn Transit Committee,Small Systems Reporter,DR,PT,Funds Expended on Capital,0.00
10015,1015,Lewiston-Auburn Transit Committee,Small Systems Reporter,DR,PT,Funds Expended on Operations,31008.00
10015,1015,Lewiston-Auburn Transit Committee,Small Systems Reporter,MB,PT,Funds Expended on Capital,0.00
10015,1015,Lewiston-Auburn Transit Committee,Small Systems Reporter,MB,PT,Funds Expended on Operations,212921.00
10016,1016,Greater Portland Transit District,Full Reporter: Operating,MB,DO,Funds Earned During Period,1876643.00
10017,1017,Greater Hartford Transit District,Full Reporter: Operating,DR,PT,Funds Earned During Period,421872.00
10040,1040,Southeast Area Transit,Full Reporter: Operating,DR,PT,Funds Earned During Period,12928.00
10040,1040,Southeast Area Transit,Full Reporter: Operating,MB,DO,Funds Earned During Period,1250664.00
10042,1042,Valley Transit District,Full Reporter: Operating,DR,DO,Funds Earned During Period,65307.00
10045,1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter: Operating,CB,PT,Funds Earned During Period,581094.00
10045,1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,Full Reporter: Operating,MB,PT,Funds Earned During Period,162184.00
10048,1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Full Reporter: Operating,MB,DO,Funds Earned During Period,13716332.00
10049,1049,The Greater New Haven Transit District,Full Reporter: Operating,DR,DO,Funds Earned During Period,182157.00
10049,1049,The Greater New Haven Transit District,Full Reporter: Operating,MB,DO,Funds Earned During Period,3018.00
10050,1050,Greater Bridgeport Transit Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,302358.00
10050,1050,Greater Bridgeport Transit Authority,Full Reporter: Operating,MB,DO,Funds Earned During Period,6636705.00
10051,1051,Housatonic Area Regional Transit ,Full Reporter: Operating,DR,DO,Funds Earned During Period,73991.00
10051,1051,Housatonic Area Regional Transit ,Full Reporter: Operating,MB,DO,Funds Earned During Period,864967.00
10053,1053,Cape Ann Transportation Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,23382.00
10053,1053,Cape Ann Transportation Authority,Full Reporter: Operating,MB,PT,Funds Earned During Period,157424.00
10055,1055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Full Reporter: Operating,MB,DO,Funds Earned During Period,8510000.00
10056,1056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Full Reporter: Operating,MB,DO,Funds Earned During Period,4295849.00
10057,1057,Norwalk Transit District,Full Reporter: Operating,DR,DO,Funds Earned During Period,135498.00
10057,1057,Norwalk Transit District,Full Reporter: Operating,DR,PT,Funds Earned During Period,137819.00
10057,1057,Norwalk Transit District,Full Reporter: Operating,MB,DO,Funds Earned During Period,1860851.00
10057,1057,Norwalk Transit District,Full Reporter: Operating,MB,PT,Funds Earned During Period,58396.00
10061,1061,Montachusett Regional Transit Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,3424742.00
10061,1061,Montachusett Regional Transit Authority,Full Reporter: Operating,DT,PT,Funds Earned During Period,6785.00
10061,1061,Montachusett Regional Transit Authority,Full Reporter: Operating,MB,PT,Funds Earned During Period,604760.00
10063,1063,Middletown Transit District,Full Reporter: Operating,DR,DO,Funds Earned During Period,46658.00
10063,1063,Middletown Transit District,Full Reporter: Operating,MB,DO,Funds Earned During Period,335092.00
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter: Operating,CB,PT,Funds Earned During Period,593997.00
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,266311.00
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,Full Reporter: Operating,MB,PT,Funds Earned During Period,716051.00
10066,1066,Chittenden County Transportation Authority,Full Reporter: Operating,CB,DO,Funds Earned During Period,598777.00
10066,1066,Chittenden County Transportation Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,121545.00
10066,1066,Chittenden County Transportation Authority,Full Reporter: Operating,MB,DO,Funds Earned During Period,1743399.00
10069,1069,"Regional Transportation Program, Inc.",Small Systems Reporter,DR,DO,Funds Expended on Capital,0.00
10069,1069,"Regional Transportation Program, Inc.",Small Systems Reporter,DR,DO,Funds Expended on Operations,1133437.00
10086,1086,Cooperative Alliance for Seacoast Transportation,Small Systems Reporter,DR,DO,Funds Expended on Capital,0.00
10086,1086,Cooperative Alliance for Seacoast Transportation,Small Systems Reporter,DR,DO,Funds Expended on Operations,51496.00
10086,1086,Cooperative Alliance for Seacoast Transportation,Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
10086,1086,Cooperative Alliance for Seacoast Transportation,Small Systems Reporter,MB,DO,Funds Expended on Operations,696857.00
10087,1087,Nashua Transit System,Full Reporter: Operating,DR,PT,Funds Earned During Period,32542.00
10087,1087,Nashua Transit System,Full Reporter: Operating,MB,PT,Funds Earned During Period,367244.00
10088,1088,Casco Bay Island Transit District,Full Reporter: Operating,FB,DO,Funds Earned During Period,2338561.00
10096,1096,City of Bangor - BAT Community Connector,Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
10096,1096,City of Bangor - BAT Community Connector,Small Systems Reporter,MB,DO,Funds Expended on Operations,691025.00
10098,1098,"Western Maine Transportation Services, Inc.",Small Systems Reporter,DR,DO,Funds Expended on Capital,0.00
10098,1098,"Western Maine Transportation Services, Inc.",Small Systems Reporter,DR,DO,Funds Expended on Operations,45502.00
10098,1098,"Western Maine Transportation Services, Inc.",Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
10098,1098,"Western Maine Transportation Services, Inc.",Small Systems Reporter,MB,DO,Funds Expended on Operations,0.00
10099,1099,York County Community Action Corporation,Small Systems Reporter,DR,DO,Funds Expended on Capital,0.00
10099,1099,York County Community Action Corporation,Small Systems Reporter,DR,DO,Funds Expended on Operations,79982.00
10102,1102,Connecticut Department of Transportation,Full Reporter: Operating,CB,PT,Funds Earned During Period,760864.00
10102,1102,Connecticut Department of Transportation,Full Reporter: Operating,CR,PT,Funds Earned During Period,2542350.00
10105,1105,Cape Cod Regional Transit Authority,Full Reporter: Operating,CB,PT,Funds Earned During Period,388059.00
10105,1105,Cape Cod Regional Transit Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,4631835.00
10105,1105,Cape Cod Regional Transit Authority,Full Reporter: Operating,DT,PT,Funds Earned During Period,3360272.00
10105,1105,Cape Cod Regional Transit Authority,Full Reporter: Operating,MB,PT,Funds Earned During Period,980880.00
10107,1107,Milford Transit District,Full Reporter: Operating,DR,DO,Funds Earned During Period,307265.00
10107,1107,Milford Transit District,Full Reporter: Operating,MB,DO,Funds Earned During Period,284153.00
10108,1108,Greater Hartford Ridesharing Corporation - The Rideshare Company,Full Reporter: Operating,VP,DO,Funds Earned During Period,3421993.00
10112,1112,South Portland Bus Service,Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
10112,1112,South Portland Bus Service,Small Systems Reporter,MB,DO,Funds Expended on Operations,337371.00
10114,1114,Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus,Small Systems Reporter,MB,DO,Funds Expended on Capital,0.00
10114,1114,Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus,Small Systems Reporter,MB,DO,Funds Expended on Operations,394736.00
10115,1115,Northern New England Passenger Rail Authority,Full Reporter: Operating,CR,PT,Funds Earned During Period,8623681.00
10117,1117,Plymouth & Brockton Street Railway Company,Full Reporter: Operating,CB,DO,Funds Earned During Period,6810105.00
10118,1118,MetroWest Regional Transit Authority,Full Reporter: Operating,DR,PT,Funds Earned During Period,189102.00
10118,1118,MetroWest Regional Transit Authority,Full Reporter: Operating,MB,PT,Funds Earned During Period,405382.00
10119,1119,University Of New Hampshire - University Transportation Services,Full Reporter: Operating,MB,DO,Funds Earned During Period,1605311.00
10122,1122,"Jalbert Leasing, Inc. dba C&J",Small Systems Reporter,CB,DO,Funds Expended on Capital,1696754.00
10122,1122,"Jalbert Leasing, Inc. dba C&J",Small Systems Reporter,CB,DO,Funds Expended on Operations,10754274.00
10123,1123,Greater Derry Salem Cooperative Alliance for Regional Transportation,Small Systems Reporter,DR,PT,Funds Expended on Capital,0.00
