,record,lma_code,lma_fips,lma_title,two_digit,Area_Code
1031,1032,MT1943580000000,43580,"Sioux City, IA-NE-SD Metropolitan Statistical Area",MT,LAUMT1943580000000
1041,1042,MT1947940000000,47940,"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",MT,LAUMT1947940000000
1089,1090,MT2928140000000,28140,"Kansas City, MO-KS Metropolitan Statistical Area",MT,LAUMT2928140000000
1096,1097,MT2029940000000,29940,"Lawrence, KS Metropolitan Statistical Area",MT,LAUMT2029940000000
1100,1101,MT2031740000000,31740,"Manhattan, KS Metropolitan Statistical Area",MT,LAUMT2031740000000
1126,1127,MT2941140000000,41140,"St. Joseph, MO-KS Metropolitan Statistical Area",MT,LAUMT2941140000000
1137,1138,MT2045820000000,45820,"Topeka, KS Metropolitan Statistical Area",MT,LAUMT2045820000000
1146,1147,MT2048620000000,48620,"Wichita, KS Metropolitan Statistical Area",MT,LAUMT2048620000000
1155,1156,MT2114540000000,14540,"Bowling Green, KY Metropolitan Statistical Area",MT,LAUMT2114540000000
1175,1176,MT4717300000000,17300,"Clarksville, TN-KY Metropolitan Statistical Area",MT,LAUMT4717300000000
1183,1184,MT2121060000000,21060,"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",MT,LAUMT2121060000000
1202,1203,MT5426580000000,26580,"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",MT,LAUMT5426580000000
1211,1212,MT2130460000000,30460,"Lexington-Fayette, KY Metropolitan Statistical Area",MT,LAUMT2130460000000
1248,1249,MT2136980000000,36980,"Owensboro, KY Metropolitan Statistical Area",MT,LAUMT2136980000000
1273,1274,MT2210780000000,10780,"Alexandria, LA Metropolitan Statistical Area",MT,LAUMT2210780000000
1279,1280,MT2212940000000,12940,"Baton Rouge, LA Metropolitan Statistical Area",MT,LAUMT2212940000000
1298,1299,MT2225220000000,25220,"Hammond, LA Metropolitan Statistical Area",MT,LAUMT2225220000000
1299,1300,MT2226380000000,26380,"Houma-Thibodaux, LA Metropolitan Statistical Area",MT,LAUMT2226380000000
1303,1304,MT2229180000000,29180,"Lafayette, LA Metropolitan Statistical Area",MT,LAUMT2229180000000
1308,1309,MT2229340000000,29340,"Lake Charles, LA Metropolitan Statistical Area",MT,LAUMT2229340000000
1312,1313,MT2233740000000,33740,"Monroe, LA Metropolitan Statistical Area",MT,LAUMT2233740000000
1317,1318,MT2235380000000,35380,"New Orleans-Metairie, LA Metropolitan Statistical Area",MT,LAUMT2235380000000
1330,1331,MT2243340000000,43340,"Shreveport-Bossier City, LA Metropolitan Statistical Area",MT,LAUMT2243340000000
1364,1365,MT2370750000000,70750,"Bangor, ME Metropolitan NECTA",MT,LAUMT2370750000000
1486,1487,MT3373050000000,73050,"Dover-Durham, NH-ME Metropolitan NECTA",MT,LAUMT3373050000000
1612,1613,MT2374650000000,74650,"Lewiston-Auburn, ME Metropolitan NECTA",MT,LAUMT2374650000000
1690,1691,MT2376750000000,76750,"Portland-South Portland, ME Metropolitan NECTA",MT,LAUMT2376750000000
1729,1730,MT3376900000000,76900,"Portsmouth, NH-ME Metropolitan NECTA",MT,LAUMT3376900000000
1865,1866,MT2412580000000,12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",MT,LAUMT2412580000000
1872,1873,MT2415680000000,15680,"California-Lexington Park, MD Metropolitan Statistical Area",MT,LAUMT2415680000000
1875,1876,MT2419060000000,19060,"Cumberland, MD-WV Metropolitan Statistical Area",MT,LAUMT2419060000000
1878,1879,MT2425180000000,25180,"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",MT,LAUMT2425180000000
1892,1893,MT2570900000000,70900,"Barnstable Town, MA Metropolitan NECTA",MT,LAUMT2570900000000
1907,1908,MT2571650000000,71650,"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",MT,LAUMT2571650000000
2092,2093,MT2574500000000,74500,"Leominster-Gardner, MA Metropolitan NECTA",MT,LAUMT2574500000000
2103,2104,MT2575550000000,75550,"New Bedford, MA Metropolitan NECTA",MT,LAUMT2575550000000
2112,2113,MT2576600000000,76600,"Pittsfield, MA Metropolitan NECTA",MT,LAUMT2576600000000
2128,2129,MT4477200000000,77200,"Providence-Warwick, RI-MA Metropolitan NECTA",MT,LAUMT4477200000000
2238,2239,MT2611460000000,11460,"Ann Arbor, MI Metropolitan Statistical Area",MT,LAUMT2611460000000
2242,2243,MT2612980000000,12980,"Battle Creek, MI Metropolitan Statistical Area",MT,LAUMT2612980000000
2243,2244,MT2613020000000,13020,"Bay City, MI Metropolitan Statistical Area",MT,LAUMT2613020000000
2252,2253,MT2619820000000,19820,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",MT,LAUMT2619820000000
2260,2261,MT2622420000000,22420,"Flint, MI Metropolitan Statistical Area",MT,LAUMT2622420000000
2263,2264,MT2624340000000,24340,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",MT,LAUMT2624340000000
2276,2277,MT2627100000000,27100,"Jackson, MI Metropolitan Statistical Area",MT,LAUMT2627100000000
2277,2278,MT2628020000000,28020,"Kalamazoo-Portage, MI Metropolitan Statistical Area",MT,LAUMT2628020000000
2280,2281,MT2629620000000,29620,"Lansing-East Lansing, MI Metropolitan Statistical Area",MT,LAUMT2629620000000
2289,2290,MT2633220000000,33220,"Midland, MI Metropolitan Statistical Area",MT,LAUMT2633220000000
2290,2291,MT2633780000000,33780,"Monroe, MI Metropolitan Statistical Area",MT,LAUMT2633780000000
2293,2294,MT2634740000000,34740,"Muskegon, MI Metropolitan Statistical Area",MT,LAUMT2634740000000
2295,2296,MT2635660000000,35660,"Niles-Benton Harbor, MI Metropolitan Statistical Area",MT,LAUMT2635660000000
2305,2306,MT2640980000000,40980,"Saginaw, MI Metropolitan Statistical Area",MT,LAUMT2640980000000
2329,2330,MT2720260000000,20260,"Duluth, MN-WI Metropolitan Statistical Area",MT,LAUMT2720260000000
2332,2333,MT3822020000000,22020,"Fargo, ND-MN Metropolitan Statistical Area",MT,LAUMT3822020000000
2336,2337,MT3824220000000,24220,"Grand Forks, ND-MN Metropolitan Statistical Area",MT,LAUMT3824220000000
2345,2346,MT5529100000000,29100,"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",MT,LAUMT5529100000000
2351,2352,MT2731860000000,31860,"Mankato-North Mankato, MN Metropolitan Statistical Area",MT,LAUMT2731860000000
2356,2357,MT2733460000000,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",MT,LAUMT2733460000000
2383,2384,MT2740340000000,40340,"Rochester, MN Metropolitan Statistical Area",MT,LAUMT2740340000000
2389,2390,MT2741060000000,41060,"St. Cloud, MN Metropolitan Statistical Area",MT,LAUMT2741060000000
2420,2421,MT2825060000000,25060,"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area",MT,LAUMT2825060000000
2423,2424,MT2825620000000,25620,"Hattiesburg, MS Metropolitan Statistical Area",MT,LAUMT2825620000000
2430,2431,MT2827140000000,27140,"Jackson, MS Metropolitan Statistical Area",MT,LAUMT2827140000000
2498,2499,MT2917860000000,17860,"Columbia, MO Metropolitan Statistical Area",MT,LAUMT2917860000000
2520,2521,MT2927620000000,27620,"Jefferson City, MO Metropolitan Statistical Area",MT,LAUMT2927620000000
2524,2525,MT2927900000000,27900,"Joplin, MO Metropolitan Statistical Area",MT,LAUMT2927900000000
2584,2585,MT2944180000000,44180,"Springfield, MO Metropolitan Statistical Area",MT,LAUMT2944180000000
2602,2603,MT3013740000000,13740,"Billings, MT Metropolitan Statistical Area",MT,LAUMT3013740000000
2620,2621,MT3024500000000,24500,"Great Falls, MT Metropolitan Statistical Area",MT,LAUMT3024500000000
2633,2634,MT3033540000000,33540,"Missoula, MT Metropolitan Statistical Area",MT,LAUMT3033540000000
2685,2686,MT3124260000000,24260,"Grand Island, NE Metropolitan Statistical Area",MT,LAUMT3124260000000
2706,2707,MT3130700000000,30700,"Lincoln, NE Metropolitan Statistical Area",MT,LAUMT3130700000000
2749,2750,MT3216180000000,16180,"Carson City, NV Metropolitan Statistical Area",MT,LAUMT3216180000000
2757,2758,MT3229820000000,29820,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",MT,LAUMT3229820000000
2762,2763,MT3239900000000,39900,"Reno, NV Metropolitan Statistical Area",MT,LAUMT3239900000000
2947,2948,MT3374950000000,74950,"Manchester, NH Metropolitan NECTA",MT,LAUMT3374950000000
3025,3026,MT4210900000000,10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",MT,LAUMT4210900000000
3026,3027,MT3412100000000,12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",MT,LAUMT3412100000000
3027,3028,MT3635620000000,35620,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",MT,LAUMT3635620000000
3039,3040,MT3436140000000,36140,"Ocean City, NJ Metropolitan Statistical Area",MT,LAUMT3436140000000
3044,3045,MT3445940000000,45940,"Trenton, NJ Metropolitan Statistical Area",MT,LAUMT3445940000000
3045,3046,MT3447220000000,47220,"Vineland-Bridgeton, NJ Metropolitan Statistical Area",MT,LAUMT3447220000000
3047,3048,MT3510740000000,10740,"Albuquerque, NM Metropolitan Statistical Area",MT,LAUMT3510740000000
3058,3059,MT3522140000000,22140,"Farmington, NM Metropolitan Statistical Area",MT,LAUMT3522140000000
3065,3066,MT3529740000000,29740,"Las Cruces, NM Metropolitan Statistical Area",MT,LAUMT3529740000000
3073,3074,MT3542140000000,42140,"Santa Fe, NM Metropolitan Statistical Area",MT,LAUMT3542140000000
3079,3080,MT3610580000000,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",MT,LAUMT3610580000000
3088,3089,MT3613780000000,13780,"Binghamton, NY Metropolitan Statistical Area",MT,LAUMT3613780000000
3090,3091,MT3615380000000,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",MT,LAUMT3615380000000
3096,3097,MT3621300000000,21300,"Elmira, NY Metropolitan Statistical Area",MT,LAUMT3621300000000
3098,3099,MT3624020000000,24020,"Glens Falls, NY Metropolitan Statistical Area",MT,LAUMT3624020000000
3104,3105,MT3627060000000,27060,"Ithaca, NY Metropolitan Statistical Area",MT,LAUMT3627060000000
3106,3107,MT3628740000000,28740,"Kingston, NY Metropolitan Statistical Area",MT,LAUMT3628740000000
3125,3126,MT3640380000000,40380,"Rochester, NY Metropolitan Statistical Area",MT,LAUMT3640380000000
3134,3135,MT3645060000000,45060,"Syracuse, NY Metropolitan Statistical Area",MT,LAUMT3645060000000
3137,3138,MT3646540000000,46540,"Utica-Rome, NY Metropolitan Statistical Area",MT,LAUMT3646540000000
3139,3140,MT3648060000000,48060,"Watertown-Fort Drum, NY Metropolitan Statistical Area",MT,LAUMT3648060000000
3145,3146,MT3711700000000,11700,"Asheville, NC Metropolitan Statistical Area",MT,LAUMT3711700000000
3154,3155,MT3715500000000,15500,"Burlington, NC Metropolitan Statistical Area",MT,LAUMT3715500000000
