X,metro,population,zerovehiclehh,densepop,percentdense,state,totalopex,totalvoms,totalvrm,totalvrh,rail,11-cluster,5-cluster,8-group
34,Brownsville-Harlingen,418785,0.076947811,37572,0.08971668,TX,6073723,22.75,1390957,80021,0,7,3,D
35,Buffalo-Cheektowaga-Niagara Falls,1135503,0.127919483,435357,0.383404535,NY,104380878,259.75,8503836,778394,1,6,4,B
36,Burlington-South Burlington,216080,0.06908384,27972,0.129452055,VT,11881495,54,1641851,112075,0,7,3,D
37,Canton-Massillon,402870,0.073352184,51351,0.127462953,OH,12596122.01,32.47906667,2242431.184,140735.2016,0,7,3,D
38,Cape Coral-Fort Myers,680970,0.050832287,38396,0.056384275,FL,17450872.68,46.10323333,3164187.201,203623.3539,0,4,3,E
39,Carbondale-Marion,126524,0.088795807,3047,0.024082388,IL,11490720,125.5,3811349,209743,0,7,3,D
40,Cedar Rapids,264277,0.052986232,64668,0.244697798,IA,7122366,22,959519,69003,0,2,2,G
41,Champaign-Urbana,236647,0.105717612,64783,0.273753734,IL,31881678,93.25,3122202,269970,0,1,1,H
42,Charleston,222314,0.101291394,18684,0.08404329,WV,11455841.76,38.33843333,2297019.011,137562.5625,0,1,1,H
43,Charleston-North Charleston,728271,0.06308854,36137,0.049620265,SC,14860944,62.08333333,2617655,196917,0,4,3,E
44,Charlotte-Concord-Gastonia,2381152,0.055578633,156694,0.065805963,SC,93368234.62,263.1140333,11727505.03,858364.2928,1,9,4,B
45,Chattanooga,544522,0.066077573,0,0,GA,15016635,60,2327693,182748,0,4,3,E
46,Chicago-Naperville-Elgin,9528396,0.121412422,4503540,0.472644084,WI,1010884412,2229.25,76699028,7492661,1,8,5,A
47,Chico,223877,0.06991404,38944,0.173952662,CA,7809517,25.83333333,1021022,70050,0,7,3,D
48,Cincinnati,2146410,0.081939815,394592,0.18383813,IN,109520919,402.0833333,13616691,1018788,0,1,1,H
49,Cleveland-Elyria,2061630,0.109390979,739666,0.358777278,OH,172938316.6,369.3404,13952740.17,1210849.512,1,6,4,B
50,College Station-Bryan,243850,0.061424312,64927,0.266257945,TX,4279622,27,797886,46602,0,2,2,G
51,Colorado Springs,688643,0.044070244,205353,0.298199502,CO,13094233.45,37.412925,1979423.038,150383.9601,0,2,2,G
52,Columbia,172773,0.059513806,14942,0.08648342,MO,5646074,25.91666667,811923,78616,0,4,3,E
53,Columbia,800559,0.060193059,39386,0.049198123,SC,12829670,37.58333333,2353967,175512,0,4,3,E
54,Columbus,1995004,0.068305679,504030,0.25264611,OH,116024283,306.5,12553932,1031522,0,10,2,C
55,Corpus Christi,447102,0.077329389,137781,0.30816458,TX,24326339,66.41666667,3546503,269711,0,1,1,H
56,Corvallis,87455,0.074459685,21391,0.244594363,OR,2828662,11,431691,29353,0,2,2,G
57,Crestview-Fort Walton Beach-Destin,257326,0.050284167,11342,0.044076386,FL,870728.7104,7.031466667,263573.8688,19284.896,0,4,3,E
58,Dallas-Fort Worth-Arlington,6957123,0.049730271,1939594,0.278792541,TX,294070507,690.5,33815278,2677852,1,5,4,B
59,Davenport-Moline-Rock Island,383304,0.068117614,108165,0.282191159,IL,16010676,47,2243799,152754,0,2,2,G
60,Dayton,800950,0.085514324,144681,0.180636744,OH,49411651.91,113.5364833,6328999.782,424634.2135,0,1,1,H
61,Decatur,108404,0.09830584,9950,0.091786281,IL,5453901,18.83333333,970431,68807,0,1,1,H
62,Deltona-Daytona Beach-Ormond Beach,613723,0.059792163,19275,0.031406677,FL,13726496,50.58333333,2616963,170184,0,4,3,E
63,Denver-Aurora-Lakewood,2752056,0.059492644,1346998,0.489451523,CO,324036989.1,872.4762,36737593.21,2821046.356,1,9,4,B
64,Des Moines-West Des Moines,611755,0.053362355,183566,0.300064568,IA,22869955,93.41666667,2923015,216453,0,2,2,G
65,Detroit-Warren-Dearborn,4296731,0.092159411,1599706,0.372307692,MI,195549684.8,462.0071583,20639799.29,1466942.935,0,10,2,C
66,Duluth,279540,0.086195096,24506,0.08766545,MN,13966577,49.41666667,1815453,143317,0,7,3,D
67,Durham-Chapel Hill,542399,0.073133908,45342,0.083595287,NC,52974493,193.25,7260056,492735,0,7,3,D
68,East Stroudsburg,167126,0.054510127,0,0,PA,2920014.859,9.4563,518751.7146,30445.3044,0,4,3,E
69,Eau Claire,165262,0.058657461,1985,0.012011231,WI,4075723,15.25,706974,48255,0,4,3,E
70,El Centro,178807,0.080152838,39883,0.223050552,CA,9481129,26,1256311,69565,0,2,2,G
73,El Paso,837073,0.074612643,318429,0.380407682,TX,50694471.69,121.42725,7384785.038,579006.4854,0,2,2,G
71,Elizabethtown-Fort Knox,150451,0.057695709,0,0,KY,283334.3643,4.646741667,35904.349,4750.0726,0,4,3,E
72,Elkhart-Goshen,201640,0.089788484,6565,0.032558024,IN,1810331.603,7.9496,581628.5092,33085.2415,0,7,3,D
74,Erie,279133,0.108153789,70699,0.253280694,PA,14544396,61.25,2094204,162629,0,1,1,H
75,Eugene,360273,0.086698661,86687,0.240614756,OR,36582599,81,3512838,274833,0,1,1,H
76,Evansville,315008,0.071324703,36437,0.115670078,KY,5989623,23.25,1228286,90687,0,7,3,D
77,Fargo,228254,0.066535286,58242,0.255163108,MN,7534680,29.83333333,1357096,109197,0,2,2,G
78,Fayetteville,377694,0.064018901,6908,0.018289938,NC,5891197.197,23.38810833,1197400.412,92376.3456,0,4,3,E
79,Fayetteville-Springdale-Rogers,503642,0.045003064,7967,0.015818776,MO,2735763,15.16666667,883533,50606,0,4,3,E
80,Flagstaff,138064,0.055989528,0,0,AZ,5794891,25.5,1004899,83656,0,4,3,E
81,Flint,413090,0.09058372,64755,0.156757607,MI,17824192.04,96.7358,3412669.243,190689.9522,0,1,1,H
82,Fort Collins,325228,0.041175128,71583,0.220100975,CO,14078240.45,43.80220833,1703187.643,130103.4895,0,3,3,F
83,Fort Wayne,426755,0.063506159,56184,0.131653994,IN,10525057,30,1437682,103084,0,7,3,D
84,Fresno,963160,0.091492573,349646,0.363019644,CA,36115161,81.08333333,3876277,330519,0,1,1,H
85,Gainesville,273614,0.081586899,36926,0.134956545,FL,22507344,97.66666667,3626708,304138,0,7,3,D
86,Grand Rapids-Wyoming,1028173,0.064848799,147729,0.143681073,MI,34618041,128.75,5482996,439103,0,3,3,F
87,Great Falls,82049,0.067373601,9730,0.118587673,MT,2461770,13,417769,33421,0,7,3,D
88,Green Bay,314555,0.054564717,44334,0.140941966,WI,5827880,24,1136885,79406,0,3,3,F
89,Greensboro-High Point,746301,0.067096025,25680,0.034409709,NC,19551438,65.66666667,3080438,201721,0,4,3,E
90,Greenville-Anderson-Mauldin,862064,0.063739657,9284,0.010769502,SC,7702811.713,30.8288,1387833.577,97879.5132,0,4,3,E
91,Gulfport-Biloxi-Pascagoula,385448,0.051725912,0,0,MS,4285321,16.91666667,891853,69159,0,4,3,E
92,Hanford-Corcoran,150261,0.071430278,13244,0.08813997,CA,3105206,15.5,731811,47189,0,7,3,D
93,Harrisburg-Carlisle,561447,0.082112246,63824,0.113677694,PA,13618646.96,56.271575,1541845.253,115118.0319,0,7,3,D
94,Harrisonburg,130406,0.073706164,9004,0.069045903,VA,3862840,28.58333333,619720,61372,0,7,3,D
95,Hartford-West Hartford-East Hartford,1211826,0.093745395,248228,0.204837988,CT,108203831.2,306.7391,12313977.99,919897.1736,0,1,1,H
96,Hickory-Lenoir-Morganton,363377,0.051104092,0,0,NC,1428700,6,274285,15171,0,4,3,E
97,Holland,113666,0.040002851,0,0,MI,1944687,8,411103,32925,0,4,3,E
98,Houston-The Woodlands-Sugar Land,6482592,0.055852316,1998843,0.30834009,TX,393664460,1044.75,45486161,3287380,1,5,4,B
99,Huntington-Ashland,362559,0.090008667,17458,0.048152163,OH,4602354.236,23.9949,890320.9888,53877.4375,0,7,3,D
100,Huntsville,440230,0.049086745,15016,0.034109443,AL,2034051,13,567008,37839,0,4,3,E
101,Indianapolis-Carmel-Anderson,1968768,0.067079311,297868,0.151296648,IN,57881779,133.3333333,6997279,518142,0,3,3,F
102,Iowa City,164121,0.06676876,73698,0.44904674,IA,9340934,53.58333333,1631555,143010,0,2,2,G
103,Ithaca,104268,0.146724503,13963,0.133914528,NY,12524943,40,1583498,122624,0,1,1,H
104,Jackson,159483,0.079255958,11007,0.06901676,MI,2567329,9.583333333,340384,25971,0,7,3,D
106,Jackson,130041,0.076465992,0,0,TN,2274671,9,554062,39484,0,7,3,D
105,Jackson,578095,0.062390629,14089,0.024371427,MS,4343985,14,714949,46542,0,4,3,E
107,Jacksonville,1424097,0.066305238,104733,0.073543445,FL,72077009,155.5,8968172,637676,0,4,3,E
108,Johnstown,137762,0.103086657,18783,0.136343839,PA,7101006.264,28.512,941633.748,70593.039,0,1,1,H
109,Kahului-Wailuku-Lahaina,162547,0.051836614,27015,0.166198084,HI,8865773,20,1527754,92719,0,3,3,F
110,Kalamazoo-Portage,333821,0.074171351,31037,0.092974978,MI,6794973,26.91666667,1581472,117659,0,7,3,D
111,Kankakee,111493,0.073740119,6106,0.05476577,IL,6139172,14.66666667,1284074,72911,0,7,3,D
112,Kansas City,2070147,0.063356035,313656,0.151513878,KS,84835857,224.625,9509510,660530,0,3,3,F
113,Kennewick-Richland,275329,0.048260753,11813,0.042905034,WA,13472098.44,45.1269,2143309.554,131866.7526,0,4,3,E
114,Killeen-Temple,426926,0.053988466,65431,0.153260752,TX,3310472,14,708855,46968,0,3,3,F
115,Knoxville,857111,0.059355514,32918,0.038405761,TN,17168907.42,54.594,2485157.112,196574.364,0,4,3,E
116,Kokomo,82728,0.077039319,3551,0.042923798,IN,434521.1069,4.893558333,144934.5907,12035.1676,0,7,3,D
117,La Crosse-Onalaska,136329,0.053947224,17704,0.129862318,WI,5115449.165,15.4752,829649.4336,58453.3248,0,3,3,F
118,Lafayette,484043,0.073870012,26806,0.055379377,LA,4167170.746,12.9779,723312.2752,52183.1376,0,7,3,D
119,Lafayette-West Lafayette,212113,0.068750788,33891,0.159778043,IN,10896233,48.5,1742268,136635,0,7,3,D
120,Lakeland-Winter Haven,637691,0.064561105,10541,0.016529949,FL,9788874.575,29.78261667,1342217.345,88315.6078,0,4,3,E
121,Lancaster,533110,0.094621529,71156,0.133473392,PA,8894307.664,108.2190667,2317005.413,171896.6128,0,1,1,H
122,Lansing-East Lansing,470348,0.069933948,79341,0.168685739,MI,29102196.6,76.189,3356847.372,253558.9904,0,7,3,D
123,Laredo,266006,0.072582006,102691,0.386047683,TX,12087791,35.25,1703697,147668,0,2,2,G
124,Las Vegas-Henderson-Paradise,2070153,0.084859445,1428688,0.69013643,NV,146609023,293.1666667,17457521,1505656,0,10,2,C
125,Lawrence,116352,0.063014566,25539,0.219497731,KS,4983798,37.16666667,1138201,106039,0,2,2,G
126,Lebanon,136950,0.072654889,29525,0.215589631,PA,2633284.231,11.9364,494060.5271,30941.1382,0,2,2,G
127,Lewiston-Auburn,107376,0.099626791,16206,0.150927582,ME,810804.2826,6.823766667,145488.0312,14564.581,0,1,1,H
128,Lexington-Fayette,495193,0.071817509,143512,0.289810236,KY,17654606,48.25,1722759,183940,0,2,2,G
129,Lincoln,318820,0.062690085,106228,0.333191142,NE,9866087,56,1630895,122484,0,2,2,G
130,Little Rock-North Little Rock-Conway,727371,0.060557465,35535,0.048854024,AR,14554314,52,2498927,186735,0,4,3,E
131,Logan,131837,0.039584315,19819,0.150329574,ID,8643834,16.83333333,809608,52934,0,3,3,F
132,Longview,102854,0.075319503,14904,0.144904428,WA,2894849.44,8.6688,352111.2448,27077.4784,0,7,3,D
133,Los Angeles-Long Beach-Anaheim,13189366,0.08320863,10205314,0.773753189,CA,1750256752,3573.508392,137441616.8,12296891.54,1,11,5,A
134,Louisville/Jefferson County,1269550,0.079141307,250163,0.197048561,IN,63609601,173.0833333,6935673,564587,0,1,1,H
135,Lubbock,306392,0.056200404,86316,0.281717538,TX,8441046,57.5,1823708,141122,0,2,2,G
136,Lynchburg,258062,0.073278154,3469,0.013442506,VA,6656044,26.25,1007080,86039,0,7,3,D
137,Madison,634269,0.071834699,139248,0.21954092,WI,46920051,182,5050916,403825,0,2,2,G
138,Manchester-Nashua,404948,0.059059405,74743,0.184574316,NH,1286613.789,5.9398,313541.7768,22704.7108,0,3,3,F
139,McAllen-Edinburg-Mission,828334,0.066819942,32157,0.038821297,TX,5695928,41.83333333,1977303,81285,0,4,3,E
140,Medford,210916,0.066774643,33742,0.15997838,OR,6328621,18.33333333,647471,36793,0,7,3,D
141,Memphis,1341339,0.079811041,208627,0.155536371,TN,43638726,102.3333333,5257958,323938,0,1,1,H
142,Merced,265001,0.076197777,33119,0.124976887,CA,6753375.315,40.15906667,1922806.148,131864.5471,0,7,3,D
143,Miami-Fort Lauderdale-West Palm Beach,5926955,0.087312805,3587523,0.605289394,FL,528989633.5,1158.706225,52779823.37,4227893.468,1,8,5,A
144,Milwaukee-Waukesha-West Allis,1571730,0.102644197,644265,0.40990819,WI,142540585.9,373.917,18090668.98,1404211.873,0,10,2,C
145,Minneapolis-St. Paul-Bloomington,3488436,0.073222449,801469,0.229750238,MN,357454955,1047.583333,33527550,2567231,1,9,4,B
146,Missoula,113101,0.054333984,31650,0.279838375,MT,5326016,26.66666667,828337,63769,0,2,2,G
147,Mobile,414291,0.067917361,32361,0.078111762,AL,7143094,21.25,1220714,89944,0,4,3,E
148,Modesto,530561,0.06934268,207042,0.390232226,CA,14317479.69,49.0076,2092627.852,163642.4529,0,2,2,G
149,Montgomery,373963,0.072589089,11926,0.031890856,AL,5433553,19,1063350,66524,0,7,3,D
150,Mount Vernon-Anacortes,120475,0.048169515,2498,0.020734592,WA,6810544,20,1191778,67817,0,4,3,E
151,Muncie,116463,0.076717855,13749,0.118054661,IN,5080985.04,23.79691667,792536.7797,55546.927,0,7,3,D
152,Napa,140823,0.050227848,56694,0.402590486,CA,8354825.881,34.71385,1723724.039,96598.4408,0,2,2,G
153,Naples-Immokalee-Marco Island,348236,0.054150948,71047,0.204019688,FL,4803694.656,14.2171,1105713.209,60446.0914,0,3,3,F
154,Nashville-Davidson--Murfreesboro--Franklin,1794570,0.050721502,182016,0.101425968,TN,52613529,164.4166667,6395234,499939,0,3,3,F
155,New Haven-Milford,860874,0.115612567,249545,0.289874012,CT,57910009.26,144.1707,5197273.058,460475.342,0,1,1,H
156,New Orleans-Metairie,1250247,0.103418989,573489,0.458700561,LA,105254377.9,142.72145,7873998.885,720290.913,0,10,2,C
157,Niles-Benton Harbor,155134,0.086798754,5093,0.032829683,MI,878663.8536,3.549,130153.1868,9574.0866,0,7,3,D
158,North Port-Sarasota-Bradenton,751422,0.052955072,143005,0.190312501,FL,25610490.36,71.11125,4391500.995,297915.03,0,3,3,F
159,Norwich-New London,272033,0.066120373,17923,0.065885389,CT,5490420.974,16.03038333,892060.2699,57977.2522,0,4,3,E
160,Ocala,340341,0.05384912,0,0,FL,2331695,6,492127,31399,0,4,3,E
161,Oklahoma City,1337075,0.053197505,281409,0.210466129,OK,21729641,52.5,2937575,191815,0,3,3,F
162,Olympia-Tumwater,266311,0.052228708,11312,0.042476653,WA,24591050,59,2884703,205898,0,4,3,E
163,Omaha-Council Bluffs,904834,0.062730245,250644,0.277005506,NE,24449049,84.5,4064777,289451,0,2,2,G
164,Orlando-Kissimmee-Sanford,2328508,0.057354721,424530,0.182318463,FL,102400741.9,280.2115333,16322792.63,1200662.899,0,3,3,F
165,Oshkosh-Neenah,169487,0.057843832,23128,0.136458843,WI,4697140.473,18.9962,859575.2536,57150.3772,0,3,3,F
166,Oxnard-Thousand Oaks-Ventura,843110,0.04450913,345714,0.410046139,CA,26021613,80.25,3975838,272805,0,2,2,G
167,Palm Bay-Melbourne-Titusville,560683,0.057186025,31698,0.056534619,FL,6592933,29.5,1768108,95197,0,4,3,E
168,Panama City,194212,0.061183277,3459,0.017810434,FL,3047775.32,10.62933333,511351.982,39209.2855,0,4,3,E
169,Pensacola-Ferry Pass-Brent,473477,0.05225748,6420,0.013559265,FL,10463701.96,39.91933333,1614657.246,114968.6101,0,4,3,E
170,Peoria,379241,0.072878867,53008,0.139773917,IL,17734327,45,2034607,111757,0,7,3,D
171,Philadelphia-Camden-Wilmington,6047721,0.132284063,2524544,0.417437246,PA,766333477.6,1490.046875,51074421.53,4923495.855,1,8,5,A
172,Phoenix-Mesa-Scottsdale,4486153,0.064221074,2019887,0.450249245,AZ,268816220,746.1666667,29955931,2479355,1,9,4,B
173,Pittsburgh,2354926,0.107725601,624914,0.265364602,PA,320401556,696.1666667,24357009,1785444,1,6,4,B
174,Pittsfield,128563,0.097841543,11117,0.086471224,MA,5221756,16.33333333,946041,53998,0,1,1,H
177,Port St. Lucie,446728,0.055036792,10900,0.024399635,FL,3156313,16,774578,47022,0,4,3,E
175,Portland-South Portland,523874,0.069069569,43108,0.082286962,ME,7762991,26,929732,78830,0,4,3,E
176,Portland-Vancouver-Hillsboro,2351319,0.082858717,1014243,0.431350659,WA,303583447.6,662.76705,25395763.17,2210536.924,1,9,4,B
178,Providence-Warwick,1609359,0.103329252,564584,0.350812963,RI,107005560.7,277.8302833,11575411,872516.6782,0,10,2,C
179,Pueblo,162158,0.085136489,47207,0.291117305,CO,3690736,13,549121,37016,0,1,1,H
180,Racine,194873,0.072930364,33232,0.170531577,WI,7313884.002,31.8336,1167298.32,85804.4844,0,7,3,D
181,Raleigh,1243720,0.044093328,95003,0.076386164,NC,25181769.82,92.66443333,3704842.431,304743.972,0,3,3,F
182,Reading,414097,0.086834458,103012,0.248762971,PA,10467726.62,45.0639,821971.9266,66030.3141,0,1,1,H
183,Redding,179228,0.065798345,0,0,CA,3836924,13,709708,43228,0,4,3,E
184,Reno,443855,0.078053722,150157,0.338301923,NV,24180353,57,2877818,253056,0,1,1,H
185,Richmond,1258158,0.070896966,140688,0.111820614,VA,37568271,116.75,4315353,405193,0,4,3,E
186,Riverside-San Bernardino-Ontario,4430646,0.051677515,1213554,0.273900014,CA,148271605,417.4166667,24449503,1654144,0,10,2,C
187,Roanoke,312891,0.075225065,12596,0.040256831,VA,7267390.425,35.7984,1722153.629,112931.0248,0,7,3,D
188,Rochester,212669,0.061394195,14727,0.069248457,MN,6579810,37,1089179,69446,0,4,3,E
189,Rochester,1082226,0.104758126,230385,0.212880674,NY,72524380,194.0833333,5140633,460813,0,1,1,H
190,Rockford,342552,0.077352604,47761,0.139427007,IL,12078835,24.5,1226015,97875,0,7,3,D
191,Rome,96199,0.080224412,0,0,GA,2359818,31,499985,33319,0,7,3,D
192,Sacramento--Roseville--Arden-Arcade,2242542,0.066783396,1048840,0.467701385,CA,120238153.8,345.3718667,12861265.76,947733.0324,1,9,4,B
193,Saginaw,195201,0.091546043,20451,0.10476893,MI,4422867.389,27.9104,609615.9664,39420.4496,0,1,1,H
196,Salem,404997,0.066043176,94637,0.233673336,OR,21699414,51.58333333,2207540,161873,0,2,2,G
197,Salinas,430201,0.048357635,192475,0.447407142,CA,31934317,73.58333333,4443481,267559,0,2,2,G
198,Salisbury,390091,0.057780446,6304,0.016160332,DE,3563275,15,1261893,46910,0,4,3,E
199,Salt Lake City,1154504,0.054765453,408803,0.354094053,UT,136497126.9,433.359625,16647680.59,1138104.783,1,9,4,B
200,San Angelo,117895,0.060874314,0,0,TX,1186562,8.166666667,306821,20624,0,4,3,E
201,San Antonio-New Braunfels,2332345,0.066700502,655365,0.280989734,TX,168001726,375.8333333,21940045,1638426,0,10,2,C
202,San Diego-Carlsbad,3253356,0.05819089,1743100,0.535785201,CA,223900321,639.5833333,25627302,2280924,1,9,4,B
203,San Francisco-Oakland-Hayward,4577530,0.1240281,2999754,0.655321538,CA,1158540038,1897.666667,62336886,6328666,1,8,5,A
204,San Jose-Sunnyvale-Santa Clara,1943107,0.050597156,1433477,0.737724171,CA,244477469.9,400.5897,15852603.42,1374768.872,1,9,4,B
205,San Juan-Carolina-Caguas,2230563,0.166515499,960293,0.430515973,PR,56662476.76,108.3987417,3115243.068,370744.6608,1,6,4,B
206,San Luis Obispo-Paso Robles-Arroyo Grande,278680,0.048044136,40778,0.146325535,CA,9309515,33.5,1770944,90058,0,3,3,F
207,Santa Cruz-Watsonville,270931,0.059098273,117151,0.432401608,CA,36964307,75.25,3163196,217833,0,2,2,G
208,Santa Fe,147320,0.03695787,22494,0.152688026,NM,7168175,26,879503,82000,0,3,3,F
209,Santa Maria-Santa Barbara,439395,0.06501877,171061,0.389310302,CA,26944056.39,104.60575,3471352.933,272396.23,0,2,2,G
210,Santa Rosa,497776,0.048338209,150534,0.302413134,CA,24419040,72.33333333,2727795,193913,0,2,2,G
211,Savannah,372569,0.071594089,46029,0.1235449,GA,16595048,52,2371270,182313,0,7,3,D
212,Scranton--Wilkes-Barre--Hazleton,559898,0.101611265,152471,0.272319244,PA,18038878.21,63.6032,2230059.374,160687.522,0,1,1,H
213,Seattle-Tacoma-Bellevue,3671095,0.08035327,1411684,0.384540307,WA,836951547.5,1713.1333,61677113.78,5060585.109,1,8,5,A
214,Sebastian-Vero Beach,145342,0.053692784,0,0,FL,2419762.831,13.4784,878115.2328,48725.2584,0,4,3,E
215,Sheboygan,115269,0.061482016,10479,0.090909091,WI,3027184,16,577824,39092,0,4,3,E
216,Shreveport-Bossier City,445227,0.08775509,25361,0.056961954,LA,11190434,36,2245220,144363,0,7,3,D
217,Sioux City,168746,0.056898029,42360,0.251028173,SD,3766418.566,19.66273333,611901.5952,44838.0306,0,2,2,G
218,Sioux Falls,247315,0.046219103,38164,0.154313325,SD,4462489,21.66666667,763809,64389,0,3,3,F
219,Somerset,76201,0.0720216,0,0,PA,868697.736,3.488,115194.252,8635.961,0,7,3,D
220,South Bend-Mishawaka,319491,0.076122767,42605,0.133352739,IL,7668811.74,30.975,1135952.37,83560.815,0,7,3,D
221,Spokane-Spokane Valley,542604,0.072096902,136408,0.251395124,WA,45917132,109.1666667,5477713,397122,0,2,2,G
222,Springfield,211215,0.076657858,34685,0.164216557,IL,12347714,47,1386585,106295,0,7,3,D
224,Springfield,452198,0.058219216,30874,0.068275401,MO,8163242,18.66666667,1090139,75456,0,4,3,E
223,Springfield,629107,0.122380635,147843,0.235004538,MA,30555471.26,124.7037,4497931.98,340978.8456,0,1,1,H
194,St. Cloud,193118,0.064055243,6351,0.032886629,MN,7388087.95,28.3084,1330839.818,90138.9504,0,4,3,E
195,St. Louis,2803449,0.081687236,599088,0.213696771,IL,176173118,391.6666667,22305570,1612848,1,9,4,B
225,State College,159178,0.098602661,25116,0.157785624,PA,12975936,55.58333333,1869425,158379,0,1,1,H
226,Stockton-Lodi,714860,0.069181397,330565,0.462419215,CA,28853201,83.5,2618083,180397,0,2,2,G
227,Sumter,107682,0.084184736,0,0,SC,1764109,18,458910,23654,0,7,3,D
228,Syracuse,660652,0.11263162,130372,0.197338387,NY,65061724,152.3333333,4898677,404336,0,1,1,H
229,Tallahassee,376337,0.068398874,54965,0.146052607,FL,14706880,65.5,2119659,209916,0,7,3,D
230,Tampa-St. Petersburg-Clearwater,2927714,0.07267358,934183,0.319082738,FL,131503289,366,19255318,1412030,0,10,2,C
231,Terre Haute,171445,0.076455256,11730,0.068418443,IN,2026510,8,436596,32126,0,7,3,D
232,Toledo,606684,0.092109242,149987,0.247224255,OH,20785048.95,90.77171667,3175567.49,285527.8622,0,1,1,H
233,Topeka,233773,0.069682888,24945,0.106706078,KS,5405889,22.25,891534,58215,0,7,3,D
234,Torrington,185141,0.055569755,4448,0.024024932,CT,1745075.997,7.3668,257641.0364,17722.3352,0,4,3,E
235,Tucson,1003338,0.088307747,338186,0.337060891,AZ,59898666.95,205.775125,8306848.02,688459.0728,0,1,1,H
236,Tulsa,970603,0.060092015,147386,0.151849932,OK,14326690,60,2824505,189815,0,3,3,F
237,Urban Honolulu,986999,0.101034411,486737,0.493148423,HI,188462119,450.0833333,17735758,1377609,0,10,2,C
